date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,pt,0.0,0.0,2484.14327663,963.148166821,1814.0
2011-09-09,pt,0.0,0.0,2495.92041181,786.291503573,1921.0
2011-09-11,pt,0.0,0.0,2529.7924386,1126.33019564,2040.0
2011-09-12,pt,0.0,0.0,2464.85863772,1125.88631464,1882.0
2011-09-13,pt,0.0,0.0,2497.79609268,1326.28204234,1905.0
2011-09-14,pt,0.0,0.0,2420.30034012,1354.31773098,1918.0
2011-09-15,pt,0.0,0.0,2683.78238135,1137.10341615,1968.0
2011-09-16,pt,0.0,0.0,2949.0969252,984.09648704,2034.0
2011-09-17,pt,0.0,0.0,2988.36879063,971.377072077,2109.0
2011-09-18,pt,0.0,0.0,3162.23971422,928.706089107,2291.0
2011-09-19,pt,0.0,0.0,3004.08155302,944.069574896,2345.0
2011-09-20,pt,0.0,0.0,2926.67347658,935.961491521,2349.0
2011-09-21,pt,0.0,0.0,2868.27126735,987.530309656,2273.0
2011-09-22,pt,0.0,0.0,2817.13681358,1104.11351473,2202.0
2011-09-23,pt,0.0,0.0,2929.01713823,1206.00988122,2123.0
2011-09-24,pt,0.0,0.0,2929.09970492,1332.64132693,2038.0
2011-09-25,pt,0.0,0.0,3160.37592709,1397.82377503,2060.0
2011-09-26,pt,0.0,0.0,2972.057714,1499.3714064,2021.0
2011-09-27,pt,0.0,0.0,3008.46054187,1601.1661295,2146.0
2011-09-28,pt,0.0,0.0,2834.02484301,1635.22028406,2165.0
2011-09-29,pt,0.0,0.0,2738.90608925,1477.29292451,2144.0
2011-09-30,pt,0.0,0.0,2855.6347041,1392.50288798,2229.0
2011-10-01,pt,0.0,0.0,2883.71825747,1373.87409966,2191.0
2011-10-02,pt,0.0,0.0,2670.72335095,1310.80703071,2149.0
2011-10-03,pt,0.0,0.0,2885.21057101,1321.58229038,2298.0
2011-10-04,pt,0.0,0.0,3000.94860114,1344.26306793,2311.0
2011-10-05,pt,0.0,0.0,3125.35167031,1536.36950889,2369.0
2011-10-06,pt,0.0,0.0,2908.75944871,1541.89474747,2203.0
2011-10-07,pt,0.0,0.0,2849.75014038,1641.49884192,2244.0
2011-10-08,pt,0.0,0.0,2947.57781264,1479.49821919,2276.0
2011-10-09,pt,0.0,0.0,3150.13218351,1549.34474788,2357.0
2011-10-10,pt,0.0,0.0,3058.87123112,1556.38303831,2343.0
2011-10-11,pt,0.0,0.0,3135.3734877,1606.22110136,2275.0
2011-10-12,pt,0.0,0.0,3077.34053559,1526.22000707,2325.0
2011-10-13,pt,0.0,0.0,3129.54652858,1646.73930576,2568.0
2011-10-14,pt,0.0,0.0,3384.65277719,1588.62696909,2486.0
2011-10-15,pt,0.0,0.0,2813.51737925,1583.04785395,2186.0
2011-10-16,pt,0.0,0.0,2886.52706625,1688.66141912,2349.0
2011-10-17,pt,0.0,0.0,3088.37476882,1507.60236273,2242.0
2011-10-18,pt,0.0,0.0,2881.08931972,1548.19031892,2212.0
2011-10-19,pt,0.0,0.0,3047.72870731,1581.08569821,2181.0
2011-10-20,pt,0.0,0.0,3458.8350839,1649.44390714,2422.0
2011-10-21,pt,0.0,0.0,2964.24334041,1464.16170645,2184.0
2011-10-22,pt,0.0,0.0,2756.71276246,1394.68619341,2168.0
2011-10-23,pt,0.0,0.0,2852.39090537,1451.27981726,2134.0
2011-10-24,pt,0.0,0.0,2967.60003153,1277.99649559,1971.0
2011-10-25,pt,0.0,0.0,2548.75973634,1391.25844635,1765.0
2011-10-26,pt,0.0,0.0,2965.44186247,1128.9445442,1836.0
2011-10-27,pt,0.0,0.0,3047.73678825,1187.82836851,1724.0
2011-10-28,pt,0.0,0.0,2918.87643517,1090.3308961,1567.0
2011-10-29,pt,0.0,0.0,2870.54692033,1244.72096643,1538.0
2011-10-30,pt,0.0,0.0,2771.49385786,1128.54114153,1517.0
2011-10-31,pt,0.0,0.0,2578.18184037,1112.90432002,1577.0
2011-11-01,pt,0.0,0.0,2378.30634841,1101.65916628,1634.0
2011-11-02,pt,0.0,0.0,2607.68949615,859.434828829,1660.0
2011-11-03,pt,0.0,0.0,2262.54922439,1003.58558693,1625.0
2011-11-04,pt,0.0,0.0,2371.58103706,835.342534364,1644.0
2011-11-05,pt,0.0,0.0,2489.35153663,874.936183483,1705.0
2011-11-06,pt,0.0,0.0,2365.82387412,973.735707718,1665.0
2011-11-07,pt,0.0,0.0,2056.71239499,1106.63762945,1582.0
2011-11-08,pt,0.0,0.0,2366.0059609,1002.10299202,1623.0
2011-11-09,pt,0.0,0.0,2975.74889849,767.945155104,1579.0
2011-11-10,pt,0.0,0.0,2716.69083683,933.760455678,1614.0
2011-11-11,pt,0.0,0.0,1974.18820179,1196.72717015,1540.0
2011-11-12,pt,0.0,0.0,1931.97747986,1063.55335558,1512.0
2011-11-13,pt,0.0,0.0,2034.78897005,992.57174555,1534.0
2011-11-14,pt,0.0,0.0,2071.37522814,935.33732651,1581.0
2011-11-15,pt,0.0,0.0,2182.45004308,931.706322719,1624.0
2011-11-16,pt,0.0,0.0,2230.43343744,710.348061154,1616.0
2011-11-17,pt,0.0,0.0,2020.51794872,909.621431579,1607.0
2011-11-18,pt,0.0,0.0,1893.88123449,1093.46997421,1541.0
2011-11-19,pt,0.0,0.0,1946.60650188,1060.0162347,1507.0
2011-11-20,pt,0.0,0.0,2055.76900954,1015.19798678,1531.0
2011-11-21,pt,0.0,0.0,2168.16098143,1065.50592805,1490.0
2011-11-22,pt,0.0,0.0,2301.26454906,974.258955678,1447.0
2011-11-23,pt,0.0,0.0,2775.23852574,890.659505114,1556.0
2011-11-24,pt,0.0,0.0,3912.65229051,1044.74975,2388.0
2011-11-25,pt,0.0,0.0,3547.4832799,392.167532442,1935.0
2011-11-26,pt,0.0,0.0,3287.81257878,501.624553608,1519.0
2011-11-27,pt,0.0,0.0,2325.22917173,916.764477833,1471.0
2011-11-28,pt,0.0,0.0,2048.40973132,954.660344906,1425.0
2011-11-29,pt,0.0,0.0,1885.13338853,811.135077587,1314.0
2011-11-30,pt,0.0,0.0,1880.12709496,659.679738087,1281.0
2011-12-01,pt,0.0,0.0,2686.70810196,615.70973045,1504.0
2011-12-02,pt,0.0,0.0,3057.53285211,353.459904285,1498.0
2011-12-03,pt,0.0,0.0,2224.69428779,411.028173573,1438.0
2011-12-04,pt,0.0,0.0,1828.44007013,778.406700145,1299.0
2011-12-05,pt,0.0,0.0,2231.03950595,1010.49158629,1555.0
2011-12-06,pt,0.0,0.0,1876.00488928,954.795945774,1326.0
2011-12-07,pt,0.0,0.0,1902.83224064,950.01704764,1312.0
2011-12-08,pt,0.0,0.0,2012.45685699,909.727729014,1335.0
2011-12-09,pt,0.0,0.0,2111.67540718,908.115058904,1361.0
2011-12-10,pt,0.0,0.0,1955.5914054,951.295325466,1288.0
2011-12-11,pt,0.0,0.0,1964.86938384,976.660192474,1326.0
2011-12-12,pt,0.0,0.0,1904.74685467,1022.39726434,1365.0
2011-12-13,pt,0.0,0.0,1782.49018355,942.648112385,1380.0
2011-12-14,pt,0.0,0.0,1851.7160333,813.479851301,1400.0
2011-12-15,pt,0.0,0.0,1849.30195052,838.6129463,1369.0
2011-12-16,pt,0.0,0.0,1916.16756773,953.672235581,1445.0
2011-12-17,pt,0.0,0.0,1865.89235097,880.556593076,1393.0
2011-12-18,pt,0.0,0.0,1835.89898715,923.838723608,1398.0
2011-12-19,pt,0.0,0.0,1848.55192766,901.762363771,1489.0
2011-12-20,pt,0.0,0.0,1879.2276122,947.423241485,1475.0
2011-12-21,pt,0.0,0.0,1952.58361244,936.637283892,1467.0
2011-12-22,pt,0.0,0.0,1909.84854374,934.346928925,1477.0
2011-12-23,pt,0.0,0.0,1812.86316232,992.179223157,1457.0
2011-12-24,pt,0.0,0.0,1725.78467629,932.501337208,1367.0
2011-12-25,pt,0.0,0.0,2088.61156925,1010.57587453,1603.0
2011-12-26,pt,0.0,0.0,1837.43494384,990.809383334,1412.0
2011-12-27,pt,0.0,0.0,1932.59750088,1082.29543506,1558.0
2011-12-28,pt,0.0,0.0,1985.35427458,1007.80355284,1588.0
2011-12-29,pt,0.0,0.0,2004.48554721,1009.53772022,1580.0
2011-12-30,pt,0.0,0.0,2115.44957191,955.267211358,1594.0
2011-12-31,pt,0.0,0.0,1890.45866793,879.353233502,1428.0
2012-01-01,pt,0.0,0.0,1967.54881808,809.029091016,1421.0
2012-01-02,pt,0.0,0.0,2275.50290792,796.051951406,1678.0
2012-01-03,pt,0.0,0.0,2227.31513847,953.425344022,1710.0
2012-01-04,pt,0.0,0.0,2291.12286092,1113.11054747,1673.0
2012-01-05,pt,0.0,0.0,2696.32426258,1066.83072483,1811.0
2012-01-06,pt,0.0,0.0,3259.89323561,743.488657929,1917.0
2012-01-07,pt,0.0,0.0,3252.27441727,1101.49911937,2305.0
2012-01-09,pt,0.0,0.0,4219.22533902,1028.47421401,2803.0
2012-01-10,pt,0.0,0.0,3526.70222527,1062.07392067,2507.0
2012-01-11,pt,0.0,0.0,2506.54743205,1026.57903055,1737.0
2012-01-12,pt,0.0,0.0,2849.49723167,883.36182588,1750.0
2012-01-13,pt,0.0,0.0,2880.21110518,868.00882752,1705.0
2012-01-14,pt,0.0,0.0,3307.41779854,836.712351212,1786.0
2012-01-16,pt,0.0,0.0,3705.8405111,968.653889016,1737.0
2012-01-17,pt,0.0,0.0,3684.54788083,891.784646017,1768.0
2012-01-18,pt,0.0,0.0,2284.9840219,1215.046089,1693.0
2012-01-19,pt,0.0,0.0,2525.18692834,873.675663974,1733.0
2012-01-20,pt,0.0,0.0,2515.86330029,1035.08047834,1798.0
2012-01-21,pt,0.0,0.0,2574.65829669,940.676592379,1768.0
2012-01-22,pt,0.0,0.0,2757.86099535,973.534365763,1860.0
2012-01-23,pt,0.0,0.0,2594.62334296,675.465412355,1759.0
2012-01-24,pt,0.0,0.0,2572.88677323,924.603505191,1828.0
2012-01-25,pt,0.0,0.0,2468.21973664,1128.79604015,1794.0
2012-01-26,pt,0.0,0.0,2405.04984907,974.819409614,1744.0
2012-01-27,pt,0.0,0.0,2469.91463273,953.541641528,1756.0
2012-01-28,pt,0.0,0.0,2410.45820902,959.871374,1725.0
2012-01-29,pt,0.0,0.0,2712.74034293,1038.60563107,1864.0
2012-01-30,pt,0.0,0.0,2625.18654437,1089.18352738,1798.0
2012-01-31,pt,0.0,0.0,2728.82407922,1127.51704637,1813.0
2012-02-01,pt,0.0,0.0,2782.77622314,1066.09102679,1881.0
2012-02-02,pt,0.0,0.0,2617.60679453,1163.29206118,1936.0
2012-02-03,pt,0.0,0.0,2710.68913757,1195.7556457,2028.0
2012-02-04,pt,0.0,0.0,2491.07368921,1242.81915567,1979.0
2012-02-05,pt,0.0,0.0,2578.12136982,1247.23654978,2065.0
2012-02-06,pt,0.0,0.0,2480.627862,1212.15162004,1973.0
2012-02-07,pt,0.0,0.0,2448.03072229,1078.18975288,1984.0
2012-02-08,pt,0.0,0.0,2774.02728676,1406.31086627,2150.0
2012-02-09,pt,0.0,0.0,3039.69043637,1395.09922402,2046.0
2012-02-10,pt,0.0,0.0,2816.08830811,1299.33197484,1970.0
2012-02-11,pt,0.0,0.0,2697.67724521,1470.30011073,2094.0
2012-02-12,pt,0.0,0.0,2721.37562192,1608.45746744,2060.0
2012-02-13,pt,0.0,0.0,3195.68789406,1252.32443463,2076.0
2012-02-14,pt,0.0,0.0,3317.76901941,1208.72299764,2035.0
2012-02-15,pt,0.0,0.0,2890.3949143,1316.50889638,2058.0
2012-02-16,pt,0.0,0.0,2618.65299433,1314.54214704,2024.0
2012-02-17,pt,0.0,0.0,2724.9045645,1406.1365921,2010.0
2012-02-18,pt,0.0,0.0,2732.15583934,1498.60930293,2076.0
2012-02-19,pt,0.0,0.0,2753.86702725,1429.02140363,2081.0
2012-02-20,pt,0.0,0.0,2968.0531946,1192.71351243,2150.0
2012-02-21,pt,0.0,0.0,2886.56289403,1098.26511694,2123.0
2012-02-22,pt,0.0,0.0,2871.42316696,1347.01392986,2160.0
2012-02-23,pt,0.0,0.0,2818.96626471,1207.00271535,2067.0
2012-02-24,pt,0.0,0.0,2713.70701775,1237.46764911,2129.0
2012-02-25,pt,0.0,0.0,3001.98251236,1472.97969649,2243.0
2012-02-26,pt,0.0,0.0,3039.28413411,1367.3707859,2313.0
2012-02-27,pt,0.0,0.0,2986.01802675,1298.33132359,2140.0
2012-02-28,pt,0.0,0.0,2950.22342664,1355.67024163,2110.0
2012-02-29,pt,0.0,0.0,2742.14485697,1454.25054246,2113.0
2012-03-01,pt,0.0,0.0,2723.19333101,1604.09467618,2175.0
2012-03-02,pt,0.0,0.0,2727.32424501,1548.42739504,2097.0
2012-03-03,pt,0.0,0.0,2770.30084273,1508.3356562,2207.0
2012-03-04,pt,0.0,0.0,2931.6138523,1672.42760826,2244.0
2012-03-05,pt,0.0,0.0,2974.40261897,1444.17276367,2229.0
2012-03-06,pt,0.0,0.0,2815.76286823,1451.16611643,2204.0
2012-03-07,pt,0.0,0.0,2918.25550323,1442.83870642,2182.0
2012-03-08,pt,0.0,0.0,2677.88643355,1519.85772566,2089.0
2012-03-09,pt,0.0,0.0,2765.9021854,1527.26656435,2124.0
