date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,py,0.0,0.0,622.795127428,200.700707388,329.0
2011-09-09,py,0.0,0.0,890.938998526,246.565483836,349.0
2011-09-11,py,1.0,0.0,828.047349576,320.36941164,237.0
2011-09-12,py,1.0,0.0,791.279090001,313.587996353,254.0
2011-09-13,py,1.0,0.0,794.421001184,365.553128057,267.0
2011-09-14,py,1.0,0.0,582.067291674,267.843354072,252.0
2011-09-15,py,0.0,0.0,542.19198489,181.058686287,304.0
2011-09-16,py,0.0,0.0,595.191661319,157.679096219,340.0
2011-09-17,py,0.0,0.0,535.585047642,134.92841455,251.0
2011-09-18,py,0.0,0.0,423.539798827,90.1945081203,231.0
2011-09-19,py,0.0,0.0,462.731388363,107.940630444,326.0
2011-09-20,py,0.0,0.0,466.796639571,111.564464319,382.0
2011-09-21,py,0.0,0.0,430.998034892,109.600688892,342.0
2011-09-22,py,0.0,0.0,489.535249572,147.419034376,319.0
2011-09-23,py,0.0,0.0,546.200564343,176.898665661,281.0
2011-09-24,py,0.0,0.0,400.472878149,133.264132693,218.0
2011-09-25,py,0.0,0.0,370.906118518,116.980996776,176.0
2011-09-26,py,0.0,0.0,464.567786716,180.588803447,232.0
2011-09-27,py,0.0,0.0,543.210773463,229.370182531,299.0
2011-09-28,py,0.0,0.0,477.345946232,214.34012303,306.0
2011-09-29,py,0.0,0.0,446.698429015,185.571278694,326.0
2011-09-30,py,0.0,0.0,429.091451618,157.4939295,321.0
2011-10-01,py,0.0,0.0,359.158750364,121.094672245,253.0
2011-10-02,py,0.0,0.0,271.741013297,89.3259941688,194.0
2011-10-03,py,0.0,0.0,383.377295052,126.746577417,261.0
2011-10-04,py,0.0,0.0,472.131999749,161.229932743,311.0
2011-10-05,py,0.0,0.0,498.186398729,187.230587091,323.0
2011-10-06,py,0.0,0.0,495.668672234,203.867542599,394.0
2011-10-07,py,0.0,0.0,461.737662961,205.18735524,335.0
2011-10-08,py,0.0,0.0,391.017926983,143.626374919,232.0
2011-10-09,py,0.0,0.0,336.158683954,112.736555682,214.0
2011-10-10,py,0.0,0.0,398.714853773,148.89055456,235.0
2011-10-11,py,0.0,0.0,476.848536051,186.664870261,231.0
2011-10-12,py,0.0,0.0,472.694941203,179.801261107,294.0
2011-10-13,py,0.0,0.0,618.019692618,261.078314354,325.0
2011-10-14,py,0.0,0.0,565.972078763,206.444760717,294.0
2011-10-15,py,0.0,0.0,333.360568958,134.11828558,235.0
2011-10-16,py,0.0,0.0,306.835554287,125.545273014,228.0
2011-10-17,py,0.0,0.0,359.596903776,125.343383507,216.0
2011-10-18,py,0.0,0.0,340.332343266,130.49032688,224.0
2011-10-19,py,0.0,0.0,437.822160667,170.769032582,228.0
2011-10-20,py,0.0,0.0,493.940204081,180.040057034,244.0
2011-10-21,py,0.0,0.0,399.075393623,147.496967389,223.0
2011-10-22,py,0.0,0.0,343.130208367,124.649212916,214.0
2011-10-23,py,0.0,0.0,322.316791361,116.316300416,193.0
2011-10-24,py,0.0,0.0,334.774714301,101.349818799,218.0
2011-10-25,py,0.0,0.0,300.858202447,116.677388095,182.0
2011-10-26,py,0.0,0.0,359.828753783,97.7781735644,216.0
2011-10-27,py,0.0,0.0,355.393933113,99.6482522448,187.0
2011-10-28,py,0.0,0.0,347.544185713,92.1253739246,199.0
2011-10-29,py,0.0,0.0,330.792858937,100.97385907,198.0
2011-10-30,py,0.0,0.0,296.602678896,82.7443606827,190.0
2011-10-31,py,0.0,0.0,331.618337746,101.56483009,211.0
2011-11-01,py,0.0,0.0,289.40389263,91.633971621,245.0
2011-11-02,py,0.0,0.0,356.484342738,83.9471780393,239.0
2011-11-03,py,0.0,0.0,288.682516669,88.1010248069,232.0
2011-11-04,py,0.0,0.0,351.038218772,87.5288590859,230.0
2011-11-05,py,0.0,0.0,372.073895154,92.8913595089,224.0
2011-11-06,py,0.0,0.0,345.489904694,99.9248433684,203.0
2011-11-07,py,0.0,0.0,317.97464358,122.959736606,205.0
2011-11-08,py,0.0,0.0,404.049170254,127.454552821,215.0
2011-11-09,py,0.0,0.0,490.490033433,93.5154920841,231.0
2011-11-10,py,0.0,0.0,444.882967653,112.531727225,208.0
2011-11-11,py,0.0,0.0,316.397441355,140.885606653,209.0
2011-11-12,py,0.0,0.0,292.755319355,117.03193295,173.0
2011-11-13,py,0.0,0.0,288.606681844,99.5847559892,153.0
2011-11-14,py,0.0,0.0,310.945473046,100.307763428,185.0
2011-11-15,py,0.0,0.0,334.437415052,102.961444477,221.0
2011-11-16,py,0.0,0.0,374.103931091,87.7401303729,252.0
2011-11-17,py,0.0,0.0,302.047983274,97.3487148998,294.0
2011-11-18,py,0.0,0.0,297.321402334,122.976207702,270.0
2011-11-19,py,0.0,0.0,262.832945402,97.4905442132,247.0
2011-11-20,py,0.0,0.0,245.665618857,79.6090507619,237.0
2011-11-21,py,0.0,0.0,298.106478094,101.724259333,258.0
2011-11-22,py,0.0,0.0,360.220464324,110.891263248,265.0
2011-11-23,py,0.0,0.0,491.31768018,118.229137847,235.0
2011-11-24,py,0.0,0.0,801.225725019,166.015028768,221.0
2011-11-25,py,0.0,0.0,699.414998345,59.232175623,141.0
2011-11-26,py,0.0,0.0,612.611176204,70.1906884535,145.0
2011-11-27,py,0.0,0.0,409.927239327,120.209751416,149.0
2011-11-28,py,0.0,0.0,400.666940111,141.536003693,174.0
2011-11-29,py,0.0,0.0,388.638435851,128.367707233,145.0
2011-11-30,py,0.0,0.0,324.197868575,84.1547504292,145.0
2011-12-01,py,0.0,0.0,290.398465142,46.8474794908,186.0
2011-12-02,py,0.0,0.0,272.136431863,19.7252145007,186.0
2011-12-03,py,0.0,0.0,256.387336888,30.4686582155,174.0
2011-12-04,py,0.0,0.0,221.766246129,61.9918183436,130.0
2011-12-05,py,0.0,0.0,320.142786249,99.7143989575,180.0
2011-12-06,py,0.0,0.0,248.23772484,82.4633246985,165.0
2011-12-07,py,0.0,0.0,258.011151274,84.2623816167,147.0
2011-12-08,py,0.0,0.0,291.501326558,91.5071210536,122.0
2011-12-09,py,0.0,0.0,306.989307978,91.7490878096,131.0
2011-12-10,py,0.0,0.0,278.309972306,93.0057785482,115.0
2011-12-11,py,0.0,0.0,238.248970584,75.3208374659,110.0
2011-12-12,py,0.0,0.0,259.331731387,95.6459524405,139.0
2011-12-13,py,0.0,0.0,261.772807011,94.0277664491,125.0
2011-12-14,py,0.0,0.0,247.917812601,71.7573405728,147.0
2011-12-15,py,0.0,0.0,207.151949651,57.9557656477,157.0
2011-12-16,py,0.0,0.0,224.830327947,70.786438367,144.0
2011-12-17,py,0.0,0.0,205.719872965,58.6022970327,109.0
2011-12-18,py,0.0,0.0,189.358433784,56.5299470439,98.0
2011-12-19,py,0.0,0.0,227.230635626,71.1145929153,134.0
2011-12-20,py,0.0,0.0,208.940438461,65.4971051187,138.0
2011-12-21,py,0.0,0.0,245.815198451,77.1261104709,150.0
2011-12-22,py,0.0,0.0,260.721537449,85.5601320653,139.0
2011-12-23,py,0.0,0.0,218.045884132,77.4902609204,128.0
2011-12-24,py,0.0,0.0,168.753390771,53.455490668,103.0
2011-12-25,py,0.0,0.0,185.925786216,50.4887233109,130.0
2011-12-26,py,0.0,0.0,201.162602414,68.3570271885,126.0
2011-12-27,py,0.0,0.0,219.504901334,78.6976440783,144.0
