date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,qa,0.0,0.0,862.153369519,350.640938167,705.0
2011-09-09,qa,0.0,0.0,1019.81693214,293.409177601,747.0
2011-09-11,qa,0.0,0.0,1063.54013227,442.886629184,747.0
2011-09-12,qa,0.0,0.0,924.199969742,403.432053543,704.0
2011-09-13,qa,0.0,0.0,935.443379434,443.122165823,653.0
2011-09-14,qa,0.0,0.0,1105.31848704,573.453849899,673.0
2011-09-15,qa,0.0,0.0,1069.94354796,443.730910216,701.0
2011-09-16,qa,0.0,0.0,1194.73579827,375.444147404,743.0
2011-09-17,qa,0.0,0.0,1230.25371676,368.193791371,765.0
2011-09-18,qa,0.0,0.0,1212.22387754,328.559581177,730.0
2011-09-19,qa,0.0,0.0,1182.52832802,332.309024471,729.0
2011-09-20,qa,0.0,0.0,1057.42820645,305.418096003,751.0
2011-09-21,qa,0.0,0.0,1063.10021321,325.523666571,743.0
2011-09-22,qa,0.0,0.0,1058.33027584,370.225729472,757.0
2011-09-23,qa,0.0,0.0,1123.60122012,414.81328347,732.0
2011-09-24,qa,0.0,0.0,1116.59958966,455.468787465,733.0
2011-09-25,qa,0.0,0.0,1062.98968779,417.67339166,708.0
2011-09-26,qa,0.0,0.0,972.821272498,438.720158346,682.0
2011-09-27,qa,0.0,0.0,1016.90216801,481.505919396,701.0
2011-09-28,qa,0.0,0.0,977.370116463,501.805557136,698.0
2011-09-29,qa,0.0,0.0,978.229918132,490.958613886,671.0
2011-09-30,qa,0.0,0.0,1035.63908549,455.174049547,685.0
2011-10-01,qa,0.0,0.0,1087.72689962,464.979884928,737.0
2011-10-02,qa,0.0,0.0,966.707807205,423.267141412,674.0
2011-10-03,qa,0.0,0.0,1027.12361158,417.612966374,672.0
2011-10-04,qa,0.0,0.0,1028.99780754,414.497625457,678.0
2011-10-05,qa,0.0,0.0,1021.7734086,486.636320846,754.0
2011-10-06,qa,0.0,0.0,962.966116098,451.977938865,688.0
2011-10-07,qa,0.0,0.0,921.337746725,474.176297958,753.0
2011-10-08,qa,0.0,0.0,1043.01504879,473.189362795,722.0
2011-10-09,qa,0.0,0.0,1045.01975319,458.48526063,683.0
2011-10-10,qa,0.0,0.0,945.652856007,431.794237764,648.0
2011-10-11,qa,0.0,0.0,976.455315576,440.454145487,636.0
2011-10-12,qa,0.0,0.0,1034.54945859,456.138642959,594.0
2011-10-13,qa,0.0,0.0,1033.70550599,485.271264191,630.0
2011-10-14,qa,0.0,0.0,1197.62515546,501.145939899,664.0
2011-10-15,qa,0.0,0.0,942.951281977,469.196354162,634.0
2011-10-16,qa,0.0,0.0,885.423298133,455.690654712,623.0
2011-10-17,qa,0.0,0.0,881.321238215,402.911691897,606.0
2011-10-18,qa,0.0,0.0,847.485244233,406.6538031,613.0
2011-10-19,qa,0.0,0.0,835.206142584,373.140129403,637.0
2011-10-20,qa,0.0,0.0,909.227480126,372.236249608,626.0
2011-10-21,qa,0.0,0.0,844.66287994,363.248333744,650.0
2011-10-22,qa,0.0,0.0,852.237079341,376.370636478,640.0
2011-10-23,qa,0.0,0.0,786.035913708,379.102902118,601.0
2011-10-24,qa,0.0,0.0,847.36303795,332.392843367,546.0
2011-10-25,qa,0.0,0.0,741.503193766,370.26032168,513.0
2011-10-26,qa,0.0,0.0,921.974106688,308.544878234,546.0
2011-10-27,qa,0.0,0.0,842.520195399,283.520596741,516.0
2011-10-28,qa,0.0,0.0,919.870575611,302.148903876,588.0
2011-10-29,qa,0.0,0.0,900.521386847,343.391985583,603.0
2011-10-30,qa,0.0,0.0,833.365909444,294.271161728,545.0
2011-10-31,qa,0.0,0.0,758.882029251,286.631385589,530.0
2011-11-01,qa,0.0,0.0,734.475407132,297.062971521,514.0
2011-11-02,qa,0.0,0.0,762.150239774,272.333139445,485.0
2011-11-03,qa,0.0,0.0,719.305484842,279.183624499,504.0
2011-11-04,qa,0.0,0.0,938.818231154,293.407879244,539.0
2011-11-05,qa,0.0,0.0,1005.21661228,333.067101681,538.0
2011-11-06,qa,0.0,0.0,876.927160395,338.754535097,510.0
2011-11-07,qa,0.0,0.0,734.495458594,346.598269167,513.0
2011-11-08,qa,0.0,0.0,794.35760634,291.584532453,644.0
2011-11-09,qa,0.0,0.0,935.015208273,204.969401091,711.0
2011-11-10,qa,0.0,0.0,906.959199361,264.868137234,628.0
2011-11-11,qa,0.0,0.0,683.661009891,367.283656736,507.0
2011-11-12,qa,0.0,0.0,647.54231752,314.596696336,485.0
2011-11-13,qa,0.0,0.0,661.959410619,286.614121817,536.0
2011-11-14,qa,0.0,0.0,703.247357779,294.00855549,514.0
2011-11-15,qa,0.0,0.0,909.567206823,349.001617282,479.0
2011-11-16,qa,0.0,0.0,1038.76932153,313.095504301,504.0
2011-11-17,qa,0.0,0.0,828.519129807,330.998427359,575.0
2011-11-18,qa,0.0,1.0,659.475913809,335.445777899,665.0
2011-11-19,qa,0.0,0.0,666.777939794,314.269433294,553.0
2011-11-20,qa,0.0,0.0,761.00701223,330.814437546,488.0
2011-11-21,qa,0.0,0.0,747.908063331,321.609897581,491.0
2011-11-22,qa,0.0,0.0,714.630142572,270.7518452,495.0
2011-11-23,qa,0.0,0.0,908.315823818,265.994874689,635.0
2011-11-24,qa,0.0,0.0,1484.82923101,349.309651545,810.0
2011-11-25,qa,0.0,0.0,1597.24654178,168.883555604,602.0
2011-11-26,qa,0.0,0.0,1273.53931334,173.535534308,711.0
2011-11-27,qa,0.0,0.0,792.087827081,270.956345671,584.0
2011-11-28,qa,0.0,0.0,706.58480912,297.477257092,503.0
2011-11-29,qa,0.0,0.0,685.313817311,255.875041623,425.0
2011-11-30,qa,0.0,0.0,843.571990429,215.362541169,429.0
2011-12-01,qa,0.0,0.0,943.070505537,201.71512642,490.0
2011-12-02,qa,0.0,0.0,992.531415679,109.762435783,479.0
2011-12-03,qa,0.0,0.0,1083.14254,181.650720019,490.0
2011-12-04,qa,0.0,0.0,745.277083808,300.115732881,456.0
2011-12-05,qa,0.0,0.0,834.600371665,332.518982589,534.0
2011-12-06,qa,0.0,0.0,651.201230543,283.866636197,470.0
2011-12-07,qa,0.0,0.0,682.068685654,293.553737776,486.0
2011-12-08,qa,0.0,0.0,700.02006279,273.705377563,514.0
2011-12-09,qa,0.0,0.0,720.748922581,268.265933047,522.0
2011-12-10,qa,0.0,0.0,709.993755706,301.922667423,531.0
2011-12-11,qa,0.0,0.0,736.529648337,317.194164148,506.0
2011-12-12,qa,0.0,0.0,695.853339534,326.181750852,457.0
2011-12-13,qa,0.0,0.0,673.746082903,309.826385308,470.0
2011-12-14,qa,0.0,0.0,717.367194351,285.126178427,464.0
2011-12-15,qa,0.0,0.0,752.521785386,301.085587744,459.0
2011-12-16,qa,0.0,0.0,774.601322328,341.188550347,487.0
2011-12-17,qa,0.0,0.0,811.399407895,339.508738515,472.0
2011-12-18,qa,0.0,0.0,742.312621434,328.583028622,511.0
2011-12-19,qa,0.0,0.0,659.145629083,278.929578628,501.0
2011-12-20,qa,0.0,0.0,674.025700535,302.61640519,500.0
2011-12-21,qa,0.0,0.0,688.276217505,287.361575871,491.0
2011-12-22,qa,0.0,0.0,684.929555049,289.674130484,501.0
2011-12-23,qa,0.0,0.0,650.399403998,312.261341174,510.0
2011-12-24,qa,0.0,0.0,615.954013545,296.213556726,519.0
2011-12-25,qa,0.0,0.0,802.805224125,347.473796716,584.0
2011-12-26,qa,0.0,0.0,658.069932134,308.880859378,496.0
2011-12-27,qa,0.0,0.0,696.823988352,340.098167115,505.0
2011-12-28,qa,0.0,0.0,708.73018064,312.032012704,480.0
2011-12-29,qa,0.0,0.0,723.584165293,318.715358859,503.0
