date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,re,0.0,0.0,68.5530187455,9.08423346748,60.0
2011-09-09,re,0.0,0.0,110.681207485,14.7979303624,76.0
2011-09-11,re,0.0,0.0,95.6178596241,16.3472109045,76.0
2011-09-12,re,0.0,0.0,138.831995223,33.1866669121,72.0
2011-09-13,re,0.0,0.0,142.17055865,37.2305694183,79.0
2011-09-14,re,0.0,0.0,100.761716829,22.8117843857,75.0
2011-09-15,re,0.0,0.0,122.813667114,23.6230863047,70.0
2011-09-16,re,0.0,0.0,155.073612307,26.5302314211,69.0
2011-09-17,re,0.0,0.0,95.3646833951,10.8773616379,43.0
2011-09-18,re,0.0,0.0,157.563331775,23.3403971124,64.0
2011-09-19,re,0.0,0.0,160.647985416,22.2232334124,94.0
2011-09-20,re,0.0,0.0,160.882093513,26.0891623662,96.0
2011-09-21,re,0.0,0.0,154.66149345,23.8600770731,61.0
2011-09-22,re,0.0,0.0,136.898357528,24.8182771589,60.0
2011-09-23,re,0.0,0.0,135.9627563,25.5473324889,30.0
2011-09-24,re,0.0,0.0,89.138927366,14.1245924682,30.0
2011-09-25,re,0.0,0.0,123.433957065,23.8886336521,37.0
2011-09-26,re,0.0,0.0,154.129336608,41.1389676041,45.0
2011-09-27,re,0.0,0.0,160.679070592,44.8926496069,48.0
2011-09-28,re,0.0,0.0,106.965262226,25.6731843332,40.0
2011-09-29,re,0.0,0.0,103.312288444,24.4547518478,46.0
2011-09-30,re,0.0,0.0,65.195097091,8.52905360324,60.0
2011-10-01,re,0.0,0.0,68.804635995,8.61981760412,49.0
2011-10-02,re,0.0,0.0,74.7278685722,11.6943504028,32.0
2011-10-03,re,0.0,0.0,95.8757399715,15.6412112622,80.0
2011-10-04,re,0.0,0.0,99.0140200138,17.1199941221,84.0
2011-10-05,re,0.0,0.0,88.8454955915,14.7283524132,65.0
2011-10-06,re,0.0,0.0,88.6435419589,18.9679045497,74.0
2011-10-07,re,0.0,0.0,107.908210542,26.3621471463,58.0
2011-10-08,re,0.0,0.0,95.8470284979,18.5892817075,61.0
2011-10-09,re,0.0,0.0,74.4287950945,10.2309586268,49.0
2011-10-10,re,0.0,0.0,141.832309982,35.9115200463,78.0
2011-10-11,re,0.0,0.0,152.114541791,37.9296193518,90.0
2011-10-12,re,0.0,0.0,117.128336095,25.3189040582,86.0
2011-10-13,re,0.0,0.0,142.487451701,35.1515972509,91.0
2011-10-14,re,0.0,0.0,123.771349773,23.9423385686,91.0
2011-10-15,re,0.0,0.0,105.488253358,25.2883829543,86.0
