date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ro,0.0,0.0,3029.49895606,1402.64982182,2224.0
2011-09-09,ro,0.0,0.0,3473.73289417,1187.00932347,2256.0
2011-09-11,ro,0.0,0.0,3106.19389753,1519.96606283,2279.0
2011-09-12,ro,0.0,0.0,2809.64056009,1561.76128357,2176.0
2011-09-13,ro,0.0,0.0,3038.7725046,1625.23462922,2459.0
2011-09-14,ro,0.0,0.0,2946.18269867,1669.02811976,2299.0
2011-09-15,ro,0.0,0.0,3223.92647679,1491.57656152,2248.0
2011-09-16,ro,0.0,0.0,3429.81583375,1222.42178886,2123.0
2011-09-17,ro,0.0,0.0,3346.1428986,1112.95552098,2110.0
2011-09-18,ro,0.0,0.0,3522.60962201,1079.43222356,2165.0
2011-09-19,ro,0.0,0.0,3564.28221141,1055.74589564,2136.0
2011-09-20,ro,0.0,0.0,3737.23139489,1257.67880093,1990.0
2011-09-21,ro,0.0,0.0,3510.86393417,1150.0435591,1932.0
2011-09-22,ro,0.0,0.0,3190.06107021,1290.62974842,1992.0
2011-09-23,ro,0.0,0.0,3004.6882395,1291.24802024,2009.0
2011-09-24,ro,0.0,0.0,2921.00629741,1338.56240205,2046.0
2011-09-25,ro,0.0,0.0,2983.42276728,1317.92492358,2085.0
2011-09-26,ro,0.0,0.0,2713.4498628,1345.23395206,1993.0
2011-09-27,ro,0.0,0.0,2581.71201716,1326.91738695,2041.0
2011-09-28,ro,0.0,0.0,2466.08023296,1330.65994274,1976.0
2011-09-29,ro,0.0,0.0,2477.61480863,1339.67668204,1909.0
2011-09-30,ro,0.0,0.0,2729.63676175,1310.31906076,1942.0
2011-10-01,ro,0.0,0.0,2940.55557937,1346.35980196,1949.0
2011-10-02,ro,0.0,0.0,2719.64983216,1323.65522736,1843.0
2011-10-03,ro,0.0,0.0,2881.98791856,1295.33803459,2114.0
2011-10-04,ro,0.0,0.0,2899.25288663,1254.90823494,2066.0
2011-10-05,ro,0.0,0.0,2977.70820488,1286.07419876,2022.0
2011-10-06,ro,0.0,0.0,2541.05400117,1413.42090684,1904.0
2011-10-07,ro,0.0,0.0,2498.12283671,1417.21939747,1892.0
2011-10-08,ro,0.0,0.0,2621.41364496,1322.6744103,1948.0
2011-10-09,ro,0.0,0.0,2703.2021688,1324.82093481,2139.0
2011-10-10,ro,0.0,0.0,2813.54206478,1425.94342377,1903.0
2011-10-11,ro,0.0,0.0,2856.49591287,1375.29952885,1932.0
2011-10-12,ro,0.0,0.0,2655.67337688,1271.33293868,1942.0
2011-10-13,ro,0.0,0.0,2728.82570709,1396.50028397,2070.0
2011-10-14,ro,0.0,0.0,2886.21972401,1296.92695128,2111.0
2011-10-15,ro,0.0,0.0,2428.22866448,1327.77293941,1862.0
2011-10-16,ro,0.0,0.0,2622.86408589,1519.09516438,1963.0
