date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,rs,0.0,0.0,1481.33756298,545.066532396,828.0
2011-09-09,rs,0.0,0.0,1522.34359313,454.787122745,827.0
2011-09-11,rs,0.0,0.0,1212.27146431,497.009150134,935.0
2011-09-12,rs,0.0,0.0,1179.63692558,496.733926997,913.0
2011-09-13,rs,0.0,0.0,1136.80183145,552.169535868,907.0
2011-09-14,rs,0.0,0.0,1179.67231393,609.601936419,897.0
2011-09-15,rs,0.0,0.0,1273.26789434,495.853902217,943.0
2011-09-16,rs,0.0,0.0,1323.27647267,403.703217979,862.0
2011-09-17,rs,0.0,0.0,1308.89713993,388.120778107,755.0
2011-09-18,rs,0.0,0.0,1503.85246138,407.857583423,767.0
2011-09-19,rs,0.0,0.0,1508.65122492,439.981351504,835.0
2011-09-20,rs,0.0,0.0,1444.24051213,427.484990683,880.0
2011-09-21,rs,0.0,0.0,1390.76043208,442.899194086,841.0
2011-09-22,rs,0.0,0.0,1397.35263961,508.320404841,852.0
2011-09-23,rs,0.0,0.0,1293.07335549,487.439753921,772.0
2011-09-24,rs,0.0,0.0,1102.58398183,449.938179968,773.0
2011-09-25,rs,0.0,0.0,1115.27632878,440.165784479,759.0
2011-09-26,rs,0.0,0.0,1111.43432518,505.095120753,819.0
2011-09-27,rs,0.0,0.0,1179.13585837,569.369070463,873.0
2011-09-28,rs,0.0,0.0,1099.16705779,572.872692461,868.0
2011-09-29,rs,0.0,0.0,1108.68708026,542.886956493,840.0
2011-09-30,rs,0.0,0.0,1090.76290745,478.182926221,798.0
2011-10-01,rs,0.0,0.0,1148.00196934,493.185574235,725.0
2011-10-02,rs,0.0,0.0,1034.29178629,456.324264785,733.0
2011-10-03,rs,0.0,0.0,1222.59151137,509.122487941,783.0
2011-10-04,rs,0.0,0.0,1274.10964316,520.42573227,773.0
2011-10-05,rs,0.0,0.0,1308.90796449,586.347641054,876.0
2011-10-06,rs,0.0,0.0,1192.11452816,573.328644703,820.0
2011-10-07,rs,0.0,0.0,1071.46816662,554.884092963,782.0
2011-10-08,rs,0.0,0.0,1029.84657839,459.457842215,737.0
2011-10-09,rs,0.0,0.0,1133.18007978,496.3540021,807.0
2011-10-10,rs,0.0,0.0,1097.39165636,499.480136234,785.0
2011-10-11,rs,0.0,0.0,1105.93631448,505.801583934,757.0
2011-10-12,rs,0.0,0.0,1191.38418854,535.222358645,779.0
2011-10-13,rs,0.0,0.0,1221.57509456,580.53438844,835.0
2011-10-14,rs,0.0,0.0,1240.94618751,521.867796608,821.0
2011-10-15,rs,0.0,0.0,962.277931014,480.716102246,697.0
2011-10-16,rs,0.0,0.0,1039.83160064,545.579458036,734.0
2011-10-17,rs,0.0,0.0,1089.79877981,475.608505195,748.0
2011-10-18,rs,0.0,0.0,1010.43499156,484.362399777,748.0
2011-10-19,rs,0.0,0.0,1076.31281164,498.321702835,750.0
2011-10-20,rs,0.0,0.0,1184.70429659,505.497083212,803.0
2011-10-21,rs,0.0,0.0,1030.94476686,455.841920766,708.0
2011-10-22,rs,0.0,0.0,930.186313158,416.189872015,621.0
2011-10-23,rs,0.0,0.0,943.283756535,424.48764807,648.0
2011-10-24,rs,0.0,0.0,1044.79141606,400.455381595,719.0
2011-10-25,rs,0.0,0.0,908.975845692,442.145891727,674.0
2011-10-26,rs,0.0,0.0,1074.45369137,365.263292051,686.0
2011-10-27,rs,0.0,0.0,1063.84368136,371.030726444,673.0
2011-10-28,rs,0.0,0.0,1000.58094748,331.109432164,606.0
2011-10-29,rs,0.0,0.0,877.21365555,330.346575968,627.0
2011-10-30,rs,0.0,0.0,894.611318937,319.485170414,613.0
2011-10-31,rs,0.0,0.0,990.031473779,382.253087795,651.0
2011-11-01,rs,0.0,0.0,956.022260698,396.624653285,660.0
2011-11-02,rs,0.0,0.0,1026.36151426,302.516964763,630.0
2011-11-03,rs,0.0,0.0,928.595428617,369.641256255,636.0
2011-11-04,rs,0.0,0.0,967.428161971,303.707517768,625.0
2011-11-05,rs,0.0,0.0,1066.02123929,336.417356059,615.0
