date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ru,0.0,0.0,47132.0338132,24381.0236637,35294.0
2011-09-09,ru,0.0,0.0,54786.6713133,20927.1850845,34363.0
2011-09-11,ru,0.0,0.0,44961.5092861,24679.9121346,32715.0
2011-09-12,ru,0.0,0.0,42751.2353405,26720.3427197,34257.0
2011-09-13,ru,0.0,0.0,44950.8528095,26994.6204595,34720.0
2011-09-14,ru,0.0,0.0,42054.7495351,26752.8850805,35308.0
2011-09-15,ru,0.0,0.0,48311.9207044,25160.4457821,36287.0
2011-09-16,ru,0.0,0.0,49376.6710687,19772.4669364,32380.0
2011-09-17,ru,0.0,0.0,43645.7691542,16303.8412952,28937.0
2011-09-18,ru,0.0,0.0,47832.4258963,16439.7938079,31333.0
2011-09-19,ru,0.0,0.0,52959.5962764,17677.0301558,32015.0
2011-09-20,ru,0.0,0.0,50020.427003,18795.5871396,30192.0
2011-09-21,ru,0.0,0.0,50997.4584128,18749.0144249,28762.0
2011-09-22,ru,0.0,0.0,48650.403741,22141.7054381,29481.0
2011-09-23,ru,0.0,0.0,43252.5919006,20956.6778228,28378.0
2011-09-24,ru,0.0,0.0,37836.1796877,19521.2189155,26895.0
2011-09-25,ru,0.0,0.0,40790.0190571,20275.818897,27648.0
2011-09-26,ru,0.0,0.0,38391.204271,21452.5813149,28705.0
2011-09-27,ru,0.0,0.0,36895.2727568,21471.9358979,29743.0
2011-09-28,ru,0.0,0.0,34552.1584594,21138.0328454,27912.0
2011-09-29,ru,0.0,0.0,34551.2561415,21139.4824363,26637.0
2011-09-30,ru,0.0,0.0,36353.7986906,19721.5809177,26681.0
2011-10-01,ru,0.0,0.0,36500.8403979,18825.4043161,25629.0
2011-10-02,ru,0.0,0.0,34063.7045216,18665.1268158,24992.0
2011-10-03,ru,0.0,0.0,39124.8864261,19884.7490416,27239.0
2011-10-04,ru,0.0,0.0,39846.0413686,19478.8529438,26853.0
2011-10-05,ru,0.0,0.0,39649.5117248,19360.6305057,28000.0
2011-10-06,ru,0.0,0.0,33381.6573365,21037.2630342,27093.0
2011-10-07,ru,0.0,0.0,32341.6842204,20761.4679823,26640.0
2011-10-08,ru,0.0,0.0,32506.7686366,18530.7647097,25000.0
2011-10-09,ru,0.0,0.0,34490.4328589,19189.068092,25648.0
2011-10-10,ru,0.0,0.0,34268.1303955,19521.1288147,26889.0
2011-10-11,ru,0.0,0.0,35070.9254569,19007.9575746,28171.0
2011-10-12,ru,0.0,0.0,34694.6575718,18744.8012176,27628.0
2011-10-13,ru,0.0,0.0,36560.7223725,21206.1450804,28869.0
2011-10-14,ru,0.0,0.0,38252.2379667,19495.0884392,28573.0
2011-10-15,ru,0.0,0.0,29393.7424427,18150.1951527,23734.0
