date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,rw,0.0,0.0,93.8297743771,14.5279332425,60.0
2011-09-09,rw,0.0,0.0,91.6763317324,10.6780327646,30.0
2011-09-11,rw,0.0,0.0,31.7016596316,0.671633986667,30.0
2011-09-12,rw,0.0,0.0,67.9626212271,9.22317636333,27.0
2011-09-13,rw,0.0,0.0,82.8537240498,15.3593751284,46.0
2011-09-14,rw,0.0,0.0,101.592853783,23.8436220242,67.0
2011-09-15,rw,0.0,0.0,123.657821115,22.6323357858,49.0
2011-09-16,rw,0.0,0.0,73.5153595928,6.70974877528,37.0
2011-09-17,rw,0.0,0.0,54.5373808303,3.22538042748,32.0
2011-09-18,rw,0.0,0.0,74.4056403346,5.94689064529,29.0
2011-09-19,rw,0.0,0.0,70.5114496553,5.47921981948,44.0
2011-09-20,rw,0.0,0.0,103.261074814,12.3364551891,28.0
2011-09-21,rw,0.0,0.0,136.322062154,21.9201377784,35.0
2011-09-22,rw,0.0,0.0,101.601655572,15.2924309519,35.0
2011-09-23,rw,0.0,0.0,82.395218952,10.9754646578,28.0
2011-09-24,rw,0.0,0.0,70.5961804429,8.93007074747,29.0
2011-09-25,rw,0.0,0.0,65.2283173945,7.27000544935,24.0
2011-09-26,rw,0.0,0.0,83.5045895109,15.222044735,29.0
2011-09-27,rw,0.0,0.0,59.4322509259,8.1127717294,25.0
2011-09-28,rw,0.0,0.0,68.1922780332,11.691279438,45.0
2011-09-29,rw,0.0,0.0,67.925792041,10.9159575702,41.0
2011-09-30,rw,0.0,0.0,62.1871669011,7.83906436428,33.0
2011-10-01,rw,0.0,0.0,66.6076227947,8.07297814969,40.0
2011-10-02,rw,0.0,0.0,52.6722668945,5.5395965376,22.0
2011-10-03,rw,0.0,0.0,67.1898352152,7.83265366063,14.0
2011-10-04,rw,0.0,0.0,59.5015670917,6.12265567377,16.0
2011-10-05,rw,0.0,0.0,96.1646667788,16.9509173498,23.0
2011-10-06,rw,0.0,0.0,84.0754456701,14.8409322198,20.0
2011-10-07,rw,0.0,0.0,66.3007926303,11.1775212971,22.0
2011-10-08,rw,0.0,0.0,82.1884814678,13.9229649156,15.0
2011-10-09,rw,0.0,0.0,55.5746211376,5.48024923455,15.0
2011-10-10,rw,0.0,0.0,37.0323393598,2.20035302306,15.0
2011-10-11,rw,0.0,0.0,41.5197933765,3.01072371389,17.0
2011-10-12,rw,0.0,0.0,51.8517409993,5.57523290255,21.0
2011-10-13,rw,0.0,0.0,51.2824851322,4.86481331095,31.0
2011-10-14,rw,0.0,0.0,57.2959388377,5.37216849449,37.0
2011-10-15,rw,0.0,0.0,35.5126379303,2.26042054348,24.0
2011-10-16,rw,0.0,0.0,35.229267344,2.32491246322,29.0
2011-10-17,rw,0.0,0.0,37.9166803301,2.08905639178,23.0
2011-10-18,rw,0.0,0.0,39.9010333485,2.9489339408,22.0
2011-10-19,rw,0.0,0.0,48.6469067407,4.4164404978,20.0
