date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sa,0.0,0.0,29730.5975799,15356.5331146,22527.0
2011-09-09,sa,0.0,0.0,33966.5659611,12378.933203,21708.0
2011-09-11,sa,0.0,0.0,31080.2632272,16207.3124068,22344.0
2011-09-12,sa,0.0,0.0,28691.8296913,15902.0044432,21240.0
2011-09-13,sa,0.0,0.0,27941.4988596,16791.714433,21338.0
2011-09-14,sa,0.0,0.0,27587.7012898,17680.0233107,22467.0
2011-09-15,sa,0.0,0.0,30647.3780295,16034.8878756,23128.0
2011-09-16,sa,0.0,0.0,31248.4481761,12261.0324805,21617.0
2011-09-17,sa,0.0,0.0,31192.9295555,11599.4681089,20439.0
2011-09-18,sa,0.0,0.0,32623.2094518,11048.3229535,20765.0
2011-09-19,sa,0.0,0.0,32000.2448416,11332.4494342,20543.0
2011-09-20,sa,0.0,0.0,30852.9352555,11342.4645403,20134.0
2011-09-21,sa,0.0,0.0,31709.8557119,12319.299796,20222.0
2011-09-22,sa,0.0,0.0,31269.5688484,13808.5017943,20592.0
2011-09-23,sa,0.0,0.0,29439.4144743,13572.8967535,20174.0
2011-09-24,sa,0.0,0.0,26917.7507976,13656.5182073,20237.0
2011-09-25,sa,0.0,0.0,27184.7170695,13370.1746625,19674.0
2011-09-26,sa,0.0,0.0,24645.5850742,13913.8951011,18788.0
2011-09-27,sa,0.0,0.0,24576.9197658,14502.8695354,19181.0
2011-09-28,sa,0.0,0.0,23975.6052328,15346.367155,19273.0
2011-09-29,sa,0.0,0.0,24004.6942047,14990.3041013,19236.0
2011-09-30,sa,0.0,0.0,25678.8881749,14106.0878951,19013.0
2011-10-01,sa,0.0,0.0,27021.4261379,14455.4472112,19445.0
2011-10-02,sa,0.0,0.0,24135.4317552,13269.528795,18451.0
2011-10-03,sa,0.0,0.0,25382.1839992,13005.0511504,18818.0
2011-10-04,sa,0.0,0.0,25273.315228,12789.8209455,18583.0
2011-10-05,sa,0.0,0.0,25340.7487838,15164.1374464,20053.0
2011-10-06,sa,0.0,0.0,24736.5834296,14665.3916316,19803.0
2011-10-07,sa,0.0,0.0,22948.8310179,14869.8472285,19412.0
2011-10-08,sa,0.0,0.0,24791.4743621,14039.1872231,18740.0
2011-10-09,sa,0.0,0.0,25629.3460298,14187.747341,18908.0
2011-10-10,sa,0.0,0.0,23708.7804236,13678.4645216,18288.0
2011-10-11,sa,0.0,0.0,23992.9020399,13657.8559899,18564.0
2011-10-12,sa,0.0,0.0,24817.1293202,13619.9929965,19010.0
2011-10-13,sa,0.0,0.0,26666.453713,15779.0902464,20158.0
2011-10-14,sa,0.0,0.0,27854.2177346,14501.7667386,18962.0
2011-10-15,sa,0.0,0.0,22030.0426327,13709.7069318,17982.0
2011-10-16,sa,0.0,0.0,21990.6538316,14258.9325783,18147.0
2011-10-17,sa,0.0,0.0,22231.771852,12889.5508341,17290.0
2011-10-18,sa,0.0,0.0,22082.0847859,13499.5607172,17408.0
2011-10-19,sa,0.0,0.0,23737.1178078,13641.7376558,17934.0
2011-10-20,sa,0.0,0.0,25944.9629087,13557.9629913,18902.0
2011-10-21,sa,0.0,0.0,21588.7851046,11759.0495689,17945.0
2011-10-22,sa,0.0,0.0,21577.9423801,12119.4117474,16895.0
2011-10-23,sa,0.0,0.0,20417.2281207,12575.9549184,17117.0
2011-10-24,sa,0.0,0.0,21524.2316826,10803.0888725,16551.0
2011-10-25,sa,0.0,0.0,18774.6091536,11977.8860086,15798.0
2011-10-26,sa,0.0,0.0,23186.4538645,9872.30382872,16315.0
2011-10-27,sa,0.0,0.0,22687.2809898,9747.27913245,16694.0
2011-10-28,sa,0.0,0.0,22713.5378409,9465.34331012,15897.0
2011-10-29,sa,0.0,0.0,21266.2530228,10285.467247,15640.0
2011-10-30,sa,0.0,0.0,21141.5564866,9559.78951764,15134.0
2011-10-31,sa,0.0,0.0,20354.7696413,9994.79289229,15732.0
2011-11-01,sa,0.0,0.0,19947.3220755,10568.1358291,15221.0
2011-11-02,sa,0.0,0.0,20154.3729548,9358.57178979,14375.0
2011-11-03,sa,0.0,0.0,20490.0668543,10431.4323845,14225.0
2011-11-04,sa,0.0,0.0,22597.9070699,9054.56715348,14277.0
2011-11-05,sa,0.0,0.0,23262.9654799,9834.55136617,15493.0
2011-11-06,sa,0.0,0.0,21569.0885476,10809.9517841,14882.0
2011-11-07,sa,0.0,0.0,19254.9529526,11838.6182855,14398.0
2011-11-08,sa,0.0,0.0,20761.8599711,9965.17138226,17466.0
2011-11-09,sa,0.0,0.0,24358.0499688,7050.44130024,23130.0
2011-11-10,sa,0.0,0.0,22552.5396844,8631.06951214,21236.0
2011-11-11,sa,0.0,0.0,16054.5848639,11167.8448153,14875.0
2011-11-12,sa,0.0,0.0,16507.1570335,10416.3381923,13677.0
2011-11-13,sa,0.0,0.0,17035.4587921,9663.18172386,14192.0
2011-11-14,sa,0.0,0.0,17429.7333449,9518.78279191,13454.0
2011-11-15,sa,0.0,0.0,22075.4419386,10733.6964794,13794.0
2011-11-16,sa,0.0,0.0,30316.201209,11507.5346019,15780.0
2011-11-17,sa,0.0,0.0,24958.7090556,12756.6917181,16525.0
2011-11-18,sa,0.0,0.0,17049.620969,11384.6350598,14693.0
2011-11-19,sa,0.0,0.0,16539.3740637,10276.9984557,13655.0
2011-11-20,sa,0.0,0.0,17850.7365994,10064.2241829,13384.0
2011-11-21,sa,0.0,0.0,17311.5786392,9696.68730554,13267.0
2011-11-22,sa,0.0,0.0,18098.453415,9042.43475005,14089.0
2011-11-23,sa,0.0,0.0,25015.6335953,9630.52365452,19786.0
2011-11-24,sa,0.0,0.0,37912.1938038,11487.8495854,30935.0
2011-11-25,sa,0.0,0.0,31706.2858739,4212.92008061,21908.0
2011-11-26,sa,0.0,0.0,27910.9113587,4903.12044905,20308.0
2011-11-27,sa,0.0,0.0,19131.9675157,8604.19219245,14193.0
2011-11-28,sa,0.0,0.0,16802.2432821,9294.17386452,14826.0
2011-11-29,sa,0.0,0.0,17171.8374258,8436.45970567,13193.0
2011-11-30,sa,0.0,0.0,23438.8381636,7640.80912638,12134.0
2011-12-01,sa,0.0,0.0,32453.7476475,8652.32177532,14629.0
2011-12-02,sa,0.0,0.0,32076.6160109,4570.22539636,14690.0
2011-12-03,sa,0.0,0.0,27798.8799676,5851.87498695,13590.0
2011-12-04,sa,0.0,0.0,16138.1153148,8320.95072295,11777.0
2011-12-05,sa,0.0,0.0,21652.8493708,11326.9203192,14082.0
2011-12-06,sa,0.0,0.0,17600.5221477,10325.952168,12672.0
2011-12-07,sa,0.0,0.0,16844.9482878,9723.76025186,13215.0
2011-12-08,sa,0.0,0.0,18391.9905347,9466.86819323,13942.0
2011-12-09,sa,0.0,0.0,19420.4642965,9550.93788131,14132.0
2011-12-10,sa,0.0,0.0,17349.0808668,9690.24483076,13404.0
2011-12-11,sa,0.0,0.0,16678.7001964,9520.84646793,13822.0
2011-12-12,sa,0.0,0.0,16249.629834,9889.10583749,13771.0
2011-12-13,sa,0.0,0.0,15951.8218146,9686.02640805,13345.0
2011-12-14,sa,0.0,0.0,17172.7638016,8982.17690167,13566.0
2011-12-15,sa,0.0,0.0,18039.2013987,9412.4094039,13938.0
2011-12-16,sa,0.0,0.0,18539.5548017,10641.3522354,14571.0
2011-12-17,sa,0.0,0.0,18137.8572004,9855.62727286,13821.0
2011-12-18,sa,0.0,0.0,17881.9599565,10349.9788333,14091.0
2011-12-19,sa,0.0,0.0,17377.4756758,9789.69418465,13565.0
2011-12-20,sa,0.0,0.0,16792.1375701,9972.44572003,13250.0
2011-12-21,sa,0.0,0.0,17649.3687203,9778.48264007,13496.0
2011-12-22,sa,0.0,0.0,18204.4400592,10237.9330777,13963.0
2011-12-23,sa,0.0,0.0,17110.8578754,10836.3124883,14204.0
2011-12-24,sa,0.0,0.0,15826.1337534,10089.3503062,13789.0
2011-12-25,sa,0.0,0.0,19545.6849793,11057.6043654,16625.0
2011-12-26,sa,0.0,0.0,15721.8072524,9659.14573111,13604.0
2011-12-27,sa,0.0,0.0,16294.9609584,10409.1143081,13986.0
2011-12-28,sa,0.0,0.0,17139.9503755,9919.73303646,13966.0
2011-12-29,sa,0.0,0.0,17787.0817424,10264.1522474,13989.0
2011-12-30,sa,0.0,0.0,19351.1322154,9946.18675661,13875.0
2011-12-31,sa,0.0,0.0,17847.4583112,9513.96235598,13235.0
2012-01-01,sa,0.0,0.0,19152.9211469,9059.8472023,13554.0
2012-01-02,sa,0.0,0.0,20469.0941515,8381.80929833,13610.0
2012-01-03,sa,0.0,0.0,18650.5697317,9391.55632323,13690.0
2012-01-04,sa,0.0,0.0,18995.4838059,10445.75146,14699.0
2012-01-05,sa,0.0,0.0,22185.5681003,10296.3977349,19311.0
2012-01-06,sa,0.0,0.0,27020.6421742,6737.44768548,22125.0
2012-01-07,sa,0.0,0.0,28137.3608194,11227.7381847,19693.0
2012-01-09,sa,0.0,0.0,32355.6617071,8846.37951389,17267.0
2012-01-10,sa,0.0,0.0,26728.5163395,8952.95453593,14572.0
2012-01-11,sa,0.0,0.0,20425.7950773,9785.21002321,13563.0
2012-01-12,sa,0.0,0.0,28215.4254138,10196.0453545,14859.0
2012-01-13,sa,0.0,0.0,32819.0625813,9499.06287402,13952.0
2012-01-14,sa,0.0,0.0,26794.1269262,7493.46753379,14263.0
2012-01-16,sa,0.0,0.0,21920.1977773,6232.17448572,14936.0
2012-01-17,sa,0.0,0.0,20609.2536267,5394.83951374,13691.0
2012-01-18,sa,0.0,0.0,16858.7734085,10103.5139059,12873.0
2012-01-19,sa,0.0,0.0,19844.8976247,8444.96726448,13401.0
2012-01-20,sa,0.0,0.0,19450.9193146,9053.0674794,14288.0
2012-01-21,sa,0.0,0.0,19466.3478167,7973.08110348,13588.0
2012-01-22,sa,0.0,0.0,20014.8048298,7887.07771012,12970.0
2012-01-23,sa,0.0,0.0,21076.7113044,6152.36526259,11708.0
2012-01-24,sa,0.0,0.0,18903.4479719,7521.06386092,11827.0
2012-01-25,sa,0.0,0.0,18291.5324313,8357.3412086,11754.0
2012-01-26,sa,0.0,0.0,17558.4655333,7977.63485315,11175.0
2012-01-27,sa,0.0,0.0,18581.650068,8053.48485124,11407.0
2012-01-28,sa,0.0,0.0,17566.2398609,7751.78446932,11344.0
2012-01-29,sa,0.0,0.0,17986.1314714,7557.82236618,12259.0
2012-01-30,sa,0.0,0.0,16573.0252166,7667.73809619,12789.0
2012-01-31,sa,0.0,0.0,16718.1238572,7737.7134488,14313.0
2012-02-01,sa,0.0,0.0,17306.0805756,7443.31219617,13011.0
2012-02-02,sa,0.0,0.0,15907.9459169,7946.89254206,12322.0
2012-02-03,sa,0.0,0.0,16726.7451258,8179.8288843,12279.0
2012-02-04,sa,0.0,0.0,15549.1741448,8609.990456,11191.0
2012-02-05,sa,0.0,0.0,15788.7363637,8863.21083958,11142.0
2012-02-06,sa,0.0,0.0,16654.6040871,9153.05716791,11269.0
2012-02-07,sa,0.0,0.0,18275.1635817,9027.6651612,11440.0
2012-02-08,sa,0.0,0.0,18226.8511778,10283.3108265,13996.0
2012-02-09,sa,0.0,0.0,18453.5546006,9380.7839681,14254.0
2012-02-10,sa,0.0,0.0,16782.4034889,7962.84805669,11660.0
2012-02-11,sa,0.0,0.0,14351.1427982,9018.47688557,11241.0
2012-02-12,sa,0.0,0.0,14027.0253067,9134.2262947,11189.0
2012-02-13,sa,0.0,0.0,17270.9439189,7787.64309012,12003.0
2012-02-14,sa,0.0,0.0,17996.874677,7739.07278306,13187.0
2012-02-15,sa,0.0,0.0,17902.7924098,9107.66444992,12667.0
2012-02-16,sa,0.0,0.0,17370.5928113,9657.2575054,12744.0
2012-02-17,sa,0.0,0.0,15386.1299086,8763.55714106,11968.0
2012-02-18,sa,0.0,0.0,14025.7513085,8443.61265928,11412.0
2012-02-19,sa,0.0,0.0,14234.4606727,8180.77453601,11578.0
2012-02-20,sa,0.0,0.0,15634.5171944,7781.7407382,12098.0
2012-02-21,sa,0.0,0.0,17774.0819537,7544.08960135,12478.0
2012-02-22,sa,0.0,0.0,16859.8102687,8725.99247658,12396.0
2012-02-23,sa,0.0,0.0,16891.5942334,7975.65300963,11976.0
2012-02-24,sa,0.0,0.0,15322.2763154,7782.67650325,11653.0
2012-02-25,sa,0.0,0.0,15444.7395073,8707.00503012,12412.0
2012-02-26,sa,0.0,0.0,15959.4232511,8107.18595063,12438.0
2012-02-27,sa,0.0,0.0,16046.9645863,7663.03758218,11821.0
2012-02-28,sa,0.0,0.0,16555.656714,8346.62729214,11934.0
2012-02-29,sa,0.0,0.0,14818.5036887,8883.09318835,11927.0
2012-03-01,sa,0.0,0.0,15067.1325683,9781.88697448,13075.0
2012-03-02,sa,0.0,0.0,14015.2760008,9198.90174224,12412.0
2012-03-03,sa,0.0,0.0,14677.1403314,8741.92813072,12088.0
2012-03-04,sa,0.0,0.0,15113.715886,9408.75073925,12334.0
2012-03-05,sa,0.0,0.0,15666.3429636,8453.69750919,12577.0
2012-03-06,sa,0.0,0.0,15217.0313289,8614.4111612,12267.0
2012-03-07,sa,0.0,0.0,15669.154791,8574.6337544,12290.0
2012-03-08,sa,0.0,0.0,15099.6979542,9753.43828063,12232.0
2012-03-09,sa,0.0,0.0,15586.3331536,9514.92246971,12614.0
2012-03-10,sa,0.0,0.0,14545.8768874,10025.7471307,12384.0
2012-03-11,sa,0.0,0.0,15944.1223691,9218.63401919,12549.0
2012-03-12,sa,0.0,0.0,15068.5714579,9633.85538389,12227.0
2012-03-13,sa,0.0,0.0,14063.7345753,9686.41821531,12150.0
2012-03-14,sa,0.0,0.0,14075.8603384,9647.4192978,11958.0
2012-03-15,sa,0.0,0.0,14580.2720088,9705.00502336,12112.0
2012-03-16,sa,0.0,0.0,14532.9132758,9900.31139454,12050.0
2012-03-17,sa,0.0,0.0,14762.5755072,9259.53323217,12233.0
2012-03-18,sa,0.0,0.0,15074.7447269,8472.18445171,12238.0
2012-03-19,sa,0.0,0.0,14729.1497248,9307.26289238,12354.0
2012-03-20,sa,0.0,0.0,15107.8607209,9419.92405374,12088.0
2012-03-21,sa,0.0,0.0,14535.0522025,9281.8316547,11979.0
2012-03-22,sa,0.0,0.0,14828.4219041,10143.9232022,12298.0
2012-03-23,sa,0.0,0.0,14004.71201,9941.90798871,11547.0
2012-03-24,sa,0.0,0.0,14739.1055871,9772.90263944,11761.0
2012-03-25,sa,0.0,0.0,15048.1041697,9862.37300819,11674.0
2012-03-26,sa,0.0,0.0,14729.7773689,10000.8221061,11615.0
2012-03-27,sa,0.0,0.0,14426.2211177,9820.51071486,11745.0
