date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sc,0.0,0.0,205.9659384,53.3496375743,141.0
2011-09-09,sc,0.0,0.0,310.448307251,60.419618689,186.0
2011-09-11,sc,1.0,0.0,339.365632707,111.71947617,85.0
2011-09-12,sc,0.0,0.0,251.055304514,89.5394632744,126.0
2011-09-13,sc,0.0,0.0,222.220252493,75.3281764898,85.0
2011-09-14,sc,0.0,0.0,185.102978709,58.2203735536,174.0
2011-09-15,sc,0.0,0.0,251.899591743,69.939867106,132.0
2011-09-16,sc,0.0,0.0,336.193409941,79.0007262992,85.0
2011-09-17,sc,0.0,0.0,217.560960775,42.0331959291,77.0
2011-09-18,sc,0.0,0.0,172.464142986,27.1474728107,71.0
2011-09-19,sc,0.0,0.0,257.520166365,44.1254221202,71.0
2011-09-20,sc,0.0,0.0,170.93569774,28.490853237,77.0
2011-09-21,sc,0.0,0.0,319.02686049,67.8095847068,81.0
2011-09-22,sc,0.0,0.0,235.231768345,55.2394256127,84.0
2011-09-23,sc,0.0,0.0,161.726293746,33.5985186151,81.0
2011-09-24,sc,0.0,0.0,144.634447021,31.5552038781,76.0
2011-09-25,sc,0.0,0.0,133.131520747,27.1698691864,62.0
2011-09-26,sc,0.0,0.0,119.791196576,29.4799007581,47.0
2011-09-27,sc,0.0,0.0,131.667838804,34.6986145942,53.0
2011-09-28,sc,0.0,0.0,134.806157529,38.4660339157,49.0
2011-09-29,sc,0.0,0.0,134.881565174,39.1867557479,52.0
2011-09-30,sc,0.0,0.0,146.488407108,35.4937393015,56.0
2011-10-01,sc,0.0,0.0,145.269353897,33.0208395207,60.0
2011-10-02,sc,0.0,0.0,112.212761917,24.0976879662,67.0
2011-10-03,sc,0.0,0.0,98.9817514911,17.3079664073,78.0
2011-10-04,sc,0.0,1.0,105.408156028,19.6180510202,110.0
2011-10-05,sc,0.0,1.0,100.061709269,19.9853936873,123.0
2011-10-06,sc,0.0,1.0,98.6600830477,21.7761893648,126.0
2011-10-07,sc,0.0,1.0,101.086380996,24.03871586,136.0
2011-10-08,sc,0.0,1.0,112.826179574,24.474180398,124.0
2011-10-09,sc,0.0,0.0,134.190105339,30.5841806137,113.0
2011-10-10,sc,0.0,0.0,139.009897126,34.6987706266,130.0
2011-10-11,sc,0.0,0.0,188.627449275,54.78561546,114.0
2011-10-12,sc,0.0,0.0,200.049870548,58.1193242557,73.0
2011-10-13,sc,0.0,0.0,225.966534191,68.6066288451,89.0
2011-10-14,sc,0.0,0.0,251.818270153,71.7343531203,77.0
2011-10-15,sc,0.0,0.0,191.235150253,63.1484998037,124.0
2011-10-16,sc,0.0,0.0,174.998842094,58.6282851043,167.0
2011-10-17,sc,0.0,0.0,205.908101543,64.6388919788,155.0
2011-10-18,sc,0.0,1.0,180.735534549,57.3960111823,185.0
2011-10-19,sc,0.0,1.0,130.022780342,31.7199328823,192.0
2011-10-20,sc,0.0,0.0,157.881194173,38.4525135252,86.0
2011-10-21,sc,0.0,0.0,123.867974372,30.3059473925,68.0
2011-10-22,sc,1.0,0.0,194.864298205,59.1025172245,59.0
2011-10-23,sc,1.0,0.0,237.883167226,86.1713780422,59.0
2011-10-24,sc,0.0,0.0,245.510991268,71.3739627699,113.0
2011-10-25,sc,1.0,0.0,249.780395624,97.1347212812,85.0
2011-10-26,sc,0.0,0.0,298.346637406,89.788312637,106.0
2011-10-27,sc,0.0,0.0,145.802845177,28.3533943728,71.0
