date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sd,0.0,0.0,552.128714406,207.896907596,449.0
2011-09-09,sd,0.0,0.0,620.089692409,163.331108865,368.0
2011-09-11,sd,0.0,0.0,736.683826847,288.839105989,446.0
2011-09-12,sd,0.0,0.0,655.385049328,269.877360003,414.0
2011-09-13,sd,0.0,0.0,582.216061679,253.102764854,497.0
2011-09-14,sd,0.0,0.0,591.964750066,276.701507993,542.0
2011-09-15,sd,0.0,0.0,703.56089382,271.493254277,500.0
2011-09-16,sd,0.0,0.0,619.128656916,173.237345793,424.0
2011-09-17,sd,0.0,0.0,634.654695155,169.096407889,447.0
2011-09-18,sd,0.0,0.0,750.695632743,187.603464561,509.0
2011-09-19,sd,0.0,0.0,722.737810415,186.684311935,545.0
2011-09-20,sd,0.0,0.0,820.564288202,226.882014174,534.0
2011-09-21,sd,0.0,0.0,868.932946289,257.495404645,467.0
2011-09-22,sd,0.0,0.0,771.974079014,256.404265535,460.0
2011-09-23,sd,0.0,0.0,668.051316456,225.442001886,404.0
2011-09-24,sd,0.0,0.0,677.660440622,254.486325526,460.0
2011-09-25,sd,0.0,0.0,759.278348419,282.193889618,581.0
2011-09-26,sd,0.0,0.0,741.308517745,319.827690712,495.0
2011-09-27,sd,0.0,0.0,739.781460238,332.838193131,527.0
2011-09-28,sd,0.0,0.0,634.250820258,303.109257338,519.0
2011-09-29,sd,0.0,0.0,615.796301542,285.458433036,434.0
2011-09-30,sd,0.0,0.0,596.577724697,237.638186751,391.0
2011-10-01,sd,0.0,0.0,705.200932527,280.16138177,443.0
2011-10-02,sd,0.0,0.0,804.195740728,342.215986674,484.0
2011-10-03,sd,0.0,0.0,762.780659044,294.534528243,484.0
2011-10-04,sd,0.0,0.0,787.786351407,304.193298683,448.0
2011-10-05,sd,0.0,0.0,775.933189986,352.447567921,472.0
2011-10-06,sd,0.0,0.0,643.647052893,281.213310317,450.0
2011-10-07,sd,0.0,0.0,548.807050664,257.180364994,432.0
2011-10-08,sd,0.0,0.0,649.401036331,272.195135025,455.0
2011-10-09,sd,0.0,0.0,767.879973885,319.358698784,510.0
2011-10-10,sd,0.0,0.0,696.667733089,301.807737122,587.0
2011-10-11,sd,0.0,0.0,664.793902111,280.289001674,568.0
2011-10-12,sd,0.0,0.0,669.201572866,274.101661595,500.0
2011-10-13,sd,0.0,0.0,696.570588429,305.238080174,499.0
2011-10-14,sd,0.0,0.0,714.103214046,273.980245856,434.0
2011-10-15,sd,0.0,0.0,613.376076626,284.224714541,400.0
2011-10-16,sd,0.0,0.0,674.823894741,331.693197648,506.0
2011-10-17,sd,0.0,0.0,803.24445738,361.605996865,540.0
2011-10-18,sd,0.0,0.0,762.968273155,360.307229952,547.0
2011-10-19,sd,0.0,0.0,711.201737135,308.98362494,577.0
2011-10-20,sd,0.0,0.0,732.398411577,288.6730099,551.0
2011-10-21,sd,0.0,0.0,569.759475445,228.782722481,468.0
2011-10-22,sd,0.0,0.0,555.705273653,227.347272126,472.0
2011-10-23,sd,0.0,0.0,648.09646367,302.85476203,552.0
2011-10-24,sd,0.0,0.0,761.416215529,293.174345407,529.0
2011-10-25,sd,0.0,0.0,667.038233713,327.075083396,517.0
2011-10-26,sd,0.0,0.0,840.216511961,277.407321715,568.0
2011-10-27,sd,0.0,0.0,747.868134612,246.954388937,474.0
2011-10-28,sd,0.0,0.0,678.512298744,211.558478477,366.0
2011-10-29,sd,0.0,0.0,679.061643614,246.264690391,426.0
2011-10-30,sd,0.0,0.0,769.722691576,268.407485405,505.0
2011-10-31,sd,0.0,0.0,737.370412674,277.304984757,554.0
2011-11-01,sd,0.0,0.0,740.606253603,299.819936454,534.0
2011-11-02,sd,0.0,0.0,790.955918128,284.738770527,522.0
2011-11-03,sd,0.0,0.0,664.433092963,254.095695109,468.0
2011-11-04,sd,0.0,0.0,606.090005112,174.284280271,384.0
2011-11-05,sd,0.0,0.0,729.359754599,227.444655039,398.0
2011-11-06,sd,0.0,0.0,817.451028065,312.243310611,373.0
2011-11-07,sd,1.0,0.0,765.39656203,363.656796956,362.0
2011-11-08,sd,0.0,0.0,823.484051906,303.733887972,385.0
2011-11-09,sd,0.0,0.0,1000.74562713,222.176708837,389.0
2011-11-10,sd,0.0,0.0,847.007659064,244.204665535,368.0
2011-11-11,sd,0.0,0.0,500.479112504,252.658867161,336.0
2011-11-12,sd,0.0,0.0,490.311595055,225.899830409,399.0
2011-11-13,sd,0.0,0.0,496.469557965,202.906726426,469.0
2011-11-14,sd,0.0,0.0,510.70551024,199.87124538,460.0
2011-11-15,sd,0.0,0.0,565.406642079,198.526282295,490.0
2011-11-16,sd,0.0,0.0,593.582469449,162.156954996,492.0
2011-11-17,sd,0.0,0.0,505.362290795,184.298938138,474.0
2011-11-18,sd,0.0,0.0,451.513020247,213.106729488,374.0
2011-11-19,sd,0.0,0.0,556.62481793,253.743468363,395.0
2011-11-20,sd,0.0,0.0,673.198510819,286.169126284,478.0
2011-11-21,sd,0.0,0.0,675.610283876,284.386529806,489.0
2011-11-22,sd,0.0,0.0,729.889149175,277.52064133,475.0
2011-11-23,sd,0.0,0.0,888.302085327,259.077750288,463.0
2011-11-24,sd,0.0,0.0,1241.81663915,282.740394181,480.0
2011-11-25,sd,0.0,0.0,937.832831869,89.9134866965,315.0
2011-11-26,sd,0.0,0.0,932.872498577,119.769182866,433.0
2011-11-27,sd,0.0,0.0,776.855368868,264.979367458,483.0
2011-11-28,sd,0.0,0.0,702.904679905,296.029679198,473.0
2011-11-29,sd,0.0,0.0,659.319155275,244.750039813,398.0
2011-11-30,sd,0.0,0.0,628.928501756,152.697197698,379.0
2011-12-01,sd,0.0,0.0,579.402794251,114.571906083,413.0
2011-12-02,sd,0.0,0.0,546.963355691,53.7044276445,373.0
2011-12-03,sd,0.0,0.0,682.966724731,105.913611998,394.0
2011-12-04,sd,0.0,0.0,625.106666448,243.844032966,404.0
2011-12-05,sd,0.0,0.0,787.840079195,310.456111707,480.0
2011-12-06,sd,0.0,0.0,612.439252534,263.648214816,484.0
2011-12-07,sd,0.0,0.0,609.565321431,256.237584669,460.0
2011-12-08,sd,0.0,0.0,598.797649529,226.97519115,430.0
2011-12-09,sd,0.0,0.0,573.264712444,203.211444283,399.0
2011-12-10,sd,0.0,0.0,581.353772094,237.119753439,428.0
2011-12-11,sd,0.0,0.0,658.495838011,277.021816182,474.0
2011-12-12,sd,0.0,0.0,630.966693725,290.664182426,483.0
2011-12-13,sd,0.0,0.0,692.021293108,319.310866491,458.0
2011-12-14,sd,0.0,0.0,682.128104102,268.271428963,497.0
2011-12-15,sd,0.0,0.0,638.389314603,247.419869558,435.0
2011-12-16,sd,0.0,0.0,604.163592949,254.14272429,339.0
2011-12-17,sd,0.0,0.0,664.587237161,268.113164867,368.0
2011-12-18,sd,0.0,0.0,698.425895505,305.388932484,425.0
2011-12-19,sd,0.0,0.0,693.386960464,295.812158388,425.0
2011-12-20,sd,0.0,0.0,658.180611734,294.12461831,449.0
2011-12-21,sd,0.0,0.0,733.657067011,309.695377105,454.0
2011-12-22,sd,0.0,0.0,652.012423013,272.991327158,463.0
2011-12-23,sd,0.0,0.0,467.011831242,209.45293892,368.0
2011-12-24,sd,0.0,0.0,489.433729682,225.363494812,386.0
2011-12-25,sd,0.0,0.0,677.745113834,284.296742768,550.0
2011-12-26,sd,0.0,0.0,565.985061085,258.136146766,470.0
2011-12-27,sd,0.0,0.0,631.310621926,301.948730709,454.0
2011-12-28,sd,0.0,0.0,658.282372643,286.219145473,494.0
2011-12-29,sd,0.0,0.0,672.957969427,292.15574562,480.0
2011-12-30,sd,0.0,0.0,582.55507591,216.080058143,391.0
2011-12-31,sd,0.0,0.0,578.273705472,224.419510419,386.0
2012-01-01,sd,0.0,0.0,715.421559178,260.888589861,380.0
2012-01-02,sd,0.0,0.0,806.225716935,249.443459228,440.0
2012-01-03,sd,0.0,0.0,691.575742063,261.338701938,459.0
2012-01-04,sd,0.0,0.0,763.352659885,319.649723145,440.0
2012-01-05,sd,0.0,0.0,867.068145559,304.69009606,431.0
2012-01-06,sd,0.0,0.0,881.497722344,160.427357642,439.0
2012-01-07,sd,0.0,0.0,949.236980442,276.113477099,479.0
2012-01-09,sd,0.0,0.0,1197.84594103,244.352871684,444.0
2012-01-10,sd,0.0,0.0,1023.58089755,257.979077674,401.0
2012-01-11,sd,0.0,0.0,700.990855345,249.95203147,429.0
2012-01-12,sd,0.0,0.0,725.661470551,193.115138657,413.0
2012-01-13,sd,0.0,0.0,751.018231027,159.829416115,368.0
2012-01-14,sd,0.0,0.0,744.833522903,156.333751292,369.0
2012-01-16,sd,0.0,0.0,646.817413859,136.677008984,434.0
2012-01-17,sd,0.0,0.0,655.742743365,125.656792922,421.0
2012-01-18,sd,0.0,0.0,611.820037971,272.360944464,426.0
2012-01-19,sd,0.0,0.0,636.270388778,199.284346885,432.0
2012-01-20,sd,0.0,0.0,595.974113648,200.286139574,381.0
2012-01-21,sd,0.0,0.0,586.279970278,173.064491067,401.0
2012-01-22,sd,0.0,0.0,694.396879285,202.502885701,492.0
2012-01-23,sd,0.0,0.0,703.78935948,152.492345296,477.0
2012-01-24,sd,0.0,0.0,667.668497874,196.847877488,464.0
2012-01-25,sd,0.0,0.0,694.684806936,235.559846159,471.0
2012-01-26,sd,0.0,0.0,648.574229254,219.534081753,381.0
2012-01-27,sd,0.0,0.0,575.041223686,180.892227989,338.0
2012-01-28,sd,0.0,0.0,598.735214881,193.838799909,362.0
2012-01-29,sd,0.0,0.0,774.708708497,248.133143268,428.0
2012-01-30,sd,0.0,0.0,766.192860669,269.876172823,438.0
2012-01-31,sd,0.0,0.0,746.125194215,261.42296641,436.0
2012-02-01,sd,0.0,0.0,788.516213413,257.00505425,434.0
2012-02-02,sd,0.0,0.0,626.968309257,229.18059909,385.0
2012-02-03,sd,0.0,0.0,578.054549493,202.04444756,381.0
2012-02-04,sd,0.0,0.0,576.042475983,230.386045992,348.0
2012-02-05,sd,0.0,0.0,631.649123049,264.048732076,365.0
2012-02-06,sd,0.0,0.0,652.97342697,267.836609392,413.0
2012-02-07,sd,0.0,0.0,638.88783253,234.966627483,393.0
2012-02-08,sd,0.0,0.0,697.22419479,293.248755796,483.0
2012-02-09,sd,0.0,0.0,666.454825805,247.297973804,472.0
2012-02-10,sd,0.0,0.0,602.913100997,208.648221892,367.0
2012-02-11,sd,0.0,1.0,518.954762446,234.647407856,544.0
2012-02-12,sd,0.0,1.0,532.533334863,251.463075077,653.0
2012-02-13,sd,0.0,0.0,726.901548445,243.453351475,432.0
2012-02-14,sd,0.0,0.0,712.882958068,224.940453039,448.0
2012-02-15,sd,0.0,0.0,703.067135083,270.717566995,437.0
2012-02-16,sd,0.0,0.0,655.8285041,274.782956822,414.0
2012-02-17,sd,0.0,0.0,561.165215499,231.910134805,365.0
2012-02-18,sd,0.0,0.0,762.937232816,357.232759757,381.0
2012-02-19,sd,0.0,0.0,921.52313375,424.266877215,436.0
2012-02-20,sd,0.0,0.0,643.618648702,239.531078077,434.0
2012-02-21,sd,0.0,0.0,690.54710293,219.311803957,441.0
2012-02-22,sd,0.0,0.0,665.993422135,257.128665745,460.0
2012-02-23,sd,0.0,0.0,631.221659035,220.647223453,447.0
2012-02-24,sd,0.0,0.0,542.228086463,199.227903223,379.0
2012-02-25,sd,0.0,0.0,596.291695482,245.790919885,418.0
2012-02-26,sd,0.0,0.0,687.400867911,261.779439014,469.0
2012-02-27,sd,0.0,0.0,659.376432756,235.311820375,441.0
2012-02-28,sd,0.0,0.0,668.850585298,252.508824006,438.0
2012-02-29,sd,0.0,0.0,626.883312464,283.15600784,410.0
2012-03-01,sd,0.0,0.0,642.345256039,313.635819508,404.0
2012-03-02,sd,0.0,0.0,527.737853891,252.573363991,326.0
2012-03-03,sd,0.0,0.0,567.497786433,250.601939747,355.0
2012-03-04,sd,0.0,0.0,648.990367101,305.931105118,391.0
2012-03-05,sd,0.0,0.0,667.552521798,270.216270326,390.0
2012-03-06,sd,0.0,0.0,638.666523123,270.461130994,383.0
2012-03-07,sd,0.0,0.0,618.636269413,250.77250501,376.0
2012-03-08,sd,0.0,0.0,537.916954226,255.168200355,350.0
2012-03-09,sd,0.0,0.0,479.93464263,206.949563716,332.0
2012-03-10,sd,0.0,0.0,496.926908625,246.3307445,350.0
2012-03-11,sd,0.0,0.0,584.038367431,247.417838308,410.0
2012-03-12,sd,0.0,0.0,540.316581976,252.688691618,410.0
2012-03-13,sd,0.0,0.0,507.940259877,254.884244174,401.0
2012-03-14,sd,0.0,0.0,498.593919417,248.494133428,411.0
2012-03-15,sd,0.0,0.0,486.58559017,232.302835288,374.0
2012-03-16,sd,0.0,0.0,448.230101032,215.894641002,312.0
2012-03-17,sd,0.0,0.0,486.703661252,218.88138195,341.0
2012-03-18,sd,0.0,0.0,566.116647285,235.280276904,383.0
