date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,se,0.0,0.0,10409.3790561,5206.899472,7522.0
2011-09-09,se,0.0,0.0,12245.490248,4324.85127785,7506.0
2011-09-11,se,0.0,0.0,11424.8850143,5771.96813469,8209.0
2011-09-12,se,0.0,0.0,9980.64600528,5344.26372129,7177.0
2011-09-13,se,0.0,0.0,9542.00968032,5531.33397963,7108.0
2011-09-14,se,0.0,0.0,9226.07435414,5698.44699795,7184.0
2011-09-15,se,0.0,0.0,10416.6836487,5256.16778845,7039.0
2011-09-16,se,0.0,0.0,10992.6924799,4163.49019019,6809.0
2011-09-17,se,0.0,0.0,11451.6814225,4118.31574052,6715.0
2011-09-18,se,0.0,0.0,12176.3686313,3992.40454042,6980.0
2011-09-19,se,0.0,0.0,11008.5307952,3757.77453702,6772.0
2011-09-20,se,0.0,0.0,10467.1293395,3707.01214024,6567.0
2011-09-21,se,0.0,0.0,10329.4231856,3862.99328672,6373.0
2011-09-22,se,0.0,0.0,9703.12034699,4117.76683242,6456.0
2011-09-23,se,0.0,0.0,9453.65660145,4189.35651504,6314.0
2011-09-24,se,0.0,0.0,9012.37048115,4398.2919657,6594.0
2011-09-25,se,0.0,0.0,9306.5831849,4408.70125912,6661.0
2011-09-26,se,0.0,0.0,8278.33486693,4497.05544244,6061.0
2011-09-27,se,0.0,0.0,8172.08748118,4636.0662101,6144.0
2011-09-28,se,0.0,0.0,7708.05368444,4735.98474577,6077.0
2011-09-29,se,0.0,0.0,7677.00296959,4602.45677766,6003.0
2011-09-30,se,0.0,0.0,8200.77321351,4322.71759042,6241.0
2011-10-01,se,0.0,0.0,8975.04803057,4616.06213838,6447.0
2011-10-02,se,0.0,0.0,8325.15858195,4405.8576422,6265.0
2011-10-03,se,0.0,0.0,8355.07849467,4107.83180212,6202.0
2011-10-04,se,0.0,0.0,8260.20933283,4011.37784637,6160.0
2011-10-05,se,0.0,0.0,8154.98100168,4679.63066674,6372.0
2011-10-06,se,0.0,0.0,7880.29358726,4478.26321749,6005.0
2011-10-07,se,0.0,0.0,7682.1235336,4781.14372297,6040.0
2011-10-08,se,0.0,0.0,8378.88755863,4562.0497971,6493.0
2011-10-09,se,0.0,0.0,8869.82483919,4721.60769266,6672.0
2011-10-10,se,0.0,0.0,7968.75046106,4415.80577755,5971.0
2011-10-11,se,0.0,0.0,8110.7369456,4434.76129332,5982.0
2011-10-12,se,0.0,0.0,8043.68232899,4238.46258909,6034.0
2011-10-13,se,0.0,0.0,8257.83776678,4680.04445179,6454.0
2011-10-14,se,0.0,0.0,8847.33355798,4415.14945212,6384.0
2011-10-15,se,0.0,0.0,7775.91500126,4658.12726608,6208.0
2011-10-16,se,0.0,0.0,7900.87439178,4936.64875938,6520.0
2011-10-17,se,0.0,0.0,7406.64734559,4120.42424484,5868.0
2011-10-18,se,0.0,0.0,7261.51291234,4258.65205195,5898.0
2011-10-19,se,0.0,0.0,7689.48886731,4238.01644996,5927.0
2011-10-20,se,0.0,0.0,8471.49190103,4252.05675109,6216.0
2011-10-21,se,0.0,0.0,7407.98166226,3880.38439328,5700.0
2011-10-22,se,0.0,0.0,7591.91469446,4101.26161333,5769.0
2011-10-23,se,0.0,0.0,7468.43593776,4433.79371612,5873.0
2011-10-24,se,0.0,0.0,7450.74214083,3590.74280504,5422.0
2011-10-25,se,0.0,0.0,6487.89074489,3975.1657863,5138.0
2011-10-26,se,0.0,0.0,7817.28386503,3194.71329886,5499.0
2011-10-27,se,0.0,0.0,7608.38972572,3139.92436578,5519.0
2011-10-28,se,0.0,0.0,7367.58454335,2940.66285083,5531.0
2011-10-29,se,0.0,0.0,7407.27782061,3439.55950523,5368.0
2011-10-30,se,0.0,0.0,7397.02305789,3212.84334778,5102.0
2011-10-31,se,0.0,0.0,6809.62173649,3202.06428587,4915.0
2011-11-01,se,0.0,0.0,6629.8973729,3359.36177075,4808.0
2011-11-02,se,0.0,0.0,6933.76682705,3086.63916183,4684.0
2011-11-03,se,0.0,0.0,6915.11425477,3374.0048629,4698.0
2011-11-04,se,0.0,0.0,8021.37341618,3084.89044237,4787.0
2011-11-05,se,0.0,0.0,8150.05365387,3303.45541706,5200.0
2011-11-06,se,0.0,0.0,7427.60071186,3563.55042463,5137.0
2011-11-07,se,0.0,0.0,6154.07359968,3610.20479025,4782.0
2011-11-08,se,0.0,0.0,6709.67391489,3072.43701788,4932.0
2011-11-09,se,0.0,0.0,8119.34998959,2243.02317441,5231.0
2011-11-10,se,0.0,0.0,7616.92005565,2783.30702129,5031.0
2011-11-11,se,0.0,0.0,5501.99913223,3658.30666446,4530.0
2011-11-12,se,0.0,0.0,5658.23718344,3418.98700379,4523.0
2011-11-13,se,0.0,0.0,6004.28284196,3263.2491019,4544.0
2011-11-14,se,0.0,0.0,5918.3137405,3088.11306428,4330.0
2011-11-15,se,0.0,0.0,6385.40762087,2954.50101007,4424.0
2011-11-16,se,0.0,0.0,7038.55764419,2531.28026604,4588.0
2011-11-17,se,0.0,0.0,6070.07722073,2939.53724409,4570.0
2011-11-18,se,0.0,0.0,5318.06714981,3379.71487285,4432.0
2011-11-19,se,0.0,0.0,5595.54422234,3317.28846254,4499.0
2011-11-20,se,0.0,0.0,5850.24140652,3143.46904703,4552.0
2011-11-21,se,0.0,0.0,5705.29200978,3042.63808198,4271.0
2011-11-22,se,0.0,0.0,5942.11148797,2828.67990272,4378.0
2011-11-23,se,0.0,0.0,7454.34782869,2727.86233192,4960.0
2011-11-24,se,0.0,0.0,10754.9792949,3092.9651728,7178.0
2011-11-25,se,0.0,0.0,9801.19044377,1238.38081842,8209.0
2011-11-26,se,0.0,0.0,9409.93044743,1576.65190572,5742.0
2011-11-27,se,0.0,0.0,6653.81470127,2857.65969467,4658.0
2011-11-28,se,0.0,0.0,5539.82117706,2916.86945518,4159.0
2011-11-29,se,0.0,0.0,5465.96848083,2555.04208229,3940.0
2011-11-30,se,0.0,0.0,6028.48163885,1864.09566021,4011.0
2011-12-01,se,0.0,0.0,7699.68784205,1961.43674628,4365.0
2011-12-02,se,0.0,0.0,12207.4223615,1684.73571025,4276.0
2011-12-03,se,0.0,0.0,8038.19820943,1615.92220317,4350.0
2011-12-04,se,0.0,0.0,5417.59110922,2665.94741749,4057.0
2011-12-05,se,0.0,0.0,6236.12264125,3089.58988325,4585.0
2011-12-06,se,0.0,0.0,5395.66733878,2999.60499617,4044.0
2011-12-07,se,0.0,0.0,5704.94064044,3132.8983653,4093.0
2011-12-08,se,0.0,0.0,5625.77099242,2751.07283156,4058.0
2011-12-09,se,0.0,0.0,5798.05316546,2706.13259961,4300.0
2011-12-10,se,0.0,0.0,5686.13466025,3024.38145147,4339.0
2011-12-11,se,0.0,0.0,5881.28507297,3198.72320679,4528.0
2011-12-12,se,0.0,0.0,5413.55998393,3142.21753321,4357.0
2011-12-13,se,0.0,0.0,5218.18168729,3011.32277557,4313.0
2011-12-14,se,0.0,0.0,5453.249216,2708.69869506,4020.0
2011-12-15,se,0.0,0.0,5389.31018634,2664.46806006,4000.0
2011-12-16,se,0.0,0.0,5782.16356536,3153.8568048,4348.0
2011-12-17,se,0.0,0.0,6011.43406237,3111.02414532,4463.0
2011-12-18,se,0.0,0.0,5993.6728555,3309.02438236,4558.0
