date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sg,0.0,0.0,2942.37466864,1359.46406181,2055.0
2011-09-09,sg,0.0,0.0,3229.2287189,1097.20599765,1995.0
2011-09-11,sg,0.0,0.0,3053.17034152,1492.50951978,2067.0
2011-09-12,sg,0.0,0.0,2686.49073035,1488.41480962,1940.0
2011-09-13,sg,0.0,0.0,2718.51570806,1440.4968273,1964.0
2011-09-14,sg,0.0,0.0,2638.0146264,1480.84559627,1894.0
2011-09-15,sg,0.0,0.0,2987.70205551,1373.76310323,1967.0
2011-09-16,sg,0.0,0.0,3046.69061536,1075.05009385,1890.0
2011-09-17,sg,0.0,0.0,3027.66305039,998.651980984,1942.0
2011-09-18,sg,0.0,0.0,3206.01884264,974.772445234,2005.0
2011-09-19,sg,0.0,0.0,3191.48738828,936.217557327,1965.0
2011-09-20,sg,0.0,0.0,3009.84130858,994.764831126,1937.0
2011-09-21,sg,0.0,0.0,2914.62604942,939.319609739,1928.0
2011-09-22,sg,0.0,0.0,2806.09658856,1122.61141087,1876.0
2011-09-23,sg,0.0,0.0,2687.9920052,1143.2236822,1891.0
2011-09-24,sg,0.0,0.0,2697.10086506,1227.53275407,1998.0
2011-09-25,sg,0.0,0.0,2771.77824618,1216.80029303,2197.0
2011-09-26,sg,0.0,0.0,2504.36151839,1233.01708119,2156.0
2011-09-27,sg,0.0,0.0,2515.91305472,1289.85671513,2104.0
2011-09-28,sg,0.0,0.0,2460.20301601,1327.65449962,2019.0
2011-09-29,sg,0.0,0.0,2338.82249759,1258.32869971,1928.0
2011-09-30,sg,0.0,0.0,2575.48372149,1230.0229361,2142.0
2011-10-01,sg,0.0,0.0,2874.20730366,1313.41695574,2210.0
2011-10-02,sg,0.0,0.0,2859.42802468,1398.22735284,1988.0
2011-10-03,sg,0.0,0.0,3108.70607967,1405.8206663,1907.0
2011-10-04,sg,0.0,0.0,2985.79774892,1295.73458285,1891.0
2011-10-05,sg,0.0,0.0,3040.23590867,1315.15806095,1966.0
2011-10-06,sg,0.0,0.0,2564.33270224,1427.96726266,1895.0
2011-10-07,sg,0.0,0.0,2744.61693066,1570.08800664,1899.0
2011-10-08,sg,0.0,0.0,2958.54107353,1507.71559809,1932.0
2011-10-09,sg,0.0,0.0,2906.78497553,1434.10883389,1969.0
2011-10-10,sg,0.0,0.0,2549.04204557,1280.78311636,1899.0
2011-10-11,sg,0.0,0.0,2624.09436788,1253.63006026,1939.0
2011-10-12,sg,0.0,0.0,2585.37257549,1234.36364482,1841.0
2011-10-13,sg,0.0,0.0,2716.94977316,1389.29357378,1923.0
2011-10-14,sg,0.0,0.0,2896.04634759,1302.16857291,2008.0
2011-10-15,sg,0.0,0.0,2409.85039644,1316.62143096,1797.0
2011-10-16,sg,0.0,0.0,2422.15204819,1393.33969876,1875.0
2011-10-17,sg,0.0,0.0,2437.61588442,1258.03853499,1757.0
2011-10-18,sg,0.0,0.0,2425.23490271,1328.1031722,1845.0
2011-10-19,sg,0.0,0.0,2343.06074066,1291.56422865,1873.0
2011-10-20,sg,0.0,0.0,2751.1773877,1132.08525043,1933.0
2011-10-21,sg,0.0,0.0,2454.41553064,1154.40224909,1721.0
2011-10-22,sg,0.0,0.0,2330.86131885,1112.12446388,1686.0
2011-10-23,sg,0.0,0.0,2220.64592641,1237.51255874,1687.0
2011-10-24,sg,0.0,0.0,2336.4097115,1025.05772318,1590.0
2011-10-25,sg,0.0,0.0,2179.80670035,1148.70877966,1597.0
2011-10-26,sg,0.0,0.0,2576.97056016,969.985590436,1618.0
2011-10-27,sg,0.0,0.0,2489.06688356,902.440914864,1577.0
2011-10-28,sg,0.0,0.0,2324.37761331,835.779827035,1616.0
2011-10-29,sg,0.0,0.0,2228.64833383,974.427936696,1550.0
2011-10-30,sg,0.0,0.0,2206.13894559,885.290982486,1495.0
2011-10-31,sg,0.0,0.0,2066.25708895,902.591121992,1530.0
2011-11-01,sg,0.0,0.0,1947.48139704,1142.59566285,1528.0
2011-11-02,sg,0.0,0.0,2119.81562455,869.876366964,1524.0
2011-11-03,sg,0.0,0.0,2097.87331566,895.824687554,1544.0
2011-11-04,sg,0.0,0.0,2442.19367321,858.8273698,1531.0
2011-11-05,sg,0.0,0.0,2477.46344199,881.906482341,1579.0
2011-11-06,sg,0.0,0.0,2280.1150031,982.172503522,1511.0
2011-11-07,sg,0.0,0.0,1997.82418995,1068.8585356,1412.0
2011-11-08,sg,0.0,0.0,2229.05809862,917.99322207,1458.0
2011-11-09,sg,0.0,0.0,2748.85934952,676.672163417,1489.0
2011-11-10,sg,0.0,0.0,2485.31704724,929.512317589,1486.0
2011-11-11,sg,0.0,0.0,1877.0900841,1073.83937965,1397.0
2011-11-12,sg,0.0,0.0,1808.57742261,986.700044856,1353.0
2011-11-13,sg,0.0,0.0,1847.97652936,916.736320338,1332.0
2011-11-14,sg,0.0,0.0,1829.57882816,868.435824865,1274.0
2011-11-15,sg,0.0,0.0,1988.48763152,822.554155477,1286.0
2011-11-16,sg,0.0,0.0,2108.63714743,691.172440668,1356.0
2011-11-17,sg,0.0,0.0,1876.24053785,840.677819079,1408.0
2011-11-18,sg,0.0,0.0,1713.8278506,995.928357388,1386.0
2011-11-19,sg,0.0,0.0,1751.50390547,945.035950974,1393.0
2011-11-20,sg,0.0,0.0,1786.54577436,888.528226509,1436.0
2011-11-21,sg,0.0,0.0,1758.95600545,854.842304596,1337.0
2011-11-22,sg,0.0,0.0,1816.84626753,778.337011865,1355.0
2011-11-23,sg,0.0,0.0,2304.01921512,763.090973595,1531.0
2011-11-24,sg,0.0,0.0,3477.59705488,868.485391237,2124.0
2011-11-25,sg,0.0,0.0,3223.1583839,330.699895107,1828.0
2011-11-26,sg,0.0,0.0,3041.45547684,447.108809989,2350.0
2011-11-27,sg,0.0,0.0,2180.40686182,872.970182974,1636.0
2011-11-28,sg,0.0,0.0,1796.68128355,891.372650723,1376.0
2011-11-29,sg,0.0,0.0,1816.98013987,729.355567902,1333.0
2011-11-30,sg,0.0,0.0,1944.93545013,545.692681214,1351.0
2011-12-01,sg,0.0,0.0,2484.01554462,488.004497705,1497.0
2011-12-02,sg,0.0,0.0,2962.64567055,285.716314293,1411.0
2011-12-03,sg,0.0,0.0,3431.61212947,631.146304833,1357.0
2011-12-04,sg,0.0,0.0,1978.47323671,892.05678013,1260.0
2011-12-05,sg,0.0,0.0,2125.44772931,972.194237843,1456.0
2011-12-06,sg,0.0,0.0,1944.16938093,913.234571616,1260.0
2011-12-07,sg,0.0,0.0,2038.76838794,957.870256294,1306.0
2011-12-08,sg,0.0,0.0,2039.27444685,858.824581173,1294.0
2011-12-09,sg,0.0,0.0,2027.66345299,835.028054179,1354.0
2011-12-10,sg,0.0,0.0,1867.21856637,892.08929795,1322.0
2011-12-11,sg,0.0,0.0,1936.01479065,930.853403719,1331.0
2011-12-12,sg,0.0,0.0,1806.36837905,943.975611015,1395.0
2011-12-13,sg,0.0,0.0,1733.86193883,870.090686416,1347.0
2011-12-14,sg,0.0,0.0,1837.95697451,817.818630614,1315.0
2011-12-15,sg,0.0,0.0,1801.2349768,810.518558446,1293.0
2011-12-16,sg,0.0,0.0,1899.87853085,943.193598795,1308.0
2011-12-17,sg,0.0,0.0,1906.45621856,895.683354378,1309.0
2011-12-18,sg,0.0,0.0,1843.90911868,915.140374983,1341.0
2011-12-19,sg,0.0,0.0,1854.95196667,948.625937663,1283.0
2011-12-20,sg,0.0,0.0,1813.66862209,928.148121189,1225.0
2011-12-21,sg,0.0,0.0,1808.58513895,884.411065898,1207.0
2011-12-22,sg,0.0,0.0,1774.83478525,894.68115829,1191.0
2011-12-23,sg,0.0,0.0,1625.73904672,905.201459247,1174.0
2011-12-24,sg,0.0,0.0,1631.43668525,856.378299067,1134.0
2011-12-25,sg,0.0,0.0,2029.89034526,938.204154147,1369.0
2011-12-26,sg,0.0,0.0,1648.11482132,795.86215437,1205.0
2011-12-27,sg,0.0,0.0,1730.10551549,795.641000965,1307.0
2011-12-28,sg,0.0,0.0,1737.73625641,746.923409276,1268.0
2011-12-29,sg,0.0,0.0,1671.81701733,777.249120871,1222.0
2011-12-30,sg,0.0,0.0,1721.31998126,769.163845745,1228.0
2011-12-31,sg,0.0,0.0,1571.44416681,737.56404704,1147.0
2012-01-01,sg,0.0,0.0,1675.43714316,710.462969072,1154.0
2012-01-02,sg,0.0,0.0,1926.91499012,722.885886951,1180.0
2012-01-03,sg,0.0,0.0,1852.48316705,843.146529713,1252.0
2012-01-04,sg,0.0,0.0,1876.15723345,867.394537791,1364.0
2012-01-05,sg,0.0,0.0,2211.54383883,750.515420819,1525.0
2012-01-06,sg,0.0,0.0,2597.04503072,528.130864799,1681.0
2012-01-07,sg,0.0,0.0,2878.67669745,702.838121341,1802.0
2012-01-09,sg,0.0,0.0,3106.2945257,623.853774985,1590.0
2012-01-10,sg,0.0,0.0,2737.31852264,658.707864426,1453.0
2012-01-11,sg,0.0,0.0,2026.3877954,837.949263941,1491.0
2012-01-12,sg,0.0,0.0,2377.36168233,753.76521031,1955.0
2012-01-13,sg,0.0,0.0,2650.17977254,675.657618027,1890.0
2012-01-14,sg,0.0,0.0,2527.30316388,667.975738809,1833.0
2012-01-16,sg,0.0,0.0,2159.21716611,529.150880834,1509.0
2012-01-17,sg,0.0,0.0,2240.77755035,468.600067997,1756.0
2012-01-18,sg,0.0,0.0,1978.86287329,1037.38991352,1367.0
2012-01-19,sg,0.0,0.0,2670.92016446,1158.50831754,1332.0
2012-01-20,sg,0.0,0.0,2791.42642304,1166.25700945,1511.0
2012-01-21,sg,0.0,0.0,2642.11715952,998.479656823,1448.0
2012-01-22,sg,0.0,0.0,2427.73842539,910.295422098,1686.0
2012-01-23,sg,0.0,0.0,2193.30618007,684.130506145,1684.0
2012-01-24,sg,0.0,0.0,2532.93682368,961.672801416,1643.0
2012-01-25,sg,0.0,0.0,2054.83643736,833.606079886,1412.0
2012-01-26,sg,0.0,0.0,1866.25265136,737.766868831,1218.0
2012-01-27,sg,0.0,0.0,2095.58673874,795.394074595,1207.0
2012-01-28,sg,0.0,0.0,2003.01126255,769.399132303,1141.0
2012-01-29,sg,0.0,0.0,2464.6346256,936.416782355,1229.0
2012-01-30,sg,0.0,0.0,2392.19458608,1137.73673892,1305.0
2012-01-31,sg,0.0,0.0,2335.10156736,1131.63961763,1317.0
2012-02-01,sg,0.0,0.0,2168.25323865,892.813225435,1307.0
2012-02-02,sg,0.0,0.0,1864.41772505,792.726490038,1234.0
2012-02-03,sg,0.0,0.0,1915.87994229,775.350866731,1254.0
2012-02-04,sg,0.0,0.0,1686.73854855,784.51837353,1196.0
2012-02-05,sg,0.0,0.0,1713.86516577,797.071920615,1230.0
2012-02-06,sg,0.0,0.0,1813.94177448,863.806101707,1232.0
2012-02-07,sg,0.0,0.0,1792.30750577,764.398841893,1197.0
2012-02-08,sg,0.0,0.0,1984.58529781,912.394887128,1348.0
2012-02-09,sg,0.0,0.0,1975.09997262,864.525463109,1497.0
2012-02-10,sg,0.0,0.0,1727.0137834,834.779590682,1355.0
2012-02-11,sg,0.0,0.0,1642.60410798,890.268391731,1279.0
2012-02-12,sg,0.0,0.0,1651.48210009,936.214959831,1274.0
2012-02-13,sg,0.0,0.0,1954.63134387,852.573359984,1310.0
2012-02-14,sg,0.0,0.0,1968.17231808,793.290960484,1376.0
2012-02-15,sg,0.0,0.0,1814.28646638,843.610397971,1468.0
2012-02-16,sg,0.0,0.0,1940.85798766,953.056764894,1387.0
2012-02-17,sg,0.0,0.0,1896.21316012,953.229498433,1311.0
2012-02-18,sg,0.0,0.0,1707.14952398,892.63212522,1333.0
2012-02-19,sg,0.0,0.0,1732.39058507,863.975753213,1330.0
2012-02-20,sg,0.0,0.0,1825.16781674,790.262885828,1343.0
2012-02-21,sg,0.0,0.0,1977.12203099,734.368363898,1301.0
2012-02-22,sg,0.0,0.0,2060.35675712,973.133815842,1315.0
2012-02-23,sg,0.0,0.0,1923.62287063,859.3868727,1276.0
2012-02-24,sg,0.0,0.0,1754.24070547,835.445699253,1226.0
2012-02-25,sg,0.0,0.0,1923.72759887,939.406791709,1300.0
2012-02-26,sg,0.0,0.0,1878.42266241,917.476518166,1286.0
2012-02-27,sg,0.0,0.0,1931.0434763,777.395567115,1290.0
