date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2012-07-09,sh,0.0,0.0,6.83281028713,0.0,1.0
2012-07-14,sh,0.0,0.0,10.6677062833,0.0,0.0
2012-07-15,sh,0.0,0.0,7.2763336448,0.0,1.0
2012-07-16,sh,0.0,0.0,7.10245445783,0.0,0.0
2013-01-10,sh,0.0,0.0,7.43846413079,0.0,0.0
2013-01-11,sh,0.0,0.0,7.32619002154,0.0,0.0
2013-02-21,sh,0.0,0.0,6.45774694272,0.0,0.0
2013-08-31,sh,0.0,0.0,19.9727345175,0.0,1.0
2013-09-04,sh,0.0,0.0,20.5167469656,0.0,2.0
2013-09-05,sh,0.0,0.0,17.441518194,0.0,2.0
2013-09-07,sh,0.0,0.0,11.9835501375,0.0,1.0
2013-09-11,sh,0.0,0.0,11.3604824843,0.0,3.0
2013-09-12,sh,0.0,0.0,11.5678403281,0.0,5.0
2013-09-13,sh,0.0,0.0,16.2554819539,0.0,2.0
2013-09-14,sh,0.0,0.0,7.71861829534,0.0,1.0
2013-09-15,sh,0.0,0.0,7.50980979901,0.0,1.0
2013-09-16,sh,0.0,0.0,11.7660583339,0.0,0.0
2013-09-17,sh,0.0,0.0,10.8608556686,0.0,1.0
2013-09-18,sh,0.0,0.0,13.553674723,0.0,2.0
2013-09-19,sh,0.0,0.0,17.4180810185,0.0,1.0
2013-09-20,sh,0.0,0.0,10.0244866528,0.0,1.0
2013-09-22,sh,0.0,0.0,6.79778628676,0.0,1.0
2013-09-24,sh,0.0,0.0,6.64166527038,0.0,3.0
2013-09-25,sh,0.0,0.0,9.57837127529,0.0,1.0
2013-09-26,sh,0.0,0.0,6.24068901981,0.0,1.0
2013-09-27,sh,0.0,0.0,6.41968991786,0.0,1.0
2013-09-29,sh,0.0,0.0,6.66425342464,0.0,3.0
2013-09-30,sh,0.0,0.0,11.9709666754,0.0,2.0
2013-10-01,sh,0.0,0.0,11.7452441033,0.0,2.0
2013-10-02,sh,0.0,0.0,6.3420399604,0.0,3.0
2013-10-03,sh,0.0,0.0,6.43114550166,0.0,1.0
2013-10-04,sh,0.0,0.0,6.5324619549,0.0,2.0
2013-10-05,sh,0.0,0.0,11.8118646336,0.0,3.0
2013-10-06,sh,0.0,0.0,11.794530834,0.0,2.0
2013-10-07,sh,0.0,0.0,9.77000790085,0.0,3.0
2013-10-08,sh,0.0,0.0,9.7491249174,0.0,2.0
2013-10-09,sh,0.0,0.0,11.920237632,0.0,0.0
2013-10-10,sh,0.0,0.0,6.44918338817,0.0,1.0
2013-10-11,sh,0.0,0.0,9.56047873032,0.0,1.0
2013-10-12,sh,0.0,0.0,11.8754753748,0.0,1.0
2013-10-13,sh,0.0,0.0,9.80048877291,0.0,1.0
2013-10-14,sh,0.0,0.0,12.7859054796,0.0,2.0
2013-10-15,sh,0.0,0.0,10.5225913141,0.0,4.0
2013-10-17,sh,0.0,0.0,6.39018471678,0.0,3.0
2013-10-18,sh,0.0,0.0,6.46749956007,0.0,2.0
2013-10-19,sh,0.0,0.0,6.52766705494,0.0,1.0
2013-10-20,sh,0.0,0.0,6.82083049258,0.0,3.0
2013-10-21,sh,0.0,0.0,10.0661475233,0.0,3.0
2013-10-22,sh,0.0,0.0,14.0931499056,0.0,2.0
2013-10-23,sh,0.0,0.0,12.1373486964,0.0,1.0
2013-10-24,sh,0.0,0.0,12.4456192368,0.0,1.0
2013-10-26,sh,0.0,0.0,6.40119417449,0.0,0.0
2013-10-27,sh,0.0,0.0,11.6496569675,0.0,2.0
2013-10-28,sh,0.0,0.0,12.4426108915,0.0,1.0
2013-10-29,sh,0.0,0.0,10.0022606758,0.0,2.0
2013-10-30,sh,0.0,0.0,6.60143650099,0.0,2.0
2013-10-31,sh,0.0,0.0,6.46813614193,0.0,1.0
2013-11-03,sh,0.0,0.0,9.63428684276,0.0,0.0
2013-11-04,sh,0.0,0.0,6.42986753615,0.0,2.0
2013-11-05,sh,0.0,0.0,10.2090148057,0.0,3.0
2013-11-06,sh,0.0,0.0,9.55184089186,0.0,1.0
2013-11-07,sh,0.0,0.0,6.39595429344,0.0,1.0
2013-11-08,sh,0.0,0.0,6.77997662373,0.0,1.0
2013-11-09,sh,0.0,0.0,6.6245174729,0.0,0.0
2013-11-11,sh,0.0,0.0,9.90714857435,0.0,1.0
2013-11-12,sh,0.0,0.0,11.5984408268,0.0,2.0
2013-11-13,sh,0.0,0.0,6.31262136673,0.0,4.0
2013-11-14,sh,0.0,0.0,6.49241201473,0.0,2.0
2013-11-15,sh,0.0,0.0,6.3671414209,0.0,2.0
2013-11-17,sh,0.0,0.0,9.42438574498,0.0,1.0
2013-11-18,sh,0.0,0.0,6.29567202982,0.0,2.0
2013-11-19,sh,0.0,0.0,9.59156566527,0.0,2.0
2013-11-20,sh,0.0,0.0,13.7426579768,0.0,1.0
2013-11-21,sh,0.0,0.0,9.52323786422,0.0,0.0
2013-11-25,sh,0.0,0.0,9.77938939125,0.0,0.0
2013-11-26,sh,0.0,0.0,9.44103945045,0.0,3.0
2013-11-27,sh,0.0,0.0,6.24573735187,0.0,3.0
2013-12-03,sh,0.0,0.0,12.2330937987,0.0,0.0
2013-12-04,sh,0.0,0.0,11.8240149013,0.0,1.0
2013-12-05,sh,0.0,0.0,6.60032984387,0.0,1.0
2013-12-06,sh,0.0,0.0,9.86283881658,0.0,1.0
2013-12-07,sh,0.0,0.0,9.87626353051,0.0,6.0
2013-12-08,sh,0.0,0.0,6.62793400861,0.0,3.0
2013-12-09,sh,0.0,0.0,6.62349047701,0.0,1.0
2013-12-11,sh,0.0,0.0,6.35093226881,0.0,0.0
2013-12-12,sh,0.0,0.0,6.50408794488,0.0,1.0
2013-12-13,sh,0.0,0.0,6.420995038,0.0,1.0
2013-12-14,sh,0.0,0.0,18.1418035956,0.0,0.0
2013-12-15,sh,0.0,0.0,11.4637538245,0.0,2.0
2013-12-16,sh,0.0,0.0,6.19063833322,0.0,1.0
2013-12-19,sh,0.0,0.0,6.57762308627,0.0,1.0
2013-12-20,sh,0.0,0.0,6.39956002871,0.0,0.0
2013-12-22,sh,0.0,0.0,9.93335490984,0.0,1.0
2013-12-23,sh,0.0,0.0,7.011878449,0.0,2.0
2013-12-24,sh,0.0,0.0,7.50421879003,0.0,0.0
2013-12-25,sh,0.0,0.0,7.99135364702,0.0,0.0
2013-12-26,sh,0.0,0.0,7.47515336384,0.0,1.0
2013-12-29,sh,0.0,0.0,6.5797052431,0.0,0.0
2013-12-30,sh,0.0,0.0,10.1360224324,0.0,0.0
2014-01-02,sh,0.0,0.0,7.67182080658,0.0,2.0
2014-01-03,sh,0.0,0.0,10.6126420727,0.0,1.0
2014-01-04,sh,0.0,0.0,6.94952073965,0.0,1.0
2014-01-08,sh,0.0,0.0,9.70683676741,0.0,2.0
2014-01-09,sh,0.0,0.0,11.0973830499,0.0,1.0
2014-01-10,sh,0.0,0.0,6.71030759399,0.0,0.0
2014-01-11,sh,0.0,0.0,6.58414366644,0.0,1.0
2014-01-16,sh,0.0,0.0,6.68133924701,0.0,0.0
2014-01-18,sh,0.0,0.0,6.84354874608,0.0,1.0
2014-01-19,sh,0.0,0.0,6.49285012305,0.0,1.0
2014-01-24,sh,0.0,0.0,9.98984911738,0.0,1.0
2014-01-25,sh,0.0,0.0,6.76763211995,0.0,1.0
2014-01-26,sh,0.0,0.0,6.83433021139,0.0,1.0
2014-01-31,sh,0.0,0.0,6.4911573548,0.0,0.0
2014-02-02,sh,0.0,0.0,6.7567544763,0.0,0.0
2014-02-11,sh,0.0,0.0,6.52574310402,0.0,2.0
2014-02-13,sh,0.0,0.0,9.70095303654,0.0,1.0
2014-02-17,sh,0.0,0.0,6.54695628049,0.0,2.0
2014-02-18,sh,0.0,0.0,9.80797218719,0.0,1.0
2014-02-19,sh,0.0,0.0,12.1762518138,0.0,1.0
2014-02-20,sh,0.0,0.0,6.77328610004,0.0,0.0
2014-02-23,sh,0.0,0.0,6.49039528265,0.0,1.0
2014-02-24,sh,0.0,0.0,9.58300183119,0.0,0.0
2014-02-25,sh,0.0,0.0,6.30753904311,0.0,0.0
2014-02-26,sh,0.0,0.0,6.39869761011,0.0,1.0
2014-03-05,sh,0.0,0.0,6.84127049651,0.0,0.0
2014-03-06,sh,0.0,0.0,6.67169478416,0.0,2.0
2014-03-11,sh,0.0,0.0,6.85131401997,0.0,0.0
2014-03-13,sh,0.0,0.0,9.96850697024,0.0,2.0
2014-03-14,sh,0.0,0.0,11.717356798,0.0,0.0
2014-03-16,sh,0.0,0.0,6.97081350279,0.0,0.0
2014-03-17,sh,0.0,0.0,6.65735609247,0.0,1.0
2014-03-20,sh,0.0,0.0,10.0418212282,0.0,0.0
2014-03-24,sh,0.0,0.0,6.75718433748,0.0,2.0
2014-03-25,sh,0.0,0.0,6.4451813352,0.0,1.0
2014-03-28,sh,0.0,0.0,6.45481714139,0.0,1.0
2014-03-31,sh,0.0,0.0,10.1907320532,0.0,2.0
2014-04-01,sh,0.0,0.0,6.76187673311,0.0,1.0
2014-04-04,sh,0.0,0.0,6.69417111261,0.0,2.0
2014-04-05,sh,0.0,0.0,6.89901725765,0.0,4.0
2014-04-06,sh,0.0,0.0,10.5880729713,0.0,1.0
2014-04-07,sh,0.0,0.0,10.8450279419,0.0,1.0
2014-04-08,sh,0.0,0.0,6.38661972582,0.0,2.0
2014-04-09,sh,0.0,0.0,6.03463751358,0.0,1.0
2014-04-10,sh,0.0,0.0,6.08552131033,0.0,2.0
2014-04-11,sh,0.0,0.0,9.35405805589,0.0,2.0
2014-04-12,sh,0.0,0.0,13.8067198382,0.0,1.0
2014-04-13,sh,0.0,0.0,6.36549192419,0.0,1.0
2014-04-14,sh,0.0,0.0,5.90312525531,0.0,1.0
2014-04-15,sh,0.0,0.0,10.2042327265,0.0,0.0
2014-04-16,sh,0.0,0.0,7.4878311285,0.0,1.0
2014-04-17,sh,0.0,0.0,12.0483310915,0.0,0.0
2014-04-18,sh,0.0,0.0,9.83757313886,0.0,1.0
2014-04-19,sh,0.0,0.0,6.08330420863,0.0,0.0
2014-04-20,sh,0.0,0.0,5.94348587279,0.0,1.0
2014-04-21,sh,0.0,0.0,5.94035948295,0.0,1.0
2014-04-23,sh,0.0,0.0,6.1409850438,0.0,1.0
2014-04-25,sh,0.0,0.0,8.87715739422,0.0,5.0
2014-04-27,sh,0.0,0.0,8.27675349858,0.0,0.0
2014-04-28,sh,0.0,0.0,6.85331526307,0.0,0.0
2014-04-30,sh,0.0,0.0,6.91701000663,0.0,1.0
2014-05-01,sh,0.0,0.0,13.9016997041,0.0,2.0
2014-05-02,sh,0.0,0.0,18.6089456389,0.0,2.0
2014-05-03,sh,0.0,0.0,7.13907113813,0.0,1.0
2014-05-07,sh,0.0,0.0,6.84793894715,0.0,1.0
2014-05-08,sh,0.0,0.0,11.4837372677,0.0,3.0
2014-05-09,sh,0.0,0.0,9.71100189052,0.0,2.0
2014-05-10,sh,0.0,0.0,6.90456216638,0.0,1.0
2014-05-11,sh,0.0,0.0,6.93190595621,0.0,0.0
2014-05-14,sh,0.0,0.0,6.63318723177,0.0,1.0
2014-05-15,sh,0.0,0.0,9.70100357337,0.0,1.0
2014-05-16,sh,0.0,0.0,10.4243076078,0.0,1.0
2014-05-17,sh,0.0,0.0,7.0737648469,0.0,1.0
2014-05-19,sh,0.0,0.0,6.44643210825,0.0,1.0
2014-05-21,sh,0.0,0.0,6.70113960128,0.0,0.0
2014-05-22,sh,0.0,0.0,8.40623108249,0.0,2.0
2014-05-23,sh,0.0,0.0,7.03922036527,0.0,1.0
2014-05-26,sh,0.0,0.0,6.66397204547,0.0,0.0
2014-05-29,sh,0.0,0.0,10.2957749573,0.0,1.0
2014-05-30,sh,0.0,0.0,6.63922892714,0.0,0.0
2014-06-03,sh,0.0,0.0,6.46436284471,0.0,2.0
2014-06-04,sh,0.0,0.0,6.75682670708,0.0,3.0
2014-06-05,sh,0.0,0.0,6.68184892176,0.0,3.0
2014-06-09,sh,0.0,0.0,6.80784475955,0.0,2.0
2014-06-10,sh,0.0,0.0,9.90848757489,0.0,0.0
2014-06-11,sh,0.0,0.0,11.7723779796,0.0,1.0
2014-06-12,sh,0.0,0.0,11.7319518608,0.0,0.0
2014-06-13,sh,0.0,0.0,6.69721201025,0.0,0.0
2014-06-14,sh,0.0,0.0,7.03305630126,0.0,0.0
2014-06-15,sh,0.0,0.0,7.19582650001,0.0,1.0
2014-06-16,sh,0.0,0.0,10.0931166953,0.0,1.0
2014-06-18,sh,0.0,0.0,6.66392557015,0.0,1.0
2014-06-22,sh,0.0,0.0,6.60206863281,0.0,3.0
2014-06-23,sh,0.0,0.0,6.50853398907,0.0,1.0
2014-06-24,sh,0.0,0.0,9.91807528941,0.0,1.0
2014-06-25,sh,0.0,0.0,6.797920437,0.0,1.0
2014-06-26,sh,0.0,0.0,10.3822260904,0.0,1.0
2014-06-27,sh,0.0,0.0,6.84424396657,0.0,1.0
2014-06-28,sh,0.0,0.0,6.6702262095,0.0,1.0
2014-06-29,sh,0.0,0.0,12.5347255386,0.0,2.0
2014-06-30,sh,0.0,0.0,6.72992184366,0.0,1.0
2014-07-01,sh,0.0,0.0,6.77766813403,0.0,1.0
2014-07-02,sh,0.0,0.0,6.61720616894,0.0,1.0
2014-07-03,sh,0.0,0.0,6.69376566722,0.0,2.0
2014-07-04,sh,0.0,0.0,6.70374374298,0.0,2.0
2014-07-05,sh,0.0,0.0,6.44655782807,0.0,2.0
2014-07-06,sh,0.0,0.0,10.6875245645,0.0,2.0
2014-07-07,sh,0.0,0.0,6.90006508414,0.0,1.0
2014-07-08,sh,0.0,0.0,6.76243511751,0.0,2.0
2014-07-09,sh,0.0,0.0,6.8055036167,0.0,1.0
2014-07-10,sh,0.0,0.0,10.3383768422,0.0,1.0
2014-07-11,sh,0.0,0.0,10.580400255,0.0,1.0
2014-07-12,sh,0.0,0.0,11.260607259,0.0,0.0
2014-07-13,sh,0.0,0.0,9.90906332677,0.0,2.0
2014-07-14,sh,0.0,0.0,6.17638760846,0.0,2.0
2014-07-15,sh,0.0,0.0,10.6216282772,0.0,0.0
2014-07-16,sh,0.0,0.0,7.24871172739,0.0,3.0
2014-07-17,sh,0.0,0.0,7.00496754738,0.0,1.0
2014-07-18,sh,0.0,0.0,7.18943600018,0.0,3.0
2014-07-20,sh,0.0,0.0,9.82583555414,0.0,1.0
2014-07-21,sh,0.0,0.0,10.9516648118,0.0,1.0
2014-07-23,sh,0.0,0.0,11.6000910456,0.0,1.0
2014-07-24,sh,0.0,0.0,6.84014420014,0.0,1.0
2014-07-26,sh,0.0,0.0,10.5309923491,0.0,0.0
