date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,si,0.0,0.0,1306.73945363,513.064599651,995.0
2011-09-09,si,0.0,0.0,1540.19828296,417.902362599,1047.0
2011-09-11,si,0.0,0.0,1581.19246646,695.14340728,1002.0
2011-09-12,si,0.0,0.0,1288.67378785,648.794143726,1019.0
2011-09-13,si,0.0,0.0,1464.96286018,750.95202748,1000.0
2011-09-14,si,0.0,0.0,1442.10948118,736.681793365,837.0
2011-09-15,si,0.0,0.0,1500.62109733,621.687707609,971.0
2011-09-16,si,0.0,0.0,1644.39370804,535.705654978,1013.0
2011-09-17,si,0.0,0.0,1429.48708201,437.254414795,972.0
2011-09-18,si,0.0,0.0,1599.21296223,453.823790759,979.0
2011-09-19,si,0.0,0.0,1726.89993916,462.803845958,995.0
2011-09-20,si,0.0,0.0,1582.21472289,475.743492731,1051.0
2011-09-21,si,0.0,0.0,1342.74860837,390.839496106,995.0
2011-09-22,si,0.0,0.0,1447.27342219,520.221843407,1038.0
2011-09-23,si,0.0,0.0,1514.34620508,568.639079203,992.0
2011-09-24,si,0.0,0.0,1407.60310047,576.050317604,968.0
2011-09-25,si,0.0,0.0,1404.28152173,559.569924909,1029.0
2011-09-26,si,0.0,0.0,1283.14800947,617.674111123,987.0
2011-09-27,si,0.0,0.0,1380.16109603,688.804413115,986.0
2011-09-28,si,0.0,0.0,1283.53896997,677.002196916,911.0
2011-09-29,si,0.0,0.0,1303.85513001,693.304140156,931.0
2011-09-30,si,0.0,0.0,1391.01384869,622.560187349,952.0
2011-10-01,si,0.0,0.0,1434.20471211,613.039064144,909.0
2011-10-02,si,0.0,0.0,1387.57716349,627.916897862,882.0
2011-10-03,si,0.0,0.0,1459.65089532,628.856112799,1073.0
2011-10-04,si,0.0,0.0,1420.43917575,610.261515663,983.0
2011-10-05,si,0.0,0.0,1331.99028572,640.332013742,1027.0
2011-10-06,si,0.0,0.0,1275.27292532,661.350936263,981.0
2011-10-07,si,0.0,0.0,1256.52722424,672.282753552,973.0
2011-10-08,si,0.0,0.0,1268.36463411,592.571822363,1024.0
2011-10-09,si,0.0,0.0,1348.67833143,606.978353718,1068.0
2011-10-10,si,0.0,0.0,1472.52076867,703.572944834,1047.0
2011-10-11,si,0.0,0.0,1376.60562319,652.173970339,1017.0
2011-10-12,si,0.0,0.0,1383.47741801,629.626012771,968.0
2011-10-13,si,0.0,0.0,1462.13639771,691.650548938,1042.0
2011-10-14,si,0.0,0.0,1517.86592672,648.629571898,1076.0
2011-10-15,si,0.0,0.0,1311.16315592,673.831639082,954.0
2011-10-16,si,0.0,0.0,1345.79754694,732.082139,1032.0
2011-10-17,si,0.0,0.0,1383.371096,667.217007203,992.0
2011-10-18,si,0.0,0.0,1318.44255331,671.607871107,940.0
2011-10-19,si,0.0,0.0,1319.67046217,629.9726205,955.0
2011-10-20,si,0.0,0.0,1458.52150807,634.466473166,1095.0
2011-10-21,si,0.0,0.0,1327.15686828,616.435866112,944.0
2011-10-22,si,0.0,0.0,1249.6985831,584.767258656,913.0
2011-10-23,si,0.0,0.0,1265.05610589,651.626536435,915.0
2011-10-24,si,0.0,0.0,1343.65867635,563.918606749,968.0
2011-10-25,si,0.0,0.0,1108.2693184,587.062403072,869.0
2011-10-26,si,0.0,0.0,1300.11217601,528.683631052,921.0
2011-10-27,si,0.0,0.0,1446.17456192,511.411224429,935.0
2011-10-28,si,0.0,0.0,1327.54294112,439.072645946,986.0
2011-10-29,si,0.0,0.0,1265.68986539,500.2418714,987.0
2011-10-30,si,0.0,0.0,1239.25647738,465.538037393,956.0
2011-10-31,si,0.0,0.0,1305.59882175,531.466143683,1005.0
2011-11-01,si,0.0,0.0,1207.5351327,525.759525025,977.0
2011-11-02,si,0.0,0.0,1243.61287865,481.473971921,917.0
2011-11-03,si,0.0,0.0,1250.76089019,531.664840523,889.0
2011-11-04,si,0.0,0.0,1537.4194125,499.434339062,900.0
2011-11-05,si,0.0,0.0,1595.95569015,571.024022481,930.0
2011-11-06,si,0.0,0.0,1489.52724134,617.678562791,941.0
2011-11-07,si,0.0,0.0,1370.46608892,651.553632531,853.0
2011-11-08,si,0.0,0.0,1485.96226087,541.410818431,828.0
2011-11-09,si,0.0,0.0,1709.81175077,383.643196298,911.0
2011-11-10,si,0.0,0.0,1536.44598151,485.292925327,1023.0
2011-11-11,si,0.0,0.0,1130.35051615,612.12713219,848.0
2011-11-12,si,0.0,0.0,1080.07133193,567.302650784,823.0
2011-11-13,si,0.0,0.0,1169.24408133,555.792259926,817.0
2011-11-14,si,0.0,0.0,1134.79752686,507.267124075,726.0
2011-11-15,si,0.0,0.0,1197.97264097,430.112214916,732.0
2011-11-16,si,0.0,0.0,1337.45023086,397.984360104,747.0
2011-11-17,si,0.0,0.0,1317.4463737,559.103895331,753.0
