date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sk,0.0,0.0,1739.64364777,773.542339943,1001.0
2011-09-09,sk,0.0,0.0,1723.18313283,531.070611459,1052.0
2011-09-11,sk,0.0,0.0,1508.56756351,657.452822204,1037.0
2011-09-12,sk,0.0,0.0,1470.15593642,683.689312007,1043.0
2011-09-13,sk,0.0,0.0,1496.95301214,755.461747983,1062.0
2011-09-14,sk,0.0,0.0,1423.33576726,762.733722034,984.0
2011-09-15,sk,0.0,0.0,1488.0976641,646.621030348,989.0
2011-09-16,sk,0.0,0.0,1649.60583192,541.149434684,937.0
2011-09-17,sk,0.0,0.0,1601.28261547,496.379777997,850.0
2011-09-18,sk,0.0,0.0,1650.96060408,465.966443059,947.0
2011-09-19,sk,0.0,0.0,1711.36087222,506.401725924,1011.0
2011-09-20,sk,0.0,0.0,1670.73656618,514.302258091,987.0
2011-09-21,sk,0.0,0.0,1518.91131499,489.128825418,976.0
2011-09-22,sk,0.0,0.0,1462.13210179,534.838491832,1005.0
2011-09-23,sk,0.0,0.0,1398.52492292,531.399004445,961.0
2011-09-24,sk,0.0,0.0,1233.39333984,510.344544991,861.0
2011-09-25,sk,0.0,0.0,1357.7683407,551.831142462,905.0
2011-09-26,sk,0.0,0.0,1322.4289173,622.273441711,912.0
2011-09-27,sk,0.0,0.0,1315.43134248,644.966454245,951.0
2011-09-28,sk,0.0,0.0,1263.88050521,671.671413434,945.0
2011-09-29,sk,0.0,0.0,1278.17498014,664.326039185,908.0
2011-09-30,sk,0.0,0.0,1337.02866367,608.813239773,894.0
2011-10-01,sk,0.0,0.0,1264.67768711,552.988695955,866.0
2011-10-02,sk,0.0,0.0,1217.64555691,550.732205275,866.0
2011-10-03,sk,0.0,0.0,1349.33268307,570.571718964,957.0
2011-10-04,sk,0.0,0.0,1370.28635717,574.130595261,921.0
2011-10-05,sk,0.0,0.0,1358.52329138,673.368862565,1014.0
2011-10-06,sk,0.0,0.0,1279.78071606,625.092539367,969.0
2011-10-07,sk,0.0,0.0,1183.40192723,630.895582876,961.0
2011-10-08,sk,0.0,0.0,1214.36752109,562.93217298,937.0
2011-10-09,sk,0.0,0.0,1322.1595325,599.983297962,986.0
2011-10-10,sk,0.0,0.0,1317.29074883,630.509232998,933.0
2011-10-11,sk,0.0,0.0,1301.94042077,611.951728721,919.0
2011-10-12,sk,0.0,0.0,1368.54736073,626.318809446,910.0
2011-10-13,sk,0.0,0.0,1425.9364023,699.674419703,1061.0
2011-10-14,sk,0.0,0.0,1506.46431456,650.799015366,1115.0
2011-10-15,sk,0.0,0.0,1205.00934457,620.331718243,961.0
2011-10-16,sk,0.0,0.0,1251.14161693,675.011156895,1027.0
2011-10-17,sk,0.0,0.0,1240.94762267,595.67160205,1014.0
2011-10-18,sk,0.0,0.0,1197.13079582,604.000501663,1014.0
2011-10-19,sk,0.0,0.0,1244.90697235,589.944868621,1019.0
