date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sn,0.0,0.0,574.70736806,182.406272934,330.0
2011-09-09,sn,0.0,0.0,575.882309192,146.58026795,334.0
2011-09-11,sn,0.0,0.0,578.23827168,208.878169853,346.0
2011-09-12,sn,0.0,0.0,486.660912715,175.240350903,314.0
2011-09-13,sn,0.0,0.0,509.306715483,215.031251798,345.0
2011-09-14,sn,0.0,0.0,521.111579404,233.667495837,398.0
2011-09-15,sn,0.0,0.0,543.550862045,181.744514644,402.0
2011-09-16,sn,0.0,0.0,571.15779376,149.851055981,415.0
2011-09-17,sn,0.0,0.0,620.887104838,161.806584779,425.0
2011-09-18,sn,0.0,0.0,596.676000375,138.265207503,426.0
2011-09-19,sn,0.0,0.0,561.153620173,136.980495487,472.0
2011-09-20,sn,0.0,0.0,588.446672913,149.110197503,461.0
2011-09-21,sn,0.0,0.0,652.693509709,183.229869634,430.0
2011-09-22,sn,0.0,0.0,632.041467776,201.860088565,446.0
2011-09-23,sn,0.0,0.0,655.174886183,220.154908725,451.0
2011-09-24,sn,0.0,0.0,646.91772624,241.111910182,434.0
2011-09-25,sn,0.0,0.0,645.888240867,231.979264793,492.0
2011-09-26,sn,0.0,0.0,652.74714336,271.921071857,535.0
2011-09-27,sn,0.0,0.0,645.434245056,282.471961124,522.0
2011-09-28,sn,0.0,0.0,588.302873201,276.693613366,544.0
2011-09-29,sn,0.0,0.0,606.726989925,269.260286733,504.0
2011-09-30,sn,0.0,0.0,661.671455828,266.528188385,530.0
2011-10-01,sn,0.0,0.0,671.300355225,263.472650522,512.0
2011-10-02,sn,0.0,0.0,690.724954504,285.289221687,450.0
2011-10-03,sn,0.0,0.0,820.769947825,321.138800086,500.0
2011-10-04,sn,0.0,0.0,787.749007801,298.649537865,483.0
2011-10-05,sn,0.0,0.0,845.44769543,353.657775616,464.0
2011-10-06,sn,0.0,0.0,740.365864856,330.406017315,455.0
2011-10-07,sn,0.0,0.0,731.676604385,356.882287129,450.0
2011-10-08,sn,0.0,0.0,744.677453299,315.098679669,397.0
2011-10-09,sn,0.0,0.0,719.75911766,292.018994927,331.0
2011-10-10,sn,0.0,0.0,722.130617515,307.31597222,386.0
