date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,so,1.0,0.0,84.4467969394,11.8375752347,3.0
2011-09-09,so,0.0,0.0,42.6101260165,1.94146050265,9.0
2011-09-11,so,0.0,0.0,68.4755848042,8.73124182667,15.0
2011-09-12,so,0.0,0.0,57.0400571013,5.929184805,14.0
2011-09-13,so,0.0,0.0,18.2765567757,0.0,5.0
2011-09-14,so,0.0,0.0,22.7089908456,0.0,12.0
2011-09-15,so,0.0,0.0,14.9476487062,0.0,13.0
2011-09-16,so,0.0,0.0,31.1026521354,0.0,9.0
2011-09-17,so,0.0,0.0,34.9598595066,0.53756340458,9.0
2011-09-18,so,0.0,0.0,44.357208661,1.48672266132,7.0
2011-09-19,so,0.0,0.0,44.0696560346,1.64376594584,6.0
2011-09-20,so,0.0,0.0,21.2180290714,0.0,2.0
2011-09-21,so,0.0,0.0,37.1787442239,1.12410962966,6.0
2011-09-22,so,0.0,0.0,36.9460565715,1.22339447615,14.0
2011-09-23,so,0.0,0.0,29.2370131765,0.0,16.0
2011-09-24,so,0.0,0.0,28.2384721772,0.0,12.0
2011-09-25,so,0.0,0.0,24.300745696,0.0,11.0
2011-09-26,so,0.0,0.0,19.9940566435,0.0,11.0
2011-09-27,so,0.0,1.0,10.6978051667,0.0,17.0
2011-09-28,so,0.0,0.0,19.6486224841,0.0,11.0
2011-09-29,so,0.0,0.0,34.5385383259,2.18319151405,13.0
2011-09-30,so,0.0,0.0,41.0435301547,2.85056885974,8.0
2011-10-01,so,0.0,0.0,35.2628591266,1.46781420903,16.0
2011-10-02,so,0.0,0.0,29.9274243719,0.6924495672,12.0
2011-10-03,so,0.0,0.0,32.936193733,0.712059423694,11.0
2011-10-04,so,0.0,0.0,43.9794191547,2.72118029945,11.0
2011-10-05,so,0.0,0.0,33.3905092982,0.770496243173,15.0
2011-10-06,so,0.0,0.0,35.1360071457,1.56220339156,14.0
2011-10-07,so,0.0,0.0,23.6788545108,0.0,11.0
2011-10-08,so,0.0,0.0,41.0942407339,2.93115050855,27.0
2011-10-09,so,0.0,0.0,36.5979212369,1.56578549558,5.0
2011-10-10,so,0.0,0.0,30.8602827998,0.733451007686,8.0
2011-10-11,so,0.0,0.0,31.4543889216,0.752680928474,14.0
2011-10-12,so,0.0,0.0,37.3814876972,2.09071233846,10.0
2011-10-13,so,0.0,0.0,39.4480654863,2.43240665548,11.0
2011-10-14,so,0.0,0.0,34.9365480718,0.76745264207,11.0
2011-10-15,so,0.0,0.0,54.9873103437,7.53473514492,16.0
2011-10-16,so,0.0,0.0,17.0464196826,0.0,16.0
2011-10-17,so,0.0,0.0,24.4623744065,0.0,9.0
2011-10-18,so,0.0,0.0,35.206794131,2.2117004556,15.0
2011-10-19,so,0.0,0.0,29.1881440444,0.7360734163,15.0
2011-10-20,so,0.0,0.0,31.3413835077,0.692461757825,13.0
2011-10-21,so,0.0,0.0,27.7135690016,0.635762790468,14.0
2011-10-22,so,0.0,0.0,38.5146152249,2.76998250925,20.0
2011-10-23,so,0.0,0.0,37.1903990032,2.6739379406,10.0
2011-10-24,so,0.0,0.0,26.9781821048,0.0,14.0
2011-10-25,so,0.0,0.0,33.073064808,2.04697172096,16.0
2011-10-26,so,0.0,0.0,39.0024173681,1.6858305787,6.0
2011-10-27,so,0.0,0.0,32.7336517341,1.06008778984,5.0
2011-10-28,so,0.0,0.0,37.104361464,1.62574189279,4.0
2011-10-29,so,0.0,0.0,47.7811907353,3.73977255813,8.0
2011-10-30,so,0.0,0.0,28.819693496,0.574613615852,3.0
2011-10-31,so,0.0,0.0,36.1765459359,1.84663327437,3.0
