date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sv,0.0,0.0,281.48678248,81.1595550333,143.0
2011-09-09,sv,0.0,0.0,289.038079165,54.9269260809,150.0
2011-09-11,sv,0.0,0.0,277.777054919,85.5136731178,136.0
2011-09-12,sv,0.0,0.0,223.41618842,76.3287227913,134.0
2011-09-13,sv,0.0,0.0,221.012533729,74.5515973507,161.0
2011-09-14,sv,0.0,0.0,227.446797368,77.6271647382,136.0
2011-09-15,sv,0.0,0.0,255.940761664,71.3527937142,109.0
2011-09-16,sv,0.0,0.0,278.520063466,61.7012971826,126.0
2011-09-17,sv,0.0,0.0,248.24263473,50.2214808504,131.0
2011-09-18,sv,0.0,0.0,257.983552731,48.6605644719,125.0
2011-09-19,sv,0.0,0.0,271.153586938,47.7170262462,122.0
2011-09-20,sv,0.0,0.0,296.665260541,62.3573391602,133.0
2011-09-21,sv,0.0,0.0,256.639385549,50.7237050957,155.0
2011-09-22,sv,0.0,0.0,199.348956225,43.7059191661,150.0
2011-09-23,sv,0.0,0.0,227.218759809,54.5183509604,154.0
2011-09-24,sv,0.0,0.0,227.282702462,61.0962458064,137.0
2011-09-25,sv,0.0,0.0,216.338721214,55.6335416673,131.0
2011-09-26,sv,0.0,0.0,190.053340721,58.2578991172,150.0
2011-09-27,sv,0.0,0.0,209.257815242,67.9206923972,168.0
2011-09-28,sv,0.0,0.0,233.894444259,85.3945952929,156.0
2011-09-29,sv,0.0,0.0,222.554582537,80.634285866,136.0
2011-09-30,sv,0.0,0.0,252.911608852,78.0862264634,126.0
2011-10-01,sv,0.0,0.0,241.675379665,68.9130563909,133.0
2011-10-02,sv,0.0,0.0,212.359635456,62.6539887121,121.0
2011-10-03,sv,0.0,0.0,261.311823937,77.1646835659,136.0
2011-10-04,sv,0.0,0.0,280.231439197,85.4786508736,130.0
2011-10-05,sv,0.0,0.0,266.398057144,89.5345637193,141.0
2011-10-06,sv,0.0,0.0,220.462654711,76.6199255427,130.0
2011-10-07,sv,0.0,0.0,199.821915922,68.9109854654,115.0
2011-10-08,sv,0.0,0.0,220.692966639,68.2310483822,107.0
2011-10-09,sv,0.0,0.0,222.294719955,64.3052002647,103.0
2011-10-10,sv,0.0,0.0,222.661870617,70.1358129688,119.0
2011-10-11,sv,0.0,0.0,217.358782608,67.5439094712,132.0
2011-10-12,sv,0.0,0.0,225.357384292,68.4977750157,128.0
2011-10-13,sv,0.0,0.0,231.283393819,71.7976348379,151.0
2011-10-14,sv,0.0,0.0,218.428002287,58.1425809501,140.0
2011-10-15,sv,0.0,0.0,169.477857709,52.7475704243,107.0
2011-10-16,sv,0.0,0.0,161.450544641,51.6854618683,106.0
2011-10-17,sv,0.0,0.0,191.707542816,58.1750027809,120.0
2011-10-18,sv,0.0,0.0,205.065318046,67.831649579,127.0
2011-10-19,sv,0.0,0.0,209.008581485,64.9152114801,134.0
2011-10-20,sv,0.0,0.0,249.352044765,74.1584189415,132.0
2011-10-21,sv,0.0,0.0,205.709314583,63.1911243504,131.0
2011-10-22,sv,0.0,0.0,172.694108589,49.3679849757,106.0
2011-10-23,sv,0.0,0.0,160.050425875,49.8512104376,107.0
2011-10-24,sv,0.0,0.0,197.134441265,52.0837025618,115.0
2011-10-25,sv,0.0,0.0,179.464065763,61.6840930764,136.0
2011-10-26,sv,0.0,0.0,217.089626405,58.393797729,151.0
2011-10-27,sv,0.0,0.0,209.813850376,47.7807201468,154.0
2011-10-28,sv,0.0,0.0,220.422224186,48.0235706503,161.0
2011-10-29,sv,0.0,0.0,179.93254172,43.6076351158,114.0
2011-10-30,sv,0.0,0.0,178.067921022,41.0598765899,109.0
2011-10-31,sv,0.0,0.0,188.74679099,47.9190785288,122.0
2011-11-01,sv,0.0,0.0,222.797002058,65.5474473457,134.0
2011-11-02,sv,0.0,0.0,238.879307771,64.1965295895,120.0
2011-11-03,sv,0.0,0.0,240.393624945,71.0609142862,131.0
2011-11-04,sv,0.0,0.0,292.179254864,66.514791425,134.0
2011-11-05,sv,0.0,0.0,225.107674199,50.4229928108,123.0
2011-11-06,sv,0.0,0.0,208.228412117,52.7554644376,124.0
2011-11-07,sv,0.0,0.0,201.001693042,60.8312165355,128.0
2011-11-08,sv,0.0,0.0,242.91072575,58.3443871543,126.0
2011-11-09,sv,0.0,0.0,270.057476139,38.5069379184,136.0
2011-11-10,sv,0.0,0.0,269.87474326,56.6175079548,131.0
2011-11-11,sv,0.0,0.0,199.53919368,71.9694352638,125.0
2011-11-12,sv,0.0,0.0,171.407113863,58.1848872599,124.0
2011-11-13,sv,0.0,0.0,184.733927703,56.9871436595,116.0
2011-11-14,sv,0.0,0.0,202.474247531,59.7583760624,106.0
2011-11-15,sv,0.0,0.0,217.348291317,51.1613422998,120.0
2011-11-16,sv,0.0,0.0,236.174138328,47.2016407115,120.0
2011-11-17,sv,0.0,0.0,202.684057492,56.15723452,122.0
2011-11-18,sv,0.0,0.0,197.192713486,63.7335836174,117.0
2011-11-19,sv,0.0,0.0,199.531185572,64.527189769,107.0
2011-11-20,sv,0.0,0.0,192.820336095,57.3388380731,101.0
2011-11-21,sv,0.0,0.0,182.553998909,52.1121676432,128.0
2011-11-22,sv,0.0,0.0,207.821288639,54.656797765,133.0
2011-11-23,sv,0.0,0.0,250.042461466,50.7695361553,137.0
2011-11-24,sv,0.0,0.0,369.530336651,55.7522673666,143.0
2011-11-25,sv,0.0,0.0,332.69507277,20.7863411228,100.0
2011-11-26,sv,0.0,0.0,285.928480606,27.7786131629,119.0
2011-11-27,sv,0.0,0.0,178.108636101,48.9936237731,100.0
2011-11-28,sv,0.0,0.0,209.276527856,64.4068383598,107.0
2011-11-29,sv,0.0,0.0,214.010148027,55.3096078541,109.0
2011-11-30,sv,0.0,0.0,211.826206758,37.7446776427,99.0
2011-12-01,sv,0.0,0.0,201.857402625,28.0964953814,132.0
2011-12-02,sv,0.0,0.0,200.94028484,15.5748285894,136.0
