date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,sy,0.0,0.0,14055.6840899,7051.11059734,10888.0
2011-09-09,sy,0.0,0.0,15949.7801377,5904.44324934,10951.0
2011-09-11,sy,0.0,0.0,15476.7128257,8258.78734742,13012.0
2011-09-12,sy,0.0,0.0,13677.613035,8293.33766994,12519.0
2011-09-13,sy,0.0,1.0,14566.794826,8488.01495644,14682.0
2011-09-14,sy,0.0,1.0,14359.1932505,8873.16329133,16988.0
2011-09-15,sy,0.0,1.0,15137.1535409,7637.51196934,16321.0
2011-09-16,sy,0.0,0.0,15975.7581875,6202.52823125,14874.0
2011-09-17,sy,0.0,0.0,18151.9483531,6620.8548093,15380.0
2011-09-18,sy,0.0,0.0,19250.4384305,6459.15004499,15827.0
2011-09-19,sy,0.0,0.0,19605.0675889,6373.96711555,15702.0
2011-09-20,sy,0.0,0.0,21376.7940898,7862.01144156,14968.0
2011-09-21,sy,0.0,0.0,24748.829064,8940.87091047,13044.0
2011-09-22,sy,0.0,0.0,22088.4772702,9862.05412392,11427.0
2011-09-23,sy,0.0,0.0,20061.7903796,9531.04923024,10528.0
2011-09-24,sy,0.0,0.0,20270.4786552,10289.8967548,11253.0
2011-09-25,sy,0.0,0.0,20778.1371104,10152.7807177,11382.0
2011-09-26,sy,0.0,0.0,18994.1490396,10426.5895023,10772.0
2011-09-27,sy,0.0,0.0,18453.6181022,10547.7578705,10888.0
2011-09-28,sy,0.0,0.0,15834.3979114,9482.92441409,11011.0
2011-09-29,sy,0.0,0.0,13566.0881211,8084.96343341,10723.0
2011-09-30,sy,0.0,0.0,13675.7558973,7211.72893038,10372.0
2011-10-01,sy,0.0,0.0,15459.1482399,7778.09245166,11206.0
2011-10-02,sy,0.0,0.0,14195.9214323,7586.33280281,10919.0
2011-10-03,sy,0.0,0.0,14883.3804586,7357.01011662,11591.0
2011-10-04,sy,0.0,0.0,14788.6811648,7028.82468442,10867.0
2011-10-05,sy,0.0,0.0,15844.5201401,7535.55775702,11975.0
2011-10-06,sy,0.0,0.0,13611.9141528,8356.07328573,11952.0
2011-10-07,sy,0.0,0.0,12743.0336163,7957.92577402,11327.0
2011-10-08,sy,0.0,0.0,14379.9721555,8004.1416189,12236.0
2011-10-09,sy,0.0,0.0,15248.4870469,8281.50676938,12369.0
2011-10-10,sy,0.0,0.0,14755.4103738,8205.95616567,11739.0
2011-10-11,sy,0.0,0.0,14374.4186371,7590.58154918,12017.0
2011-10-12,sy,0.0,0.0,15010.4331809,7921.0135167,12268.0
2011-10-13,sy,0.0,0.0,16310.9354765,9247.00990782,11886.0
2011-10-14,sy,0.0,0.0,16459.5944864,8186.6641792,10366.0
2011-10-15,sy,0.0,0.0,14530.3181673,8792.59269562,11293.0
2011-10-16,sy,0.0,0.0,14497.7593334,9225.66783932,12673.0
2011-10-17,sy,0.0,0.0,14349.2037326,8202.20868873,13106.0
2011-10-18,sy,0.0,0.0,14317.5269054,8677.88741274,12397.0
