date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,td,0.0,0.0,43.3962706494,2.69035800788,19.0
2011-09-09,td,0.0,0.0,25.8243187979,0.0,14.0
2011-09-11,td,0.0,0.0,55.7949209515,5.37307189334,6.0
2011-09-12,td,0.0,0.0,43.6902565031,3.29399155833,9.0
2011-09-13,td,0.0,0.0,24.3687423676,0.0,1.0
2011-09-14,td,0.0,0.0,28.6850410681,0.794787400807,4.0
2011-09-15,td,0.0,0.0,50.2784547392,3.42914178573,5.0
2011-09-16,td,0.0,0.0,42.4127074574,1.67743719382,7.0
2011-09-17,td,0.0,0.0,27.9678876053,0.0,6.0
2011-09-18,td,0.0,0.0,24.3249208786,0.0,5.0
2011-09-19,td,0.0,0.0,32.3177477587,0.0,3.0
2011-09-20,td,0.0,0.0,8.48721162856,0.0,3.0
2011-09-21,td,0.0,0.0,17.9008768485,0.0,8.0
2011-09-22,td,0.0,0.0,19.7925303061,0.0,16.0
2011-09-23,td,0.0,0.0,25.2501477434,0.0,9.0
2011-09-24,td,0.0,0.0,21.8206375914,0.0,5.0
2011-09-25,td,0.0,0.0,19.1847992337,0.0,15.0
2011-09-26,td,0.0,1.0,12.9373307693,0.0,14.0
2011-09-27,td,0.0,0.0,13.0750952037,0.0,4.0
2011-09-28,td,0.0,0.0,23.1160264519,0.0,11.0
2011-09-29,td,0.0,0.0,37.9923921585,2.91092201873,13.0
2011-09-30,td,0.0,0.0,27.3623534365,0.0,12.0
2011-10-01,td,0.0,1.0,19.5904772926,0.0,27.0
2011-10-02,td,0.0,0.0,37.1100062212,2.0773487016,23.0
2011-10-03,td,0.0,0.0,39.5234324796,2.13617827108,25.0
2011-10-04,td,0.0,1.0,16.815660265,0.0,22.0
2011-10-05,td,0.0,0.0,33.3905092982,0.770496243173,22.0
2011-10-06,td,0.0,0.0,35.1360071457,1.56220339156,19.0
2011-10-07,td,0.0,0.0,31.9664535896,1.59678875673,21.0
2011-10-08,td,0.0,0.0,59.7734410675,7.32787627137,17.0
2011-10-09,td,0.0,0.0,58.2855782662,6.26314198234,16.0
2011-10-10,td,0.0,0.0,56.7829203516,6.60105906917,27.0
2011-10-11,td,0.0,0.0,51.5851978314,5.26876649932,26.0
2011-10-12,td,0.0,0.0,49.4400321156,4.87832878973,19.0
2011-10-13,td,0.0,0.0,48.6526140997,4.05401109246,29.0
2011-10-14,td,0.0,0.0,55.8984769149,4.60471585242,22.0
2011-10-15,td,0.0,0.0,38.9493448268,3.01389405797,13.0
2011-10-16,td,0.0,0.0,37.5021233017,3.0998832843,14.0
2011-10-17,td,0.0,0.0,58.7096985756,6.96352130593,11.0
2011-10-18,td,0.0,0.0,55.1573108052,6.6351013668,11.0
2011-10-19,td,0.0,0.0,44.9983887352,3.6803670815,11.0
2011-10-20,td,1.0,0.0,63.9364223556,7.61707933607,6.0
2011-10-21,td,0.0,0.0,45.4502531626,4.45033953328,12.0
2011-10-22,td,0.0,0.0,32.6790674635,1.38499125463,19.0
2011-10-23,td,0.0,0.0,33.8094536393,2.00545345545,18.0
2011-10-24,td,0.0,0.0,30.6570251191,0.617986699993,15.0
2011-10-25,td,0.0,0.0,26.6718264581,0.682323906987,12.0
2011-10-26,td,0.0,0.0,31.4535623936,0.561943526232,11.0
2011-10-27,td,0.0,0.0,19.8740028386,0.0,13.0
2011-10-28,td,0.0,0.0,33.3939253176,1.08382792852,6.0
2011-10-29,td,1.0,0.0,45.3308732617,3.11647713178,3.0
2011-10-30,td,0.0,0.0,43.2295402439,2.87306807926,3.0
2011-10-31,td,0.0,0.0,37.3824308004,1.84663327437,3.0
2011-11-01,td,0.0,0.0,33.392756842,1.36767121822,2.0
2011-11-02,td,0.0,0.0,32.6450863313,0.511873036825,1.0
2011-11-03,td,0.0,0.0,33.6796269447,1.27682644648,3.0
2011-11-04,td,0.0,0.0,23.4946839336,0.0,1.0
2011-11-05,td,0.0,0.0,16.2413208202,0.0,0.0
2011-11-07,td,0.0,0.0,13.100078949,0.0,2.0
2011-11-08,td,0.0,0.0,11.9227624009,0.0,2.0
2011-11-09,td,0.0,0.0,9.84260936655,0.0,3.0
2011-11-10,td,0.0,0.0,16.8168819388,0.0,2.0
2011-11-11,td,0.0,0.0,6.59161336156,0.0,2.0
2011-11-14,td,0.0,0.0,10.7634971439,0.0,5.0
2011-11-15,td,0.0,0.0,11.0659438804,0.0,2.0
2011-11-16,td,0.0,0.0,14.1901491104,0.0,2.0
2011-11-17,td,0.0,0.0,10.2970903389,0.0,2.0
2011-11-18,td,0.0,0.0,10.0977080038,0.0,0.0
2011-11-19,td,0.0,0.0,19.9471431778,0.0,1.0
2011-11-20,td,0.0,0.0,29.3332082217,0.730358263871,2.0
2011-11-21,td,0.0,0.0,18.7882234093,0.0,9.0
2011-11-22,td,0.0,1.0,11.6618135932,0.0,12.0
2011-11-23,td,0.0,0.0,14.1273454365,0.0,2.0
2011-11-24,td,0.0,0.0,20.0306431255,0.0,0.0
2011-11-26,td,0.0,0.0,11.933983952,0.0,1.0
2011-11-28,td,0.0,0.0,27.5458521326,0.0,3.0
2011-11-29,td,0.0,0.0,31.9915785609,1.24026770273,6.0
2011-11-30,td,0.0,1.0,9.9244245482,0.0,10.0
2011-12-02,td,0.0,1.0,8.73165022022,0.0,18.0
2011-12-03,td,0.0,1.0,8.01210427774,0.0,11.0
2011-12-05,td,0.0,0.0,15.6514251055,0.0,9.0
2011-12-06,td,0.0,0.0,21.9793818868,0.0,6.0
2011-12-07,td,0.0,0.0,32.2513939092,0.826101780556,2.0
2011-12-08,td,1.0,0.0,47.5671620743,4.00761114103,4.0
2011-12-09,td,1.0,0.0,46.2410673105,3.34850685437,3.0
2011-12-10,td,0.0,0.0,30.9233302562,0.732328964947,9.0
2011-12-11,td,0.0,0.0,32.8619269771,0.836898194065,13.0
2011-12-12,td,0.0,0.0,24.5918021143,0.0,13.0
2011-12-13,td,0.0,0.0,20.698314973,0.0,10.0
2011-12-14,td,0.0,0.0,11.5013418217,0.0,9.0
2011-12-15,td,0.0,0.0,16.3210626998,0.0,4.0
2011-12-16,td,0.0,0.0,14.0518954967,0.0,4.0
2011-12-21,td,0.0,0.0,27.8759503398,0.0,1.0
2011-12-22,td,0.0,0.0,16.453300907,0.0,2.0
2011-12-23,td,0.0,0.0,14.8408193389,0.0,1.0
2011-12-28,td,0.0,0.0,7.38965610886,0.0,2.0
2011-12-29,td,0.0,0.0,11.1222995838,0.0,3.0
2011-12-30,td,0.0,0.0,7.92798090661,0.0,3.0
2011-12-31,td,0.0,0.0,13.7989683791,0.0,3.0
2012-01-01,td,0.0,0.0,24.6784914468,0.0,3.0
2012-01-02,td,0.0,0.0,21.964313783,0.0,3.0
2012-01-03,td,0.0,0.0,7.82887570639,0.0,1.0
2012-01-04,td,0.0,0.0,11.8642725825,0.0,1.0
2012-01-05,td,0.0,0.0,17.144258317,0.0,2.0
2012-01-06,td,0.0,0.0,20.5494702531,0.0,6.0
2012-01-07,td,0.0,0.0,22.7721315022,0.0,2.0
2012-01-09,td,0.0,0.0,25.3337765989,0.0,0.0
2012-01-10,td,0.0,0.0,11.3398785378,0.0,0.0
2012-01-11,td,0.0,0.0,8.23168286388,0.0,1.0
2012-01-12,td,0.0,0.0,13.0114028843,0.0,1.0
2012-01-13,td,0.0,0.0,23.5175738655,0.0,3.0
2012-01-14,td,0.0,0.0,11.9737571146,0.0,5.0
2012-01-18,td,0.0,0.0,7.23859774624,0.0,4.0
2012-01-19,td,0.0,0.0,7.94083939728,0.0,3.0
2012-01-20,td,0.0,0.0,14.8707664176,0.0,1.0
2012-01-21,td,0.0,0.0,19.8559765812,0.0,3.0
2012-01-22,td,0.0,0.0,8.35715453135,0.0,2.0
2012-01-24,td,0.0,0.0,12.0228353889,0.0,2.0
2012-01-25,td,0.0,0.0,17.3630176279,0.0,0.0
2012-01-26,td,0.0,0.0,13.9976446242,0.0,1.0
2012-01-27,td,0.0,0.0,7.56868631073,0.0,2.0
2012-01-28,td,0.0,0.0,13.7668952748,0.0,1.0
2012-01-29,td,0.0,0.0,12.0685432953,0.0,1.0
2012-01-30,td,0.0,0.0,15.0636682254,0.0,2.0
2012-01-31,td,0.0,0.0,12.347620268,0.0,0.0
2012-02-02,td,0.0,0.0,8.26177841514,0.0,2.0
2012-02-03,td,0.0,0.0,12.7461871672,0.0,1.0
2012-02-04,td,0.0,0.0,7.94178646931,0.0,2.0
2012-02-05,td,0.0,0.0,7.63134100587,0.0,5.0
2012-02-06,td,0.0,0.0,11.4022731144,0.0,2.0
2012-02-10,td,0.0,0.0,7.6872292305,0.0,2.0
2012-02-11,td,0.0,0.0,11.3083815589,0.0,6.0
2012-02-12,td,0.0,1.0,18.2560976426,0.0,19.0
2012-02-13,td,0.0,1.0,13.4398089003,0.0,18.0
2012-02-14,td,0.0,1.0,9.25028537009,0.0,15.0
2012-02-17,td,0.0,0.0,11.4759668135,0.0,2.0
2012-02-22,td,0.0,0.0,11.5939024238,0.0,0.0
2012-02-23,td,0.0,0.0,16.7106983316,0.0,2.0
2012-02-24,td,0.0,0.0,11.2085191188,0.0,5.0
2012-03-02,td,0.0,0.0,17.7637271711,0.0,0.0
2012-03-21,td,0.0,0.0,7.05195091289,0.0,1.0
2012-07-31,td,0.0,0.0,12.7537059684,0.0,1.0
2012-08-01,td,0.0,0.0,7.20343365083,0.0,4.0
2012-08-07,td,0.0,0.0,7.37893270051,0.0,1.0
2012-08-08,td,0.0,0.0,14.7294848039,0.0,0.0
2012-08-12,td,0.0,0.0,7.76919745342,0.0,0.0
2012-08-13,td,0.0,0.0,13.4044011648,0.0,1.0
2012-08-14,td,0.0,0.0,7.6876105274,0.0,0.0
2012-08-24,td,0.0,0.0,7.29984019276,0.0,3.0
2012-08-31,td,0.0,0.0,12.8674554532,0.0,7.0
2012-09-01,td,0.0,0.0,23.4495280166,0.0,6.0
2012-09-02,td,0.0,0.0,23.4700591201,0.0,8.0
2012-09-03,td,0.0,0.0,34.646054875,1.70772283632,8.0
2012-09-04,td,0.0,0.0,23.5078966344,0.0,7.0
2012-09-05,td,0.0,0.0,29.2398030898,0.0,8.0
2012-09-06,td,0.0,0.0,23.0360283569,0.0,7.0
2012-09-07,td,0.0,0.0,22.9906962355,0.0,7.0
2012-09-08,td,0.0,0.0,20.611488693,0.0,7.0
2012-09-09,td,0.0,0.0,25.025850401,0.0,2.0
2012-09-10,td,0.0,0.0,24.9673686094,0.0,1.0
2012-09-11,td,0.0,0.0,23.6269041567,0.0,0.0
2012-09-14,td,0.0,0.0,26.9377515749,0.0,0.0
2012-09-15,td,0.0,0.0,24.1525510789,0.0,1.0
2012-09-28,td,0.0,0.0,8.44174851011,0.0,1.0
2012-10-05,td,0.0,0.0,7.37385343504,0.0,3.0
2012-10-06,td,0.0,0.0,10.1961998545,0.0,3.0
2012-10-08,td,0.0,0.0,7.03544538378,0.0,7.0
2012-10-09,td,0.0,0.0,12.1736288082,0.0,5.0
2012-10-10,td,0.0,0.0,16.6967021236,0.0,4.0
2012-10-11,td,0.0,0.0,20.6392496578,0.0,3.0
2012-10-12,td,0.0,0.0,11.8046757199,0.0,4.0
2012-10-13,td,0.0,0.0,12.5901165766,0.0,5.0
2012-10-14,td,0.0,0.0,19.0744086848,0.0,6.0
2012-10-15,td,0.0,0.0,21.8621731234,0.0,5.0
2012-10-16,td,0.0,0.0,16.9981145163,0.0,5.0
2012-10-17,td,0.0,0.0,14.1278919354,0.0,5.0
2012-10-18,td,0.0,0.0,12.3179205854,0.0,6.0
2012-10-19,td,0.0,0.0,14.0385767585,0.0,4.0
2012-10-20,td,0.0,0.0,17.3366482531,0.0,4.0
2012-10-21,td,0.0,0.0,20.2571773945,0.0,4.0
2012-10-22,td,0.0,0.0,18.1996611964,0.0,3.0
2012-10-23,td,0.0,0.0,18.1422763089,0.0,6.0
2012-10-24,td,0.0,0.0,17.526174718,0.0,5.0
2012-10-25,td,0.0,0.0,20.5679848802,0.0,6.0
2012-10-26,td,0.0,0.0,15.4272500222,0.0,6.0
2012-10-27,td,0.0,0.0,15.3903911132,0.0,7.0
2012-10-28,td,0.0,0.0,15.8473198106,0.0,5.0
2012-10-29,td,0.0,0.0,14.2016658291,0.0,5.0
2012-10-30,td,0.0,0.0,20.4078895873,0.0,5.0
2012-10-31,td,0.0,0.0,17.1546528955,0.0,6.0
2012-11-01,td,0.0,0.0,19.4193082436,0.0,7.0
2012-11-02,td,0.0,0.0,21.2537348958,0.0,8.0
2012-11-03,td,0.0,0.0,22.4890099012,0.0,10.0
2012-11-04,td,0.0,0.0,16.9634678975,0.0,2.0
2012-11-05,td,0.0,0.0,18.8564422557,0.0,0.0
2012-11-06,td,0.0,0.0,16.8453659982,0.0,3.0
2012-11-07,td,0.0,0.0,21.5838320676,0.0,5.0
2012-11-08,td,0.0,0.0,24.5511693356,0.0,4.0
2012-11-09,td,0.0,0.0,25.571843293,0.0,7.0
2012-11-10,td,0.0,0.0,30.6796387997,0.721232781609,10.0
2012-11-11,td,0.0,0.0,11.2656415879,0.0,9.0
2012-11-13,td,0.0,0.0,12.7271304907,0.0,8.0
2012-11-14,td,0.0,0.0,17.8919930494,0.0,8.0
2012-11-15,td,0.0,0.0,11.7639589625,0.0,7.0
2012-11-16,td,0.0,0.0,19.5110879491,0.0,7.0
2012-11-17,td,0.0,0.0,26.8231999526,0.836249490353,15.0
2012-11-18,td,0.0,0.0,24.6228040002,0.0,10.0
2012-11-19,td,0.0,0.0,23.4666612527,0.0,7.0
2012-11-20,td,0.0,0.0,25.1321948951,0.0,8.0
2012-11-21,td,0.0,0.0,24.436322037,0.0,9.0
2012-11-22,td,0.0,0.0,32.5135468348,0.0,9.0
2012-11-23,td,0.0,0.0,26.6182833313,0.0,9.0
2012-11-24,td,0.0,0.0,36.2284648996,2.64747068954,10.0
2012-11-25,td,0.0,0.0,27.0727517766,0.881478566134,8.0
2012-11-26,td,0.0,0.0,21.9883728865,0.0,15.0
2012-11-27,td,0.0,0.0,23.7164575283,0.0,9.0
2012-11-28,td,0.0,0.0,24.9378685855,0.0,11.0
2012-11-29,td,0.0,0.0,24.7736974294,0.0,13.0
2012-11-30,td,0.0,0.0,26.1880359028,0.0,15.0
2012-12-01,td,0.0,0.0,28.5532976419,0.852671421591,13.0
2012-12-02,td,0.0,0.0,22.5633507894,0.0,10.0
2012-12-03,td,0.0,0.0,34.6107883124,2.48944111199,11.0
2012-12-04,td,0.0,0.0,25.3154562333,0.0,9.0
2012-12-05,td,0.0,0.0,30.5830287672,0.948917895975,10.0
2012-12-06,td,0.0,0.0,32.5058050838,1.8705245269,10.0
2012-12-07,td,0.0,0.0,35.3070066032,2.69884389796,10.0
2012-12-08,td,0.0,0.0,32.805264998,1.75537529572,11.0
2012-12-09,td,0.0,0.0,29.2767246186,0.86494791771,9.0
2012-12-10,td,0.0,0.0,30.3351940054,0.902495974062,9.0
2012-12-11,td,0.0,0.0,25.7563105756,0.0,9.0
2012-12-12,td,0.0,0.0,27.4944927868,0.831481116683,7.0
2012-12-13,td,0.0,0.0,27.4296603662,0.866789009967,3.0
2012-12-14,td,0.0,0.0,28.9847208049,0.831563644645,2.0
2012-12-15,td,0.0,0.0,27.8948147629,0.828060762742,3.0
2012-12-16,td,0.0,0.0,24.9856238887,0.0,4.0
2012-12-17,td,0.0,0.0,24.566034474,0.0,2.0
2012-12-18,td,0.0,0.0,25.7415234889,0.0,3.0
2012-12-19,td,0.0,0.0,20.8451912019,0.0,3.0
2012-12-20,td,0.0,0.0,12.4968621933,0.0,6.0
2012-12-21,td,0.0,0.0,10.1859300156,0.0,4.0
2012-12-22,td,0.0,0.0,12.7972516131,0.0,7.0
2012-12-23,td,0.0,0.0,15.1115504876,0.0,6.0
2012-12-24,td,0.0,0.0,12.1628923183,0.0,4.0
2012-12-25,td,0.0,0.0,13.9954984989,0.0,4.0
2012-12-26,td,0.0,0.0,12.897108302,0.0,5.0
2012-12-27,td,0.0,0.0,19.0060271876,0.0,3.0
2012-12-28,td,0.0,0.0,14.830423446,0.0,3.0
2012-12-29,td,0.0,0.0,22.6009025088,0.0,4.0
2012-12-30,td,0.0,0.0,20.8190866289,0.0,5.0
2012-12-31,td,0.0,0.0,16.471598999,0.0,4.0
2013-01-01,td,0.0,0.0,16.377815237,0.0,5.0
2013-01-02,td,0.0,0.0,20.241501082,0.0,2.0
2013-01-03,td,0.0,0.0,13.2259684663,0.0,2.0
2013-01-04,td,0.0,0.0,13.2915814901,0.0,4.0
2013-01-05,td,0.0,0.0,15.7784888516,0.0,5.0
2013-01-06,td,0.0,0.0,20.9680687074,0.0,5.0
2013-01-07,td,0.0,0.0,19.3688295469,0.0,3.0
2013-01-08,td,0.0,0.0,24.9100771342,0.0,2.0
2013-01-09,td,0.0,0.0,11.9609371068,0.0,2.0
2013-01-10,td,0.0,0.0,11.1602710679,0.0,2.0
2013-01-11,td,0.0,0.0,15.9670903326,0.0,4.0
2013-01-12,td,0.0,0.0,18.6822011076,0.0,2.0
2013-01-13,td,0.0,0.0,18.0587154421,0.0,3.0
2013-01-14,td,0.0,0.0,13.2503445277,0.0,2.0
2013-01-15,td,0.0,0.0,10.4868648506,0.0,5.0
2013-01-16,td,0.0,0.0,9.72677470556,0.0,7.0
2013-01-17,td,0.0,0.0,10.4166715486,0.0,7.0
2013-01-18,td,0.0,0.0,13.2630088729,0.0,9.0
2013-01-19,td,0.0,1.0,9.92283438543,0.0,21.0
2013-01-20,td,0.0,1.0,11.660335718,0.0,18.0
2013-01-21,td,0.0,1.0,9.5743267682,0.0,10.0
2013-01-22,td,0.0,0.0,16.1281045534,0.0,10.0
2013-01-23,td,0.0,0.0,21.473128494,0.0,12.0
2013-01-24,td,0.0,0.0,18.8697478497,0.0,9.0
2013-01-25,td,0.0,0.0,27.0638066252,0.0,1.0
2013-01-29,td,1.0,0.0,29.5689574802,0.901603244325,0.0
2013-01-30,td,0.0,0.0,37.5354027392,1.84145935721,4.0
2013-01-31,td,0.0,0.0,31.355902015,0.0,10.0
2013-02-01,td,0.0,0.0,7.46334106051,0.0,3.0
2013-02-06,td,0.0,0.0,14.2568996782,0.0,4.0
2013-02-07,td,0.0,0.0,28.2072287597,0.688742202202,6.0
2013-02-08,td,0.0,0.0,13.3539928617,0.0,4.0
2013-02-12,td,0.0,0.0,9.53575606972,0.0,6.0
2013-02-13,td,0.0,0.0,15.1108670318,0.0,6.0
2013-02-14,td,0.0,0.0,20.055955907,0.0,5.0
2013-02-15,td,0.0,0.0,14.7902986954,0.0,6.0
2013-02-16,td,0.0,0.0,25.1099883335,0.0,10.0
2013-02-17,td,0.0,0.0,24.0576338359,0.0,11.0
2013-02-18,td,0.0,0.0,20.6857799919,0.0,10.0
2013-02-19,td,0.0,0.0,20.5053468874,0.0,9.0
2013-02-20,td,0.0,0.0,19.2275431329,0.0,8.0
2013-02-21,td,0.0,0.0,16.2943144342,0.0,8.0
