date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tg,0.0,0.0,104.071880692,21.3227597534,84.0
2011-09-09,tg,0.0,0.0,133.242413245,20.5386424321,68.0
2011-09-11,tg,0.0,0.0,154.62817526,37.1364564843,58.0
2011-09-12,tg,0.0,0.0,160.575284318,42.9035803081,64.0
2011-09-13,tg,0.0,0.0,154.689204672,43.8506309929,68.0
2011-09-14,tg,0.0,0.0,146.502342572,43.3098012511,65.0
2011-09-15,tg,0.0,0.0,159.296806148,37.9506699527,81.0
2011-09-16,tg,0.0,0.0,141.795905552,23.1755646546,81.0
2011-09-17,tg,0.0,0.0,132.510320966,19.6370022065,77.0
2011-09-18,tg,0.0,0.0,125.353350439,16.2251645026,61.0
2011-09-19,tg,0.0,0.0,141.022011788,20.256069037,60.0
2011-09-20,tg,0.0,0.0,142.400331801,21.8155782859,59.0
2011-09-21,tg,0.0,0.0,133.576063059,20.8020305063,64.0
2011-09-22,tg,0.0,0.0,154.394815803,30.5971677249,85.0
2011-09-23,tg,0.0,0.0,155.391658102,32.2060002694,77.0
2011-09-24,tg,0.0,0.0,143.746154071,32.2395075465,72.0
2011-09-25,tg,0.0,0.0,117.40102194,22.4697710703,74.0
2011-09-26,tg,0.0,0.0,106.402326679,22.9441604206,77.0
2011-09-27,tg,0.0,0.0,107.042333475,24.4081341629,78.0
2011-09-28,tg,0.0,0.0,110.907247258,28.8304435001,76.0
2011-09-29,tg,0.0,0.0,137.474820086,39.6054894002,71.0
2011-09-30,tg,0.0,0.0,138.912068952,33.7431866384,71.0
2011-10-01,tg,0.0,0.0,137.91752555,31.5364906181,68.0
2011-10-02,tg,0.0,0.0,129.053699849,30.480776141,59.0
2011-10-03,tg,0.0,0.0,147.29557554,33.4374947522,66.0
2011-10-04,tg,0.0,0.0,144.983481611,32.2006419777,63.0
2011-10-05,tg,0.0,0.0,140.845958578,37.1848351477,65.0
2011-10-06,tg,0.0,0.0,130.232088523,32.8996073351,62.0
2011-10-07,tg,0.0,0.0,122.218272525,33.7549229055,61.0
2011-10-08,tg,0.0,0.0,125.410142771,29.6670446893,61.0
2011-10-09,tg,0.0,0.0,121.671122623,26.0862303462,57.0
2011-10-10,tg,0.0,0.0,120.199714512,28.387856462,64.0
2011-10-11,tg,0.0,0.0,119.386428545,27.1978546098,61.0
2011-10-12,tg,0.0,0.0,116.959554177,25.8060088524,53.0
2011-10-13,tg,0.0,0.0,121.998238651,28.6416429118,52.0
2011-10-14,tg,0.0,0.0,128.566527774,26.0933567482,51.0
2011-10-15,tg,0.0,0.0,105.280968376,25.565185964,48.0
2011-10-16,tg,0.0,0.0,98.5061725544,24.0245073063,54.0
2011-10-17,tg,0.0,0.0,113.566226669,26.8124687054,55.0
2011-10-18,tg,0.0,0.0,106.514538893,25.4158626937,59.0
2011-10-19,tg,0.0,0.0,99.6898161454,20.6480704017,58.0
2011-10-20,tg,0.0,0.0,101.5826564,18.6463427447,58.0
2011-10-21,tg,0.0,0.0,88.678517579,17.2065000195,54.0
2011-10-22,tg,0.0,0.0,88.7260520958,17.3282981804,53.0
2011-10-23,tg,0.0,0.0,90.8648758186,20.6653837621,53.0
2011-10-24,tg,0.0,0.0,102.89408318,19.287785882,54.0
2011-10-25,tg,0.0,0.0,94.3922028839,23.3625059569,48.0
2011-10-26,tg,0.0,0.0,110.687205169,18.1163965202,47.0
2011-10-27,tg,0.0,0.0,102.831868509,16.9582413004,43.0
2011-10-28,tg,0.0,0.0,102.207841735,15.7312714765,32.0
2011-10-29,tg,0.0,0.0,100.329828426,17.5455759057,31.0
2011-10-30,tg,0.0,0.0,98.466865381,16.092954157,40.0
2011-10-31,tg,0.0,0.0,99.1924542171,18.0310416097,42.0
2011-11-01,tg,0.0,0.0,93.1888663474,17.2310308307,44.0
2011-11-02,tg,0.0,0.0,90.0177448552,14.1778640926,42.0
2011-11-03,tg,0.0,0.0,82.3085878177,13.5088850564,43.0
2011-11-04,tg,0.0,0.0,75.9338275198,7.62860486035,44.0
2011-11-05,tg,0.0,0.0,77.9909440562,8.42387611256,37.0
2011-11-06,tg,0.0,0.0,91.2889472966,13.9920351453,42.0
2011-11-07,tg,0.0,0.0,80.8182705249,15.5077525354,48.0
2011-11-08,tg,0.0,0.0,93.9989834169,14.8492123008,57.0
2011-11-09,tg,0.0,0.0,111.741712061,10.1219457329,71.0
2011-11-10,tg,0.0,0.0,106.068109756,13.1494819903,49.0
2011-11-11,tg,0.0,0.0,77.4161590148,17.7587702158,41.0
2011-11-12,tg,0.0,0.0,64.1335841633,11.780052506,42.0
2011-11-13,tg,0.0,0.0,75.5255703391,13.3931832625,42.0
2011-11-14,tg,0.0,0.0,89.226709835,17.0538605273,46.0
2011-11-15,tg,0.0,0.0,106.935604045,19.5997285068,57.0
2011-11-16,tg,0.0,0.0,133.044346601,21.4169563202,59.0
2011-11-17,tg,0.0,0.0,88.2378602976,15.4096102122,60.0
2011-11-18,tg,0.0,0.0,74.5107693511,14.9963994825,51.0
2011-11-19,tg,0.0,0.0,79.6852370931,15.5194781873,42.0
2011-11-20,tg,0.0,0.0,82.9302513328,14.6378069711,46.0
2011-11-21,tg,0.0,0.0,90.9954810386,17.1227491768,47.0
2011-11-22,tg,0.0,0.0,110.627797871,20.983268003,50.0
2011-11-23,tg,0.0,0.0,138.556651091,20.7513732027,50.0
2011-11-24,tg,0.0,0.0,202.882072105,23.6213493873,61.0
2011-11-25,tg,0.0,0.0,167.470148548,7.98573730528,43.0
2011-11-26,tg,0.0,0.0,134.682229094,7.4160484747,57.0
2011-11-27,tg,0.0,0.0,101.088131778,15.2744998785,53.0
2011-11-28,tg,0.0,0.0,92.0032303541,17.3709347207,37.0
2011-11-29,tg,0.0,0.0,92.1628926728,16.0694470584,37.0
2011-11-30,tg,0.0,0.0,90.0117855724,10.3120185459,40.0
2011-12-01,tg,0.0,0.0,94.5125125374,9.71432620153,49.0
2011-12-02,tg,0.0,0.0,98.5390901897,4.49319912563,45.0
2011-12-03,tg,0.0,0.0,116.050986429,9.17129042444,42.0
2011-12-04,tg,0.0,0.0,90.4034332429,16.9420171788,36.0
2011-12-05,tg,0.0,0.0,87.8526707016,13.3953144645,58.0
2011-12-06,tg,0.0,0.0,80.1080878842,13.7485265395,60.0
2011-12-07,tg,0.0,0.0,88.6152229394,15.7557090897,53.0
2011-12-08,tg,0.0,0.0,93.9051303743,16.6893522904,43.0
2011-12-09,tg,0.0,0.0,92.3379402594,14.7546263176,26.0
2011-12-10,tg,0.0,0.0,84.1107585158,14.7279349962,29.0
2011-12-11,tg,0.0,0.0,82.1408529744,13.3907826553,37.0
2011-12-12,tg,0.0,0.0,98.4487039855,23.1951467272,50.0
2011-12-13,tg,0.0,0.0,110.869608579,26.082323253,43.0
