date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,th,0.0,0.0,3492.81335119,1391.45316167,2315.0
2011-09-09,th,0.0,0.0,3607.65733606,1171.67141335,2322.0
2011-09-11,th,0.0,0.0,3157.4852993,1431.92365957,2212.0
2011-09-12,th,0.0,0.0,3195.45681591,1492.17817593,2292.0
2011-09-13,th,0.0,0.0,3108.23308899,1681.08360781,2426.0
2011-09-14,th,0.0,0.0,3050.17603358,1740.58440777,2279.0
2011-09-15,th,0.0,0.0,3391.75737916,1466.30102758,2270.0
2011-09-16,th,0.0,0.0,3538.63355886,1199.36759358,2136.0
2011-09-17,th,0.0,0.0,3473.61164058,1143.39736154,2008.0
2011-09-18,th,0.0,0.0,3418.36682229,1010.47583548,2266.0
2011-09-19,th,0.0,0.0,3631.33965725,1159.4029138,2496.0
2011-09-20,th,0.0,0.0,3693.35159369,1204.14529998,2551.0
2011-09-21,th,0.0,0.0,3386.01970543,1182.5633304,2566.0
2011-09-22,th,0.0,0.0,3231.46044798,1281.50571377,2463.0
2011-09-23,th,0.0,0.0,3069.88638353,1269.2802069,2378.0
2011-09-24,th,0.0,0.0,2794.32517862,1266.6961891,2242.0
2011-09-25,th,0.0,0.0,3127.12227509,1381.96194496,2297.0
2011-09-26,th,0.0,0.0,3156.70870771,1599.69851942,2290.0
2011-09-27,th,0.0,0.0,3258.07599576,1744.24592182,2349.0
2011-09-28,th,0.0,0.0,3186.5442464,1855.01633749,2426.0
2011-09-29,th,0.0,0.0,3050.90421879,1659.95328118,2284.0
2011-09-30,th,0.0,0.0,3185.22668867,1567.10023064,2140.0
2011-10-01,th,0.0,0.0,3160.5970032,1517.71989214,1953.0
2011-10-02,th,0.0,0.0,2965.20920677,1468.68553203,1950.0
2011-10-03,th,0.0,0.0,3254.09594082,1505.29362169,2092.0
2011-10-04,th,0.0,0.0,3273.87970237,1476.92060753,2083.0
2011-10-05,th,0.0,0.0,3487.3047911,1729.76406592,2164.0
2011-10-06,th,0.0,0.0,3091.96862882,1646.5623747,2091.0
2011-10-07,th,0.0,0.0,2739.6434669,1572.83692538,2054.0
2011-10-08,th,0.0,0.0,2638.74836713,1312.4226402,1957.0
2011-10-09,th,0.0,0.0,2868.19264213,1399.81223305,1957.0
2011-10-10,th,0.0,0.0,2794.70721035,1411.15973879,2005.0
2011-10-11,th,0.0,0.0,2837.18588073,1441.38397803,2055.0
2011-10-12,th,0.0,0.0,2820.49353948,1388.92989685,2054.0
2011-10-13,th,0.0,0.0,2975.69907318,1559.17266616,2107.0
2011-10-14,th,0.0,0.0,3109.35277839,1448.95058823,2065.0
2011-10-15,th,0.0,0.0,2433.18848271,1352.48495851,1765.0
