date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tm,0.0,0.0,281.223965706,88.7378630423,185.0
2011-09-09,tm,0.0,0.0,297.712337757,67.7287652869,191.0
2011-09-11,tm,0.0,0.0,268.817097921,85.8896987797,161.0
2011-09-12,tm,0.0,0.0,262.263526307,97.0544251172,183.0
2011-09-13,tm,0.0,0.0,281.141462614,100.002694423,162.0
2011-09-14,tm,0.0,0.0,281.787926002,107.192576674,155.0
2011-09-15,tm,0.0,0.0,319.439842413,99.6323690535,158.0
2011-09-16,tm,0.0,0.0,343.685857674,83.3736282505,152.0
2011-09-17,tm,0.0,0.0,300.240914172,65.0819198998,123.0
2011-09-18,tm,0.0,0.0,300.832867272,59.5124229722,132.0
2011-09-19,tm,0.0,0.0,356.125135919,71.0851351176,161.0
2011-09-20,tm,0.0,0.0,298.018074196,64.6238119055,164.0
2011-09-21,tm,0.0,0.0,287.497127324,60.1294559868,181.0
2011-09-22,tm,0.0,0.0,272.193998984,70.3187857145,176.0
2011-09-23,tm,0.0,0.0,261.732425044,71.3688772701,168.0
2011-09-24,tm,0.0,0.0,212.390295826,57.92851199,148.0
2011-09-25,tm,0.0,0.0,225.669158038,60.1460220891,160.0
2011-09-26,tm,0.0,0.0,246.677260255,79.3729086669,156.0
2011-09-27,tm,0.0,0.0,256.017781127,86.4749009018,163.0
2011-09-28,tm,0.0,0.0,273.878309952,99.9309838423,148.0
2011-09-29,tm,0.0,0.0,260.378963685,94.5395470368,130.0
2011-09-30,tm,0.0,0.0,273.214331525,86.6913912215,128.0
2011-10-01,tm,0.0,0.0,258.758275261,75.1956272373,106.0
2011-10-02,tm,0.0,0.0,251.84174343,79.4055039886,94.0
2011-10-03,tm,0.0,0.0,273.395429572,79.3208637911,155.0
2011-10-04,tm,0.0,0.0,279.303873746,78.9755582519,174.0
2011-10-05,tm,0.0,0.0,270.953383085,74.4830617045,150.0
2011-10-06,tm,0.0,0.0,213.183894023,72.7317790827,118.0
2011-10-07,tm,0.0,0.0,203.831654608,70.064779201,131.0
2011-10-08,tm,0.0,0.0,180.958105042,51.8115325803,126.0
2011-10-09,tm,0.0,0.0,177.966427073,47.1746326937,136.0
2011-10-10,tm,0.0,0.0,249.737227438,81.3777480916,165.0
2011-10-11,tm,0.0,0.0,287.309602323,91.9763244677,169.0
2011-10-12,tm,0.0,0.0,239.992390973,73.253971157,163.0
2011-10-13,tm,0.0,0.0,211.127714282,64.0596460535,184.0
2011-10-14,tm,0.0,0.0,247.069392717,68.1410811586,158.0
2011-10-15,tm,0.0,0.0,195.2690979,63.9353151115,97.0
2011-10-16,tm,0.0,0.0,205.24790296,73.293062781,81.0
2011-10-17,tm,0.0,0.0,254.041403369,86.0877433373,116.0
2011-10-18,tm,0.0,0.0,252.316600329,91.9283568829,130.0
2011-10-19,tm,0.0,0.0,249.162225542,90.5015314612,154.0
2011-10-20,tm,0.0,0.0,312.274444868,87.3800193298,170.0
2011-10-21,tm,0.0,0.0,233.378049996,70.741569494,142.0
2011-10-22,tm,0.0,0.0,161.981164724,42.6698180416,102.0
2011-10-23,tm,0.0,0.0,127.485561035,36.0580582383,101.0
2011-10-24,tm,0.0,0.0,192.769051915,49.8780426748,118.0
2011-10-25,tm,0.0,0.0,188.981746817,61.2826260638,123.0
2011-10-26,tm,0.0,0.0,255.671931804,62.2511172392,135.0
2011-10-27,tm,0.0,0.0,262.069452724,63.1504929138,107.0
2011-10-28,tm,0.0,0.0,232.809265478,53.2683127492,107.0
2011-10-29,tm,0.0,0.0,171.900088758,42.532033719,107.0
2011-10-30,tm,0.0,0.0,167.676141358,38.0398469037,115.0
2011-10-31,tm,0.0,0.0,190.000651857,50.0050483098,138.0
2011-11-01,tm,0.0,0.0,184.943885531,66.1461307233,160.0
2011-11-02,tm,0.0,0.0,215.574470293,55.5869330351,159.0
2011-11-03,tm,0.0,0.0,179.783005627,44.4469271952,171.0
2011-11-04,tm,0.0,0.0,204.437026943,41.5090151503,161.0
2011-11-05,tm,0.0,0.0,215.812000833,44.5343956232,127.0
2011-11-06,tm,0.0,0.0,218.146286098,55.8959961354,94.0
2011-11-07,tm,0.0,0.0,219.070113796,74.7507411344,86.0
2011-11-08,tm,0.0,0.0,278.133219469,76.2232639264,111.0
2011-11-09,tm,0.0,0.0,342.168009994,55.8585276101,111.0
2011-11-10,tm,0.0,0.0,326.087697687,82.9921712133,100.0
2011-11-11,tm,0.0,0.0,234.776008136,89.7445014692,99.0
2011-11-12,tm,0.0,0.0,178.870294544,59.9043293109,88.0
2011-11-13,tm,0.0,0.0,147.124790034,40.1783631996,87.0
2011-11-14,tm,0.0,0.0,144.812223851,36.8096817447,114.0
2011-11-15,tm,0.0,0.0,188.670486886,46.1828585017,126.0
2011-11-16,tm,0.0,0.0,196.032321963,37.9427007489,125.0
2011-11-17,tm,0.0,0.0,159.900327873,40.6275525949,129.0
2011-11-18,tm,0.0,0.0,153.776491146,50.5868372007,146.0
2011-11-19,tm,0.0,0.0,146.741278944,42.6740371951,140.0
2011-11-20,tm,0.0,0.0,150.701820422,40.7921973773,130.0
2011-11-21,tm,0.0,0.0,194.746016217,57.5878017969,121.0
2011-11-22,tm,0.0,0.0,217.356696326,57.9540978532,127.0
2011-11-23,tm,0.0,0.0,260.454346057,53.7476033818,137.0
2011-11-24,tm,0.0,0.0,388.144703545,60.8144766484,147.0
