date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tn,0.0,0.0,1717.12044943,755.455007366,1611.0
2011-09-09,tn,0.0,0.0,2068.78403216,675.280874638,1567.0
2011-09-11,tn,0.0,0.0,1836.09476515,856.0809321,1349.0
2011-09-12,tn,0.0,0.0,1858.65020818,995.733949294,1507.0
2011-09-13,tn,0.0,0.0,2067.00092731,1067.96770609,1537.0
2011-09-14,tn,0.0,0.0,2031.27126233,1113.21475923,1676.0
2011-09-15,tn,0.0,0.0,2364.92858122,1064.68458609,1559.0
2011-09-16,tn,0.0,0.0,2417.06939249,834.910558959,1467.0
2011-09-17,tn,0.0,0.0,2239.17990196,717.541839568,1335.0
2011-09-18,tn,0.0,0.0,2131.61574524,623.34132682,1362.0
2011-09-19,tn,0.0,0.0,2504.99936032,718.749699523,1516.0
2011-09-20,tn,0.0,0.0,2379.90736976,769.409999866,1559.0
2011-09-21,tn,0.0,0.0,2591.72287193,826.644593116,1498.0
2011-09-22,tn,0.0,0.0,2245.92922833,879.918256639,1418.0
2011-09-23,tn,0.0,0.0,2109.56334585,876.912038309,1384.0
2011-09-24,tn,0.0,0.0,1884.64401055,828.239796429,1318.0
2011-09-25,tn,0.0,0.0,1913.72545884,810.979880256,1337.0
2011-09-26,tn,0.0,0.0,1953.44897049,939.474168962,1345.0
2011-09-27,tn,0.0,0.0,2043.35686993,1027.52529307,1366.0
2011-09-28,tn,0.0,0.0,1932.42893374,1018.84521872,1340.0
2011-09-29,tn,0.0,0.0,1789.3884729,938.066823311,1260.0
2011-09-30,tn,0.0,0.0,1909.99376718,886.810297085,1210.0
2011-10-01,tn,0.0,0.0,1930.7348231,848.636364535,1246.0
2011-10-02,tn,0.0,0.0,1777.35201703,830.650619985,1215.0
2011-10-03,tn,0.0,0.0,1979.11618285,857.656839741,1320.0
2011-10-04,tn,0.0,0.0,1974.79640311,823.889086509,1343.0
2011-10-05,tn,0.0,0.0,2053.68769333,855.491165863,1334.0
2011-10-06,tn,0.0,0.0,1707.92154177,913.187892928,1241.0
2011-10-07,tn,0.0,0.0,1589.17586529,862.274498576,1205.0
2011-10-08,tn,0.0,0.0,1709.1864853,826.764027031,1167.0
2011-10-09,tn,0.0,0.0,1816.06649445,855.433339512,1189.0
2011-10-10,tn,0.0,0.0,1792.44896737,870.228711574,1231.0
2011-10-11,tn,0.0,0.0,1891.13564907,875.585640011,1325.0
2011-10-12,tn,0.0,0.0,1784.18585613,821.539863443,1327.0
2011-10-13,tn,0.0,0.0,1813.05924639,890.429080143,1389.0
2011-10-14,tn,0.0,0.0,1875.48129926,807.209730648,1339.0
2011-10-15,tn,0.0,0.0,1488.63971105,774.658120304,1219.0
2011-10-16,tn,0.0,0.0,1495.70156908,820.110797223,1168.0
2011-10-17,tn,0.0,0.0,1611.68592649,797.939335303,1178.0
2011-10-18,tn,0.0,0.0,1684.41493005,890.882938247,1222.0
2011-10-19,tn,0.0,0.0,1713.72141042,915.752784446,1245.0
2011-10-20,tn,0.0,0.0,2015.94894788,805.05267809,1215.0
2011-10-21,tn,0.0,0.0,1665.21439538,754.368064073,1185.0
2011-10-22,tn,0.0,0.0,1609.09230545,738.932880688,1113.0
2011-10-23,tn,0.0,0.0,1413.23737318,752.171094851,1085.0
2011-10-24,tn,0.0,0.0,1595.83493611,673.35357611,1234.0
2011-10-25,tn,0.0,0.0,1470.58209879,744.924365709,1207.0
2011-10-26,tn,0.0,0.0,1744.13822785,631.565880354,1215.0
2011-10-27,tn,0.0,0.0,1597.31924352,554.094647501,1217.0
2011-10-28,tn,0.0,0.0,1628.42651119,564.111432014,1089.0
2011-10-29,tn,0.0,0.0,1499.88880262,629.093215157,1051.0
2011-10-30,tn,0.0,0.0,1449.20093603,556.188670638,989.0
2011-10-31,tn,0.0,0.0,1623.31806931,691.319792883,984.0
2011-11-01,tn,0.0,0.0,1490.69228217,850.450252157,918.0
2011-11-02,tn,0.0,0.0,1613.21561936,643.389182364,900.0
2011-11-03,tn,0.0,0.0,1638.69780129,681.728221346,891.0
2011-11-04,tn,0.0,0.0,1676.93615344,565.925727683,851.0
2011-11-05,tn,0.0,0.0,1711.91411471,585.219593189,771.0
2011-11-06,tn,0.0,0.0,1539.5292038,634.455852238,736.0
