date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tr,0.0,0.0,4426.23991033,1944.59372663,3889.0
2011-09-09,tr,0.0,0.0,5127.37128629,1740.23661062,3957.0
2011-09-11,tr,0.0,0.0,5496.11457119,2613.51034336,3835.0
2011-09-12,tr,0.0,0.0,5477.22402025,2742.97961212,3986.0
2011-09-13,tr,0.0,0.0,5360.44819396,2932.85710111,4117.0
2011-09-14,tr,0.0,0.0,5211.68735359,3004.07601962,4000.0
2011-09-15,tr,0.0,0.0,5564.4038408,2619.29917542,4038.0
2011-09-16,tr,0.0,0.0,5911.12414911,2148.37200095,3816.0
2011-09-17,tr,0.0,0.0,5498.89593518,1886.67837609,3412.0
2011-09-18,tr,0.0,0.0,5825.54609392,1830.19157358,3477.0
2011-09-19,tr,0.0,0.0,6400.15511708,1939.62313946,3701.0
2011-09-20,tr,0.0,0.0,6150.21196077,2109.41748215,3697.0
2011-09-21,tr,0.0,0.0,6011.93346556,1997.35356299,3560.0
2011-09-22,tr,0.0,0.0,5683.27550281,2302.65186128,3493.0
2011-09-23,tr,0.0,0.0,5395.85526962,2291.59572425,3482.0
2011-09-24,tr,0.0,0.0,4690.77456907,2150.30105338,3350.0
2011-09-25,tr,0.0,0.0,4754.77888776,2104.78231638,3451.0
2011-09-26,tr,0.0,0.0,4587.68305706,2384.00317266,3631.0
2011-09-27,tr,0.0,0.0,4671.59520055,2514.71245298,3699.0
2011-09-28,tr,0.0,0.0,4399.52774198,2522.01281391,3683.0
2011-09-29,tr,0.0,0.0,4217.63902825,2426.94885762,3653.0
2011-09-30,tr,0.0,0.0,4643.89691587,2320.61333455,3539.0
2011-10-01,tr,0.0,0.0,4719.73339604,2253.36398534,3267.0
2011-10-02,tr,0.0,0.0,4425.8182806,2225.36609136,3034.0
2011-10-03,tr,0.0,0.0,5136.01012597,2423.67678149,3394.0
2011-10-04,tr,0.0,0.0,5116.1586394,2379.67918297,3354.0
2011-10-05,tr,0.0,0.0,5264.76868573,2681.33531564,3611.0
2011-10-06,tr,0.0,0.0,4711.46496987,2828.69185241,3470.0
2011-10-07,tr,0.0,0.0,4460.99657208,2652.19177351,3431.0
2011-10-08,tr,0.0,0.0,4334.27731467,2273.09736719,3351.0
2011-10-09,tr,0.0,0.0,4385.8859073,2227.98799019,3453.0
2011-10-10,tr,0.0,0.0,4456.00118231,2329.85147402,3523.0
2011-10-11,tr,0.0,0.0,4527.94286064,2291.094892,3628.0
2011-10-12,tr,0.0,0.0,4633.21057317,2319.75904749,3585.0
2011-10-13,tr,0.0,0.0,4869.64059472,2598.82149675,3783.0
2011-10-14,tr,0.0,0.0,5135.10452297,2405.45682806,3889.0
2011-10-15,tr,0.0,0.0,4091.10965198,2333.96899148,3231.0
2011-10-16,tr,0.0,0.0,4171.48088097,2505.80368664,3452.0
2011-10-17,tr,0.0,0.0,4434.07110626,2394.57220754,3334.0
2011-10-18,tr,0.0,0.0,4461.33707236,2545.83072086,3165.0
2011-10-19,tr,0.0,0.0,4630.34221832,2485.48379483,3242.0
2011-10-20,tr,0.0,0.0,5081.83072779,2435.21178183,3544.0
2011-10-21,tr,0.0,0.0,4652.58111476,2300.86776449,3188.0
2011-10-22,tr,0.0,0.0,4110.43799242,2045.296246,3403.0
2011-10-23,tr,0.0,0.0,4046.31364241,2295.98276456,3752.0
2011-10-24,tr,0.0,0.0,4332.18295439,1994.88386792,3533.0
2011-10-25,tr,0.0,0.0,3666.82831391,2015.44906249,3562.0
2011-10-26,tr,0.0,0.0,4370.83923901,1719.03237673,3898.0
2011-10-27,tr,0.0,0.0,4478.60138999,1700.61385237,3744.0
2011-10-28,tr,0.0,0.0,4214.31567761,1589.16452228,3617.0
2011-10-29,tr,0.0,0.0,4451.87335374,1999.21466558,3594.0
2011-10-30,tr,0.0,0.0,4804.41476628,2029.69290869,3480.0
2011-10-31,tr,0.0,0.0,4490.87483255,2063.43188097,3569.0
2011-11-01,tr,0.0,0.0,4644.21039537,2307.0641236,3634.0
2011-11-02,tr,0.0,0.0,5310.94642609,1925.95545124,3492.0
2011-11-03,tr,0.0,0.0,4829.34567758,2205.53035685,3491.0
2011-11-04,tr,0.0,0.0,5303.3294486,1992.92858457,3465.0
2011-11-05,tr,0.0,0.0,5574.35305035,2098.99113599,3436.0
2011-11-06,tr,0.0,0.0,5163.30633377,2330.84675008,2934.0
2011-11-07,tr,0.0,0.0,4623.76282917,2432.5696379,2630.0
2011-11-08,tr,0.0,0.0,5088.02304922,2270.35525712,2795.0
2011-11-09,tr,0.0,0.0,6007.00002398,1666.31689795,3105.0
2011-11-10,tr,0.0,0.0,5635.52181218,2063.61742861,3438.0
2011-11-11,tr,0.0,0.0,3985.529841,2642.1650327,3325.0
2011-11-12,tr,0.0,0.0,3801.14962074,2220.79848277,3158.0
2011-11-13,tr,0.0,0.0,3492.69322226,1828.75067234,3145.0
2011-11-14,tr,0.0,0.0,3345.28520341,1654.54241012,3087.0
2011-11-15,tr,0.0,0.0,3711.0412281,1644.92725305,3188.0
2011-11-16,tr,0.0,0.0,4257.13253849,1502.50797431,3189.0
2011-11-17,tr,0.0,0.0,4200.45453258,1996.69756297,3131.0
2011-11-18,tr,0.0,0.0,3948.34888397,2451.95443953,3019.0
2011-11-19,tr,0.0,0.0,3953.30844881,2288.05735782,2964.0
2011-11-20,tr,0.0,0.0,4098.93540456,2153.56957628,2922.0
2011-11-21,tr,0.0,0.0,4126.57524531,2138.15467025,2974.0
2011-11-22,tr,0.0,0.0,4338.72852707,1991.58730251,3607.0
2011-11-23,tr,0.0,0.0,5191.21817615,1866.78188204,3403.0
2011-11-24,tr,0.0,0.0,7466.12288818,1978.45532979,3887.0
2011-11-25,tr,0.0,0.0,6777.75278577,725.166784782,2839.0
2011-11-26,tr,0.0,0.0,6277.31720534,988.361520508,2938.0
2011-11-27,tr,0.0,0.0,4325.4428038,1805.58110352,2849.0
2011-11-28,tr,0.0,0.0,3874.14489211,2022.83710536,2873.0
2011-11-29,tr,0.0,0.0,4611.00082164,2046.89324267,2682.0
2011-11-30,tr,0.0,0.0,4006.51802519,1482.91599388,2633.0
2011-12-01,tr,0.0,0.0,4459.28120246,913.267114233,2946.0
2011-12-02,tr,0.0,0.0,4533.75653631,456.225807218,2810.0
2011-12-03,tr,0.0,0.0,4237.89827699,794.350217469,2779.0
2011-12-04,tr,0.0,0.0,3377.54756116,1588.50513658,2509.0
2011-12-05,tr,0.0,0.0,4374.77034728,2065.47125282,3039.0
2011-12-06,tr,0.0,0.0,3797.99137449,1913.9149172,2715.0
2011-12-07,tr,0.0,0.0,3872.96828695,1924.43565837,2818.0
2011-12-08,tr,0.0,0.0,3924.25515443,1743.55842131,2756.0
2011-12-09,tr,0.0,0.0,3821.65237163,1789.38313037,2842.0
2011-12-10,tr,0.0,0.0,3768.95065168,1859.65898792,2754.0
2011-12-11,tr,0.0,0.0,3831.90459376,1861.22156656,2842.0
2011-12-12,tr,0.0,0.0,3684.38601789,2024.32324783,2855.0
2011-12-13,tr,0.0,0.0,3627.98179208,1943.64642603,2837.0
2011-12-14,tr,0.0,0.0,3844.03715195,1826.08692276,2760.0
2011-12-15,tr,0.0,0.0,3726.26974732,1784.77008113,2666.0
2011-12-16,tr,0.0,0.0,3869.02351318,2053.59992159,2823.0
2011-12-17,tr,0.0,0.0,3874.59233411,1926.77349757,2796.0
2011-12-18,tr,0.0,0.0,3827.34418678,2024.49749721,2833.0
2011-12-19,tr,0.0,0.0,3746.25539779,1936.47718288,2829.0
2011-12-20,tr,0.0,0.0,3707.37091247,2023.46153974,2807.0
2011-12-21,tr,0.0,0.0,3730.3735953,1896.88667621,2823.0
2011-12-22,tr,0.0,0.0,3614.83826166,1868.39766907,2824.0
2011-12-23,tr,0.0,0.0,3459.95002048,1986.1084213,2810.0
2011-12-24,tr,0.0,0.0,3383.00774994,1888.88413531,2995.0
2011-12-25,tr,0.0,0.0,4139.61131372,2049.82632961,3552.0
2011-12-26,tr,0.0,0.0,3525.74145378,1803.52588445,2808.0
2011-12-27,tr,0.0,0.0,3833.28845793,1894.19729648,2926.0
2011-12-28,tr,0.0,0.0,3935.67286805,1805.710669,2724.0
2011-12-29,tr,0.0,0.0,3835.06397614,1907.35561818,2738.0
2011-12-30,tr,0.0,0.0,3988.87789804,1897.55124093,2770.0
2011-12-31,tr,0.0,0.0,4021.01102269,1999.36253206,2604.0
2012-01-01,tr,0.0,0.0,4236.80738149,1867.71762482,2671.0
2012-01-02,tr,0.0,0.0,4408.33982951,1671.21563128,2858.0
2012-01-03,tr,0.0,0.0,4081.75748119,1879.33079617,2775.0
2012-01-04,tr,0.0,0.0,3905.0036879,1924.73636527,2810.0
2012-01-05,tr,0.0,0.0,4548.05194458,1894.2111401,2939.0
2012-01-06,tr,0.0,0.0,5593.34671129,1265.57021942,3026.0
2012-01-07,tr,0.0,0.0,6324.15758235,1618.8633605,3476.0
2012-01-09,tr,0.0,0.0,7307.49722726,1559.48674061,3903.0
2012-01-10,tr,0.0,0.0,5906.84500012,1498.9031044,3303.0
2012-01-11,tr,0.0,0.0,4109.75834071,1757.48104656,2887.0
2012-01-12,tr,0.0,0.0,4479.22306691,1496.63170113,2958.0
2012-01-13,tr,0.0,0.0,4659.0787025,1274.73905217,2886.0
2012-01-14,tr,0.0,0.0,4920.79881858,1251.54795307,2946.0
2012-01-16,tr,0.0,0.0,5162.57238885,1326.72487881,2946.0
2012-01-17,tr,0.0,0.0,4936.41759398,1101.08321164,3038.0
2012-01-18,tr,0.0,0.0,3737.67470078,2073.83318311,2851.0
2012-01-19,tr,0.0,0.0,4133.7856225,1613.51802043,2865.0
2012-01-20,tr,0.0,0.0,4351.9706511,1630.36924281,2799.0
2012-01-21,tr,0.0,0.0,4196.9051119,1585.6590244,2698.0
2012-01-22,tr,0.0,0.0,4298.18057804,1583.5874343,2714.0
2012-01-23,tr,0.0,0.0,4322.93118516,1195.02623573,2587.0
2012-01-24,tr,0.0,0.0,4345.56527707,1639.9009268,2691.0
2012-01-25,tr,0.0,0.0,4056.3684476,1952.67799496,2739.0
2012-01-26,tr,0.0,0.0,3890.75868925,1649.25219244,2636.0
2012-01-27,tr,0.0,0.0,3793.4037341,1524.85440072,2701.0
2012-01-28,tr,0.0,0.0,3639.25556834,1487.41074314,2551.0
2012-01-29,tr,0.0,0.0,3926.78122584,1531.68226131,2643.0
2012-01-30,tr,0.0,0.0,4011.6703703,1502.54848737,2621.0
2012-01-31,tr,0.0,0.0,3961.59179132,1686.44506399,2639.0
2012-02-01,tr,0.0,0.0,4194.33729764,1657.07123213,2625.0
2012-02-02,tr,0.0,0.0,3905.03364979,1767.55625449,2530.0
2012-02-03,tr,0.0,0.0,4147.95803767,1800.65268195,2630.0
2012-02-04,tr,0.0,0.0,3649.58425533,1833.94603733,2520.0
2012-02-05,tr,0.0,0.0,3591.4324404,1767.72455223,2524.0
2012-02-06,tr,0.0,0.0,3596.09783959,1735.30268356,2585.0
2012-02-07,tr,0.0,0.0,3524.12682743,1557.38334964,2573.0
2012-02-08,tr,0.0,0.0,4017.4542463,1743.21625298,2851.0
2012-02-09,tr,0.0,0.0,3951.67525767,1818.35726794,2869.0
2012-02-10,tr,0.0,0.0,3622.02301796,1698.68931346,2699.0
2012-02-11,tr,0.0,0.0,3348.88593481,1942.8474681,2709.0
2012-02-12,tr,0.0,0.0,3425.41687283,1893.67324637,2562.0
2012-02-13,tr,0.0,0.0,4121.89549777,1701.21295354,2631.0
2012-02-14,tr,0.0,0.0,4202.13254193,1644.78307927,2613.0
2012-02-15,tr,0.0,0.0,3794.42738179,1760.2346802,2618.0
2012-02-16,tr,0.0,0.0,3634.27002959,1863.49508919,2616.0
2012-02-17,tr,0.0,0.0,3698.09076199,1943.15410469,2685.0
2012-02-18,tr,0.0,0.0,3502.36584081,1950.12137855,2664.0
2012-02-19,tr,0.0,0.0,3384.19911441,1792.32008525,2617.0
2012-02-20,tr,0.0,0.0,3555.36496043,1637.11636288,2718.0
2012-02-21,tr,0.0,0.0,3664.4527181,1416.23976037,2577.0
2012-02-22,tr,0.0,0.0,3624.77487924,1730.73386335,2672.0
2012-02-23,tr,0.0,0.0,3615.18318007,1574.82374864,2577.0
2012-02-24,tr,0.0,0.0,3563.85082228,1680.11777364,2582.0
2012-02-25,tr,0.0,0.0,3744.93772106,1931.81318384,2725.0
2012-02-26,tr,0.0,0.0,3596.87431109,1848.50553678,2678.0
2012-02-27,tr,0.0,0.0,3811.01360024,1613.38737222,2629.0
2012-02-28,tr,0.0,0.0,3554.90038822,1650.19424361,2617.0
2012-02-29,tr,0.0,0.0,3326.66040675,1821.73676405,2599.0
2012-03-01,tr,0.0,0.0,3372.95799549,2010.48648858,2708.0
2012-03-02,tr,0.0,0.0,3285.86046158,1892.50121557,2532.0
2012-03-03,tr,0.0,0.0,3377.80202908,1830.55490435,2596.0
2012-03-04,tr,0.0,0.0,3541.79435877,1850.08351538,2629.0
2012-03-05,tr,0.0,0.0,3639.32104398,1807.64616804,2569.0
2012-03-06,tr,0.0,0.0,3494.75171795,1809.32384536,2561.0
2012-03-07,tr,0.0,0.0,3577.17490575,1786.82795784,2575.0
2012-03-08,tr,0.0,0.0,3271.71400182,1939.27504299,2495.0
2012-03-09,tr,0.0,0.0,3323.69288821,1854.44723055,2582.0
2012-03-10,tr,0.0,0.0,3252.55740154,2068.62935698,2600.0
2012-03-11,tr,0.0,0.0,3533.22123495,1891.086548,2600.0
2012-03-12,tr,0.0,0.0,3205.22857696,1887.07390901,2583.0
2012-03-13,tr,0.0,0.0,3050.82527057,1940.90512441,2577.0
2012-03-14,tr,0.0,0.0,3059.36933435,1940.18098421,2502.0
2012-03-15,tr,0.0,0.0,3098.38246954,1883.58369907,2480.0
2012-03-16,tr,0.0,0.0,3108.43476113,1918.3784846,2447.0
