date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tt,0.0,0.0,275.624962233,72.6396662127,142.0
2011-09-09,tt,0.0,0.0,291.814802416,62.1267360847,134.0
2011-09-11,tt,0.0,0.0,267.56200729,78.5811764401,128.0
2011-09-12,tt,0.0,0.0,237.869174295,69.8326210367,144.0
2011-09-13,tt,0.0,0.0,233.939926729,78.3328131551,158.0
2011-09-14,tt,0.0,0.0,206.771337699,70.7360786718,149.0
2011-09-15,tt,0.0,0.0,255.468905161,68.5828357146,143.0
2011-09-16,tt,0.0,0.0,253.062487829,52.0005530084,133.0
2011-09-17,tt,0.0,0.0,227.938283983,43.542635771,122.0
2011-09-18,tt,0.0,0.0,246.110964184,43.6105313988,124.0
2011-09-19,tt,0.0,0.0,280.576810087,55.8880421586,125.0
2011-09-20,tt,0.0,0.0,292.808801185,60.6095407117,116.0
2011-09-21,tt,0.0,0.0,269.890143255,59.5778103719,118.0
2011-09-22,tt,0.0,0.0,250.705383878,61.7814210456,125.0
2011-09-23,tt,0.0,0.0,236.554015701,59.3966322659,132.0
2011-09-24,tt,0.0,0.0,211.788541329,57.01506708,124.0
2011-09-25,tt,0.0,0.0,213.590764802,56.1773148359,114.0
2011-09-26,tt,0.0,0.0,198.764445456,59.5043566914,125.0
2011-09-27,tt,0.0,0.0,187.805912926,57.5269268085,121.0
2011-09-28,tt,0.0,0.0,184.928211615,62.3534903359,119.0
2011-09-29,tt,0.0,0.0,194.567099236,62.5848234027,119.0
2011-09-30,tt,0.0,0.0,220.14257083,64.850441559,121.0
2011-10-01,tt,0.0,0.0,218.107313857,62.3821038839,125.0
2011-10-02,tt,0.0,0.0,186.747128081,53.3186166744,105.0
2011-10-03,tt,0.0,0.0,222.648669635,61.2371104376,109.0
2011-10-04,tt,0.0,0.0,212.136021805,55.7841961388,122.0
2011-10-05,tt,0.0,0.0,216.370500252,62.410195697,126.0
2011-10-06,tt,0.0,0.0,203.286898486,63.2692373582,135.0
2011-10-07,tt,0.0,0.0,194.166606989,65.4683390259,144.0
2011-10-08,tt,0.0,0.0,210.452323759,63.0197359338,153.0
2011-10-09,tt,0.0,0.0,196.544391828,54.0195995977,146.0
2011-10-10,tt,0.0,0.0,185.161696799,52.8084725534,131.0
2011-10-11,tt,0.0,0.0,207.598966882,62.4725170633,134.0
2011-10-12,tt,0.0,0.0,204.995255114,59.9337537024,129.0
2011-10-13,tt,0.0,0.0,236.688392918,76.2154085382,147.0
2011-10-14,tt,0.0,0.0,266.915227268,78.2801694912,125.0
2011-10-15,tt,0.0,0.0,230.259362064,82.1286130797,109.0
2011-10-16,tt,0.0,0.0,219.330599916,79.8219945706,127.0
2011-10-17,tt,0.0,0.0,215.268894777,63.368043884,113.0
2011-10-18,tt,0.0,0.0,210.067204982,68.5627141236,114.0
2011-10-19,tt,0.0,0.0,210.397871654,65.5105340507,136.0
2011-10-20,tt,0.0,0.0,243.209136019,72.0160228138,150.0
2011-10-21,tt,0.0,0.0,187.343726451,54.6755999803,150.0
2011-10-22,tt,0.0,0.0,175.06643284,49.8596851666,122.0
2011-10-23,tt,0.0,0.0,192.713885744,58.158150208,111.0
2011-10-24,tt,0.0,0.0,190.073555739,46.9669891995,123.0
2011-10-25,tt,0.0,0.0,166.432197099,52.538940838,116.0
2011-10-26,tt,0.0,0.0,227.72379173,53.384634992,137.0
2011-10-27,tt,0.0,0.0,231.47368012,56.7146967564,130.0
2011-10-28,tt,0.0,0.0,244.888785662,57.9847941761,137.0
2011-10-29,tt,0.0,0.0,202.151191572,51.7335203875,128.0
2011-10-30,tt,0.0,0.0,182.524725474,42.5214075731,120.0
2011-10-31,tt,0.0,0.0,200.176887512,51.7057316824,114.0
2011-11-01,tt,0.0,0.0,195.409465964,53.3391775107,117.0
2011-11-02,tt,0.0,0.0,238.962031945,49.1398115352,106.0
2011-11-03,tt,0.0,0.0,209.294824585,57.4571900914,103.0
2011-11-04,tt,0.0,0.0,252.913362344,56.3944326997,113.0
2011-11-05,tt,0.0,0.0,253.95519828,55.2327002485,129.0
2011-11-06,tt,0.0,0.0,231.748372285,57.4036334244,125.0
2011-11-07,tt,0.0,0.0,185.782937822,59.5465391109,128.0
2011-11-08,tt,0.0,0.0,210.635469083,53.2746543539,165.0
2011-11-09,tt,0.0,0.0,239.503494586,35.5765459016,197.0
2011-11-10,tt,0.0,0.0,218.619465204,42.3574478879,133.0
2011-11-11,tt,0.0,0.0,170.283345174,60.8369665094,119.0
2011-11-12,tt,0.0,0.0,179.598121448,60.9113569157,100.0
2011-11-13,tt,0.0,0.0,189.048562913,56.3440066781,98.0
2011-11-14,tt,0.0,0.0,205.702389862,57.3187219588,102.0
2011-11-15,tt,0.0,0.0,264.35310381,75.168171121,110.0
2011-11-16,tt,0.0,0.0,323.793402427,72.8689218351,103.0
2011-11-17,tt,0.0,0.0,203.65356448,57.0451068202,117.0
2011-11-18,tt,0.0,0.0,181.758744069,63.4463237186,116.0
2011-11-19,tt,0.0,0.0,163.097229513,50.2927410624,110.0
2011-11-20,tt,0.0,0.0,167.443730266,46.0125706239,106.0
2011-11-21,tt,0.0,0.0,177.861848275,49.7483604038,111.0
2011-11-22,tt,0.0,0.0,195.659316953,48.1848941494,112.0
2011-11-23,tt,0.0,0.0,224.467821935,40.6223191577,137.0
2011-11-24,tt,0.0,0.0,353.874695217,56.5309796235,172.0
2011-11-25,tt,0.0,0.0,331.854563779,21.8962544957,122.0
2011-11-26,tt,0.0,0.0,300.338596126,26.8268076288,141.0
2011-11-27,tt,0.0,0.0,202.19384102,46.2345197754,111.0
2011-11-28,tt,0.0,0.0,190.316796553,52.3683213662,106.0
2011-11-29,tt,0.0,0.0,181.285611845,46.5100388524,111.0
2011-11-30,tt,0.0,0.0,201.79663248,44.8825335622,102.0
2011-12-01,tt,0.0,0.0,232.945531391,34.8567555735,130.0
2011-12-02,tt,0.0,0.0,240.120381056,16.537301046,125.0
2011-12-03,tt,0.0,0.0,249.710583323,29.5725212091,127.0
2011-12-04,tt,0.0,0.0,171.981986794,43.2773071455,111.0
2011-12-05,tt,0.0,0.0,207.737096855,54.9606923388,143.0
2011-12-06,tt,0.0,0.0,196.521532165,59.8263336048,123.0
