date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2012-12-30,tv,0.0,0.0,10.7974509141,0.0,4.0
2012-12-31,tv,0.0,0.0,13.8869566512,0.0,6.0
2013-01-03,tv,0.0,0.0,15.6429060811,0.0,9.0
2013-01-04,tv,0.0,0.0,24.0209097549,0.0,3.0
2013-01-06,tv,0.0,0.0,18.3584207739,0.0,1.0
2013-01-07,tv,0.0,0.0,25.874308744,0.0,3.0
2013-01-08,tv,0.0,0.0,25.0109032985,0.0,3.0
2013-01-09,tv,1.0,0.0,40.5618622105,2.18844003494,1.0
2013-01-10,tv,0.0,0.0,27.3935293113,0.0,2.0
2013-01-11,tv,0.0,0.0,13.5828644499,0.0,3.0
2013-01-13,tv,0.0,0.0,7.2972068588,0.0,3.0
2013-01-14,tv,0.0,0.0,13.1610929292,0.0,5.0
2013-01-15,tv,0.0,0.0,12.7696784258,0.0,1.0
2013-01-16,tv,0.0,0.0,6.54942310887,0.0,1.0
2013-01-17,tv,0.0,0.0,10.4332380105,0.0,2.0
2013-01-18,tv,0.0,0.0,11.5835270109,0.0,2.0
2013-01-20,tv,0.0,0.0,11.6190707271,0.0,1.0
2013-01-21,tv,0.0,0.0,16.0549610584,0.0,1.0
2013-01-22,tv,0.0,0.0,6.70404600363,0.0,0.0
2013-01-23,tv,0.0,0.0,6.77125300217,0.0,2.0
2013-01-24,tv,0.0,0.0,8.93723470807,0.0,4.0
2013-01-25,tv,0.0,0.0,10.9859350617,0.0,3.0
2013-01-27,tv,0.0,0.0,7.65118779881,0.0,3.0
2013-01-28,tv,0.0,1.0,7.40133185161,0.0,9.0
2013-01-30,tv,0.0,0.0,12.7780862222,0.0,12.0
2013-01-31,tv,0.0,0.0,18.3898518269,0.0,11.0
2013-02-01,tv,0.0,0.0,13.7031662911,0.0,6.0
2013-02-02,tv,0.0,0.0,7.92922414093,0.0,2.0
2013-02-03,tv,0.0,0.0,10.8394408278,0.0,4.0
2013-02-04,tv,0.0,0.0,17.4491177623,0.0,4.0
2013-02-05,tv,0.0,0.0,13.2312768343,0.0,6.0
2013-02-06,tv,0.0,0.0,30.4059633158,1.33162255231,7.0
2013-02-07,tv,0.0,0.0,30.0105151557,0.667508822349,6.0
2013-02-08,tv,0.0,0.0,21.3839626999,0.0,3.0
2013-02-10,tv,0.0,0.0,18.3085405772,0.0,1.0
2013-02-11,tv,0.0,0.0,24.585197146,0.0,4.0
2013-02-12,tv,0.0,0.0,27.0098020639,0.0,1.0
2013-02-13,tv,0.0,0.0,22.2511755924,0.0,5.0
2013-02-14,tv,0.0,0.0,20.0689390182,0.0,9.0
2013-02-15,tv,0.0,0.0,12.498393373,0.0,4.0
2013-02-17,tv,0.0,0.0,7.2765446125,0.0,3.0
2013-02-18,tv,0.0,0.0,16.1652372987,0.0,7.0
2013-02-19,tv,0.0,0.0,7.37456758459,0.0,6.0
2013-02-20,tv,0.0,0.0,16.8782997793,0.0,5.0
2013-02-21,tv,0.0,0.0,23.8660754419,0.0,5.0
2013-02-22,tv,0.0,0.0,14.4623564771,0.0,1.0
2013-02-24,tv,0.0,0.0,12.9609396714,0.0,0.0
2013-02-25,tv,0.0,0.0,22.634449089,0.0,2.0
2013-02-26,tv,0.0,0.0,19.8686952408,0.0,2.0
2013-02-27,tv,0.0,0.0,18.6813173465,0.0,1.0
2013-03-25,tv,0.0,0.0,10.3973402345,0.0,5.0
2013-03-26,tv,0.0,0.0,17.7097695784,0.0,3.0
2013-03-27,tv,0.0,0.0,13.2240690953,0.0,8.0
2013-03-28,tv,0.0,0.0,15.7972954344,0.0,7.0
2013-03-30,tv,0.0,1.0,7.0835294689,0.0,8.0
2013-03-31,tv,0.0,0.0,14.750951605,0.0,5.0
2013-04-01,tv,0.0,0.0,19.2992231213,0.0,3.0
2013-04-02,tv,0.0,0.0,13.3793203872,0.0,2.0
2013-04-03,tv,0.0,0.0,23.3679161532,0.0,4.0
2013-04-04,tv,0.0,0.0,24.214844946,0.0,7.0
2013-04-05,tv,0.0,0.0,23.6000130516,0.0,6.0
2013-04-06,tv,0.0,0.0,25.7066174283,0.0,5.0
2013-04-07,tv,0.0,0.0,18.5539693349,0.0,6.0
2013-04-08,tv,0.0,0.0,13.0091989454,0.0,8.0
2013-04-09,tv,0.0,0.0,9.74536154642,0.0,4.0
2013-04-10,tv,0.0,0.0,14.2433091477,0.0,1.0
2013-05-26,tv,0.0,0.0,6.92467128784,0.0,4.0
2013-05-27,tv,0.0,0.0,10.4901189681,0.0,4.0
2013-05-28,tv,0.0,0.0,12.0802319069,0.0,3.0
2013-05-29,tv,0.0,0.0,6.56283329751,0.0,3.0
2013-06-02,tv,0.0,0.0,14.2729159457,0.0,1.0
2013-06-03,tv,0.0,0.0,14.9703246119,0.0,2.0
2013-06-04,tv,0.0,0.0,13.2971555557,0.0,2.0
2013-06-05,tv,0.0,0.0,13.0842402774,0.0,1.0
2013-06-09,tv,0.0,0.0,6.84536326078,0.0,1.0
2013-06-10,tv,0.0,0.0,10.1623171047,0.0,1.0
2013-06-11,tv,0.0,0.0,10.5578329961,0.0,2.0
2013-06-12,tv,0.0,0.0,7.16106736267,0.0,0.0
2013-07-04,tv,0.0,0.0,13.4393777907,0.0,9.0
2013-07-05,tv,0.0,0.0,14.8550268489,0.0,3.0
2013-07-06,tv,0.0,0.0,6.77258599778,0.0,3.0
2013-07-07,tv,0.0,0.0,17.383910276,0.0,7.0
2013-07-08,tv,0.0,0.0,27.1274648632,0.864909578443,12.0
2013-07-09,tv,0.0,0.0,35.6979600003,2.49840467177,9.0
2013-07-10,tv,0.0,0.0,42.5375388069,3.90187267869,7.0
2013-07-11,tv,0.0,0.0,22.9100689524,0.0,7.0
2013-07-12,tv,0.0,0.0,11.2366126947,0.0,5.0
2013-07-13,tv,0.0,0.0,11.4853394471,0.0,3.0
2013-07-14,tv,0.0,0.0,20.2610878378,0.0,10.0
2013-07-15,tv,0.0,0.0,28.5253365555,1.53231957376,11.0
2013-07-16,tv,0.0,0.0,25.3313579662,0.0,3.0
2013-07-17,tv,0.0,0.0,22.7196887441,0.0,2.0
2013-07-18,tv,0.0,0.0,22.6606640534,0.0,2.0
2013-07-19,tv,0.0,0.0,18.8952507506,0.0,3.0
2013-07-20,tv,0.0,0.0,13.9219962298,0.0,3.0
2013-07-21,tv,0.0,0.0,30.7643470203,0.905492550362,2.0
2013-07-22,tv,0.0,0.0,29.5272494436,0.871233173893,5.0
2013-07-23,tv,0.0,0.0,12.5898158509,0.0,8.0
2013-07-24,tv,0.0,0.0,10.1767935573,0.0,9.0
2013-07-25,tv,0.0,0.0,10.3024629108,0.0,3.0
2013-07-26,tv,0.0,0.0,11.7783707173,0.0,1.0
2013-07-28,tv,0.0,0.0,10.6834326736,0.0,2.0
2013-07-29,tv,0.0,0.0,18.3286926438,0.0,6.0
2013-07-30,tv,0.0,0.0,23.7264964792,0.0,4.0
2013-07-31,tv,0.0,0.0,25.3271545518,0.0,6.0
2013-08-01,tv,0.0,0.0,12.5998555678,0.0,5.0
2013-08-02,tv,0.0,0.0,7.28949102278,0.0,1.0
2013-08-04,tv,0.0,0.0,10.352940549,0.0,0.0
2013-08-05,tv,0.0,0.0,19.1240855978,0.0,1.0
2013-08-06,tv,0.0,0.0,15.2327370917,0.0,5.0
2013-08-07,tv,0.0,0.0,19.8519313269,0.0,4.0
2013-08-08,tv,0.0,0.0,18.405152762,0.0,3.0
2013-08-09,tv,0.0,0.0,7.63599465934,0.0,2.0
2013-08-12,tv,0.0,0.0,7.66398612465,0.0,2.0
2013-08-13,tv,0.0,0.0,19.5482265238,0.0,3.0
2013-08-14,tv,0.0,0.0,16.5948235404,0.0,1.0
2013-08-15,tv,0.0,0.0,14.7345853397,0.0,2.0
2013-08-16,tv,0.0,0.0,12.1447381282,0.0,2.0
2013-08-19,tv,0.0,0.0,12.631397407,0.0,8.0
2013-08-20,tv,0.0,0.0,33.1542374677,-0.0,10.0
2013-08-21,tv,0.0,0.0,33.5103693388,-0.0,6.0
2013-08-22,tv,0.0,0.0,71.5839773547,-0.0,6.0
2013-08-23,tv,0.0,0.0,107.477101983,-0.0,4.0
2013-08-24,tv,0.0,0.0,120.765147347,-0.0,0.0
2013-08-25,tv,0.0,0.0,185.884404659,-0.0,6.0
2013-08-26,tv,0.0,0.0,307.664769615,-0.0,14.0
2013-08-27,tv,0.0,0.0,219.984623053,-3.16820454085,10.0
2013-08-28,tv,0.0,0.0,111.29264338,-0.0,10.0
2013-08-29,tv,0.0,0.0,75.8236887545,-0.0,9.0
2013-08-30,tv,0.0,0.0,43.1175544456,0.0,10.0
2013-09-01,tv,0.0,0.0,63.0305217866,0.0,9.0
2013-09-02,tv,0.0,0.0,118.07837702,1.15080189605,13.0
2013-09-03,tv,0.0,0.0,91.1035944229,0.400324896825,12.0
2013-09-04,tv,0.0,0.0,82.9797900745,0.550340703894,13.0
2013-09-05,tv,0.0,0.0,64.3084886467,0.0,9.0
2013-09-06,tv,0.0,0.0,59.8604953912,0.802115861168,12.0
2013-09-07,tv,0.0,0.0,30.2171179057,0.0,5.0
2013-09-08,tv,0.0,0.0,35.9376513143,0.0,10.0
2013-09-09,tv,0.0,0.0,39.948421251,1.72460674913,15.0
2013-09-10,tv,0.0,0.0,38.6811913078,1.8889209695,19.0
2013-09-11,tv,0.0,0.0,35.2712341972,1.83011016156,18.0
2013-09-12,tv,0.0,0.0,28.8057692549,0.0,14.0
2013-09-13,tv,0.0,0.0,34.0178187789,1.89985628418,10.0
2013-09-14,tv,0.0,0.0,19.3834665177,0.0,3.0
2013-09-15,tv,0.0,0.0,30.2676013766,0.923513127147,5.0
2013-09-16,tv,0.0,0.0,41.6891510373,2.6783075686,11.0
2013-09-17,tv,0.0,0.0,46.0630319569,4.07966635862,13.0
2013-09-18,tv,0.0,0.0,44.7522816996,4.54343646027,14.0
2013-09-19,tv,0.0,0.0,35.2235986951,2.61095944897,10.0
2013-09-20,tv,0.0,0.0,27.1094645683,0.862937260508,7.0
2013-09-21,tv,0.0,0.0,12.3303653896,0.0,6.0
2013-09-22,tv,0.0,0.0,17.133800433,0.0,13.0
2013-09-23,tv,0.0,0.0,28.2820203251,0.874654992995,16.0
2013-09-24,tv,0.0,0.0,31.0558978075,1.78913363843,12.0
2013-09-25,tv,0.0,0.0,32.2285872595,2.64458492177,11.0
2013-09-26,tv,0.0,0.0,24.9657454387,0.911623284352,12.0
2013-09-27,tv,0.0,0.0,20.3116855859,0.0,11.0
2013-09-28,tv,0.0,0.0,18.4005385268,0.0,3.0
2013-09-29,tv,0.0,0.0,30.8692097472,1.74660455761,4.0
2013-09-30,tv,0.0,0.0,35.7414448129,3.51661264635,4.0
2013-10-01,tv,0.0,0.0,28.6390054736,1.77508933391,2.0
2013-10-02,tv,0.0,0.0,26.6599148815,0.905734756859,5.0
2013-10-03,tv,0.0,0.0,28.8988079751,1.82142443168,7.0
2013-10-04,tv,0.0,0.0,27.2234431693,0.889956233126,3.0
2013-10-05,tv,0.0,0.0,11.9536514732,0.0,4.0
