date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tw,0.0,0.0,7659.69041891,3781.23606294,4834.0
2011-09-09,tw,0.0,0.0,7959.95301434,2758.53528475,4319.0
2011-09-11,tw,0.0,0.0,6115.98433039,2998.42500503,3618.0
2011-09-12,tw,0.0,0.0,7206.8566495,3801.81080989,3889.0
2011-09-13,tw,0.0,0.0,6908.63912519,3943.4795521,5324.0
2011-09-14,tw,0.0,0.0,6399.65111087,3882.64347883,5420.0
2011-09-15,tw,0.0,0.0,6763.47689436,3341.11859699,5337.0
2011-09-16,tw,0.0,0.0,6410.29806685,2362.16942742,4485.0
2011-09-17,tw,0.0,0.0,5151.16437189,1775.51228284,3801.0
2011-09-18,tw,0.0,0.0,5475.66226236,1721.89558284,4709.0
2011-09-19,tw,0.0,0.0,6056.60161045,2003.16098936,5664.0
2011-09-20,tw,0.0,0.0,7891.23422863,2756.94370589,5699.0
2011-09-21,tw,0.0,0.0,7843.80675445,2894.29332557,5769.0
2011-09-22,tw,0.0,0.0,7404.35308948,3100.71697724,5922.0
2011-09-23,tw,0.0,0.0,6290.04181856,2729.78058283,5406.0
2011-09-24,tw,0.0,0.0,5174.86154657,2451.57446747,4673.0
2011-09-25,tw,0.0,0.0,6337.10298865,2944.86176145,5172.0
2011-09-26,tw,0.0,0.0,6952.39818061,3744.76509168,5700.0
2011-09-27,tw,0.0,0.0,7114.7470983,4008.85112616,5761.0
2011-09-28,tw,0.0,0.0,6994.08828022,4277.03525329,5664.0
2011-09-29,tw,0.0,0.0,7055.52589036,4213.12734412,5266.0
2011-09-30,tw,0.0,0.0,7047.30692667,3686.62262528,4937.0
2011-10-01,tw,0.0,0.0,6413.16493805,3242.3912796,4571.0
2011-10-02,tw,0.0,0.0,6502.87254241,3399.29928463,4746.0
2011-10-03,tw,0.0,0.0,7868.47703976,3856.69487344,5532.0
2011-10-04,tw,0.0,0.0,7755.97474634,3755.14295063,5407.0
2011-10-05,tw,0.0,0.0,7613.36427006,4353.8591762,5537.0
2011-10-06,tw,0.0,0.0,6934.85871385,3915.05327288,5244.0
2011-10-07,tw,0.0,0.0,6110.91362624,3759.65546076,4871.0
2011-10-08,tw,0.0,0.0,5991.12810764,3205.52417868,4602.0
2011-10-09,tw,0.0,0.0,6764.91441782,3550.88929439,4948.0
2011-10-10,tw,0.0,0.0,7127.35245947,3927.98287571,5224.0
2011-10-11,tw,0.0,0.0,7141.82182551,3880.22725767,5818.0
2011-10-12,tw,0.0,0.0,7012.7501762,3670.03293464,5735.0
2011-10-13,tw,0.0,0.0,7234.62673293,4072.84162206,5847.0
2011-10-14,tw,0.0,0.0,7173.17377241,3541.02200106,5819.0
2011-10-15,tw,0.0,0.0,5557.00415689,3272.34380339,4476.0
