date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,tz,0.0,0.0,144.471919637,34.9035594633,97.0
2011-09-09,tz,0.0,0.0,141.888433314,23.579644211,96.0
2011-09-11,tz,0.0,0.0,168.935515666,44.3528772387,123.0
2011-09-12,tz,0.0,0.0,204.109440039,68.9012330985,113.0
2011-09-13,tz,0.0,0.0,215.134336609,69.4675205536,120.0
2011-09-14,tz,0.0,0.0,195.452901865,64.3155460043,127.0
2011-09-15,tz,0.0,0.0,182.537052807,45.8163448932,127.0
2011-09-16,tz,0.0,0.0,190.154060598,36.4025700812,125.0
2011-09-17,tz,0.0,0.0,217.464213536,41.5649236335,110.0
2011-09-18,tz,0.0,0.0,237.801218891,43.0952028419,89.0
2011-09-19,tz,0.0,0.0,234.891047096,40.0182982884,91.0
2011-09-20,tz,0.0,0.0,230.222493336,44.7395620884,91.0
2011-09-21,tz,0.0,0.0,242.177383115,47.1284925302,86.0
2011-09-22,tz,0.0,0.0,224.855912204,54.1392420987,98.0
2011-09-23,tz,0.0,0.0,221.163899162,56.830772641,96.0
2011-09-24,tz,0.0,0.0,193.198401625,50.3426354199,83.0
2011-09-25,tz,0.0,0.0,160.645841315,37.0129366702,83.0
2011-09-26,tz,0.0,0.0,151.530317014,39.6864543334,81.0
2011-09-27,tz,0.0,0.0,154.328475539,42.1474306916,91.0
2011-09-28,tz,0.0,0.0,144.579537013,40.5734821615,94.0
2011-09-29,tz,0.0,0.0,157.145013325,46.1704764598,67.0
2011-09-30,tz,0.0,0.0,169.192361266,44.0562807847,83.0
2011-10-01,tz,0.0,0.0,157.908896185,36.5235903724,82.0
2011-10-02,tz,0.0,0.0,143.39314578,35.2146148123,88.0
2011-10-03,tz,0.0,0.0,156.035440292,35.4110999067,92.0
2011-10-04,tz,0.0,0.0,169.155867198,38.818494734,83.0
2011-10-05,tz,0.0,0.0,183.414597781,42.5617495454,83.0
2011-10-06,tz,0.0,0.0,121.29428453,31.5171042692,79.0
2011-10-07,tz,0.0,0.0,141.023063363,40.6057243097,91.0
2011-10-08,tz,0.0,0.0,146.253810924,37.7484023085,94.0
2011-10-09,tz,0.0,0.0,168.528813516,43.2434133025,86.0
2011-10-10,tz,0.0,0.0,159.930244172,43.2548390757,80.0
2011-10-11,tz,0.0,0.0,151.95485634,36.9353743925,80.0
2011-10-12,tz,0.0,0.0,144.237851141,34.9154441963,79.0
2011-10-13,tz,0.0,0.0,150.428496426,38.4357876321,88.0
2011-10-14,tz,0.0,0.0,181.090634435,43.4305792,80.0
2011-10-15,tz,0.0,0.0,151.620711311,44.6060337987,84.0
2011-10-16,tz,0.0,0.0,139.477856708,41.6613198966,80.0
2011-10-17,tz,0.0,0.0,135.882611104,35.4478943154,87.0
2011-10-18,tz,0.0,0.0,132.495018438,36.6218657501,76.0
2011-10-19,tz,0.0,0.0,133.354430572,36.8141822893,88.0
2011-10-20,tz,0.0,0.0,164.701711428,35.3375078172,87.0
2011-10-21,tz,0.0,0.0,129.65447222,30.6755478337,79.0
2011-10-22,tz,0.0,0.0,142.924557109,35.2195323518,78.0
2011-10-23,tz,0.0,0.0,125.306320676,35.3368970735,74.0
2011-10-24,tz,0.0,0.0,151.287104034,35.1704147066,91.0
2011-10-25,tz,0.0,0.0,119.471219252,31.3222310993,88.0
2011-10-26,tz,0.0,0.0,158.212829086,31.1255586196,84.0
2011-10-27,tz,0.0,0.0,147.043493836,28.0102992763,82.0
2011-10-28,tz,0.0,0.0,141.171575875,25.5687901196,104.0
2011-10-29,tz,0.0,0.0,136.793732603,29.8359042506,77.0
2011-10-30,tz,0.0,0.0,129.350166191,25.3598979358,95.0
2011-10-31,tz,0.0,0.0,153.18802556,36.2536600246,80.0
2011-11-01,tz,0.0,0.0,139.264974045,43.309966545,107.0
2011-11-02,tz,0.0,0.0,143.716313529,30.7502182747,89.0
2011-11-03,tz,0.0,0.0,143.340504486,31.9266660135,77.0
2011-11-04,tz,0.0,0.0,198.911701891,39.7551131017,77.0
2011-11-05,tz,0.0,0.0,163.317189819,29.4805154125,80.0
2011-11-06,tz,0.0,0.0,184.799083127,44.2812436917,80.0
2011-11-07,tz,0.0,0.0,136.918821123,37.7606836658,88.0
2011-11-08,tz,0.0,0.0,196.955581251,47.0595803372,91.0
2011-11-09,tz,0.0,0.0,207.274852208,27.4392767207,93.0
2011-11-10,tz,0.0,0.0,164.512712347,31.2050563762,101.0
2011-11-11,tz,0.0,0.0,125.213871006,36.3619962849,78.0
2011-11-12,tz,0.0,0.0,120.292888144,33.7392199567,80.0
2011-11-13,tz,0.0,0.0,128.176900408,32.8123299463,68.0
