date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ua,0.0,0.0,9791.39186048,4473.99141488,6914.0
2011-09-09,ua,0.0,0.0,11400.946456,3591.76324131,6965.0
2011-09-11,ua,0.0,0.0,9000.73072523,4513.60476255,6931.0
2011-09-12,ua,0.0,0.0,9365.05383626,5486.12695063,7097.0
2011-09-13,ua,0.0,0.0,9515.61613798,5616.99691289,7135.0
2011-09-14,ua,0.0,0.0,9109.97012862,5354.72182364,6999.0
2011-09-15,ua,0.0,0.0,9732.48422643,4667.6030502,7181.0
2011-09-16,ua,0.0,0.0,10237.7223329,3838.74332098,6701.0
2011-09-17,ua,0.0,0.0,9692.61972682,3463.09863603,5914.0
2011-09-18,ua,0.0,0.0,10323.6180797,3392.92188486,6184.0
2011-09-19,ua,0.0,0.0,11227.8792535,3481.80365706,6742.0
2011-09-20,ua,0.0,0.0,10525.9659823,3667.79418181,6589.0
2011-09-21,ua,0.0,0.0,10367.6640173,3572.01670621,6561.0
2011-09-22,ua,0.0,0.0,9964.78982516,4169.05906712,6561.0
2011-09-23,ua,0.0,0.0,9366.75922787,4056.54567204,6228.0
2011-09-24,ua,0.0,0.0,8009.1325038,3779.9105922,5790.0
2011-09-25,ua,0.0,0.0,8293.83772039,3812.83830915,6008.0
2011-09-26,ua,0.0,0.0,8119.30908328,4519.54954718,6146.0
2011-09-27,ua,0.0,0.0,8103.45011494,4642.96994007,6359.0
2011-09-28,ua,0.0,0.0,7908.62790835,4817.4860876,6261.0
2011-09-29,ua,0.0,0.0,7715.22552793,4718.9897018,6151.0
2011-09-30,ua,0.0,0.0,8168.29374333,4214.52660467,6051.0
2011-10-01,ua,0.0,0.0,8022.83022658,3954.60445477,5801.0
2011-10-02,ua,0.0,0.0,7599.09650059,3939.62772979,5635.0
2011-10-03,ua,0.0,0.0,8499.23306137,4223.86496865,6370.0
2011-10-04,ua,0.0,0.0,8558.62808337,4249.40997991,6325.0
2011-10-05,ua,0.0,0.0,8520.83932046,4771.71259679,6709.0
2011-10-06,ua,0.0,0.0,7850.17574373,4727.04614322,6441.0
2011-10-07,ua,0.0,0.0,7454.53288691,4618.63860724,6113.0
2011-10-08,ua,0.0,0.0,7545.71570205,4093.86290293,5969.0
2011-10-09,ua,0.0,0.0,8018.87538569,4201.79589046,6280.0
2011-10-10,ua,0.0,0.0,8204.04428258,4485.00067142,6121.0
