date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,us,0.0,0.0,201468.849032,106199.108146,147681.0
2011-09-09,us,0.0,0.0,227970.3722,88703.1096598,149891.0
2011-09-11,us,0.0,0.0,201654.749043,113022.395427,160721.0
2011-09-12,us,0.0,0.0,182364.37288,116294.168368,151232.0
2011-09-13,us,0.0,0.0,189474.677552,116105.418364,152786.0
2011-09-14,us,0.0,0.0,184658.625653,119970.725832,147052.0
2011-09-15,us,0.0,0.0,200135.772193,106362.281048,146651.0
2011-09-16,us,0.0,0.0,213159.884833,87162.43123,144719.0
2011-09-17,us,0.0,0.0,217448.780592,83170.8652837,140434.0
2011-09-18,us,0.0,0.0,232377.632056,81692.0873681,144767.0
2011-09-19,us,0.0,0.0,231375.25852,78871.8534741,146213.0
2011-09-20,us,0.0,0.0,217852.624645,83587.8628282,141667.0
2011-09-21,us,0.0,0.0,210283.613128,78887.6794274,139050.0
2011-09-22,us,0.0,0.0,194713.385447,90374.5746064,139766.0
2011-09-23,us,0.0,0.0,191242.648331,94699.891908,137169.0
2011-09-24,us,0.0,0.0,181465.75697,95886.8590966,134386.0
2011-09-25,us,0.0,0.0,186379.775133,94749.1522039,138887.0
2011-09-26,us,0.0,0.0,173422.336534,99074.4962466,132312.0
2011-09-27,us,0.0,0.0,171159.850131,101930.654408,133190.0
2011-09-28,us,0.0,0.0,165078.094298,103436.081885,134342.0
2011-09-29,us,0.0,0.0,161915.568876,101412.352247,130820.0
2011-09-30,us,0.0,0.0,173640.240452,96493.2031109,132156.0
2011-10-01,us,0.0,0.0,180136.895512,95265.6982213,134496.0
2011-10-02,us,0.0,0.0,169029.18928,94943.4349126,129631.0
2011-10-03,us,0.0,0.0,178263.155534,92749.4610977,133232.0
2011-10-04,us,0.0,0.0,176432.192059,88235.1078148,130687.0
2011-10-05,us,0.0,0.0,188565.491068,94331.733605,137638.0
2011-10-06,us,0.0,0.0,161930.320237,104634.361781,130448.0
2011-10-07,us,0.0,0.0,158218.396551,104146.517138,130187.0
2011-10-08,us,0.0,0.0,168392.671693,98541.0939791,131807.0
2011-10-09,us,0.0,0.0,176580.446111,100870.372113,136052.0
2011-10-10,us,0.0,0.0,165579.472489,96683.3629286,131142.0
2011-10-11,us,0.0,0.0,168598.382369,93674.6274667,133319.0
2011-10-12,us,0.0,0.0,168503.74845,93285.851494,131091.0
2011-10-13,us,0.0,0.0,173907.217802,103381.859038,137823.0
2011-10-14,us,0.0,0.0,184643.660758,96481.0316928,135884.0
2011-10-15,us,0.0,0.0,152951.987102,96987.6427224,124950.0
2011-10-16,us,0.0,0.0,155836.454763,103907.960858,130214.0
2011-10-17,us,0.0,0.0,156549.765459,93898.5783357,124184.0
2011-10-18,us,0.0,0.0,155167.796419,98627.1687751,126218.0
2011-10-19,us,0.0,0.0,154925.094605,99511.0356144,125035.0
2011-10-20,us,0.0,0.0,183419.731529,87665.2893929,129038.0
2011-10-21,us,0.0,0.0,154747.686031,84210.6391194,118567.0
2011-10-22,us,0.0,0.0,150388.792104,83739.8565559,113518.0
2011-10-23,us,0.0,0.0,143348.251612,92938.9239481,115658.0
2011-10-24,us,0.0,0.0,153113.529798,78574.5432271,112437.0
2011-10-25,us,0.0,0.0,138522.534315,85045.9856972,109900.0
