date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,uy,0.0,0.0,613.320794346,214.533648969,378.0
2011-09-09,uy,0.0,0.0,697.17055206,167.069400163,438.0
2011-09-11,uy,0.0,1.0,550.526470835,204.129413249,608.0
2011-09-12,uy,0.0,1.0,512.475277562,221.646868106,566.0
2011-09-13,uy,0.0,1.0,522.942224616,226.761108608,545.0
2011-09-14,uy,0.0,1.0,604.911695128,270.142533289,629.0
2011-09-15,uy,0.0,1.0,608.869601432,217.590697663,680.0
2011-09-16,uy,0.0,0.0,728.653499371,208.746444674,595.0
2011-09-17,uy,0.0,0.0,833.98368297,234.730834409,645.0
2011-09-18,uy,0.0,0.0,1000.57709402,265.328130489,629.0
2011-09-19,uy,0.0,0.0,995.239701776,246.281425787,566.0
2011-09-20,uy,0.0,0.0,895.64654849,247.279103566,525.0
2011-09-21,uy,0.0,0.0,1026.5575422,287.256350963,496.0
2011-09-22,uy,0.0,0.0,1035.28557933,355.110593224,476.0
2011-09-23,uy,0.0,0.0,919.567686754,320.770762627,480.0
2011-09-24,uy,0.0,0.0,958.203211516,371.277186055,454.0
2011-09-25,uy,0.0,0.0,926.800202124,348.033086244,420.0
2011-09-26,uy,0.0,0.0,756.757847598,336.913151521,474.0
2011-09-27,uy,0.0,0.0,719.470690606,326.314630865,505.0
2011-09-28,uy,0.0,0.0,669.422030121,319.2680815,603.0
2011-09-29,uy,0.0,0.0,628.323291101,299.175808306,517.0
2011-09-30,uy,0.0,0.0,706.149244518,284.659789198,529.0
2011-10-01,uy,0.0,0.0,706.537312135,270.627315202,547.0
2011-10-02,uy,0.0,0.0,600.881241234,238.22285818,550.0
2011-10-03,uy,0.0,0.0,735.104474408,284.860280454,605.0
2011-10-04,uy,0.0,0.0,759.710002595,297.07334402,584.0
2011-10-05,uy,0.0,0.0,904.453891572,410.899694212,618.0
2011-10-06,uy,0.0,0.0,735.687532849,350.838606432,561.0
2011-10-07,uy,0.0,0.0,725.236012492,357.375575786,613.0
2011-10-08,uy,0.0,0.0,788.543408889,342.638525571,586.0
2011-10-09,uy,0.0,0.0,866.136134459,364.657538086,568.0
2011-10-10,uy,0.0,0.0,859.89308045,380.948205178,609.0
2011-10-11,uy,0.0,0.0,844.451362317,372.241989975,611.0
2011-10-12,uy,0.0,0.0,859.250347594,365.32146675,606.0
2011-10-13,uy,0.0,0.0,865.318904462,378.931961644,612.0
2011-10-14,uy,0.0,0.0,983.621640873,394.916491389,579.0
2011-10-15,uy,0.0,0.0,776.391807612,369.975916497,532.0
2011-10-16,uy,0.0,0.0,744.027335096,371.82675553,552.0
2011-10-17,uy,0.0,0.0,831.91606543,372.750943744,517.0
2011-10-18,uy,0.0,0.0,816.785588826,388.354828909,555.0
2011-10-19,uy,0.0,0.0,850.616319997,381.376867446,540.0
2011-10-20,uy,0.0,0.0,884.635897507,358.432358217,504.0
2011-10-21,uy,0.0,0.0,742.101882178,317.245236535,478.0
2011-10-22,uy,0.0,0.0,723.448292737,311.50503196,434.0
2011-10-23,uy,0.0,0.0,702.68714374,332.578789634,433.0
2011-10-24,uy,0.0,0.0,730.485905054,279.708773017,407.0
2011-10-25,uy,0.0,0.0,676.92586209,333.235905125,406.0
2011-10-26,uy,0.0,0.0,762.84567044,286.317975961,418.0
2011-10-27,uy,0.0,0.0,699.379501254,222.101589254,419.0
2011-10-28,uy,0.0,0.0,702.595839594,210.564886698,443.0
2011-10-29,uy,0.0,0.0,633.461140029,223.644871523,420.0
2011-10-30,uy,0.0,0.0,616.018753804,207.034307313,410.0
2011-10-31,uy,0.0,0.0,581.869088146,207.85678219,426.0
2011-11-01,uy,0.0,0.0,594.535646377,229.761052275,451.0
2011-11-02,uy,0.0,0.0,595.39767163,204.477834989,499.0
2011-11-03,uy,0.0,0.0,591.463522762,222.872867534,510.0
2011-11-04,uy,0.0,0.0,727.665477591,210.439038388,489.0
2011-11-05,uy,0.0,0.0,718.612959943,226.576045618,502.0
2011-11-06,uy,0.0,0.0,676.048244673,246.924882159,478.0
2011-11-07,uy,0.0,0.0,615.186999917,257.250084385,497.0
2011-11-08,uy,0.0,0.0,721.946961448,234.63226662,473.0
