date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,uz,0.0,0.0,405.605360911,130.018091503,338.0
2011-09-09,uz,0.0,0.0,572.710899197,148.965832315,311.0
2011-09-11,uz,0.0,0.0,364.622771366,118.517279058,280.0
2011-09-12,uz,0.0,0.0,508.245825992,190.992654474,365.0
2011-09-13,uz,0.0,0.0,516.759074049,212.746110961,355.0
2011-09-14,uz,0.0,0.0,507.450573911,220.25171131,315.0
2011-09-15,uz,0.0,0.0,550.637100908,194.711499239,330.0
2011-09-16,uz,0.0,0.0,534.299082403,143.03255201,287.0
2011-09-17,uz,0.0,0.0,455.787089756,111.492956788,221.0
2011-09-18,uz,0.0,0.0,492.74351028,111.62798619,228.0
2011-09-19,uz,0.0,0.0,663.809600114,152.978536978,300.0
2011-09-20,uz,0.0,0.0,602.602227455,155.991449981,294.0
2011-09-21,uz,0.0,0.0,543.44359625,133.086207674,311.0
2011-09-22,uz,0.0,0.0,531.644106904,160.410815783,289.0
2011-09-23,uz,0.0,0.0,469.204806054,144.342428562,247.0
2011-09-24,uz,0.0,0.0,359.139446489,112.996739746,181.0
2011-09-25,uz,0.0,0.0,367.730330422,112.34114204,194.0
2011-09-26,uz,0.0,0.0,428.526261629,163.184571496,253.0
2011-09-27,uz,0.0,0.0,428.477521579,167.985398529,244.0
2011-09-28,uz,0.0,0.0,440.650373734,187.263226901,252.0
2011-09-29,uz,0.0,0.0,401.896155048,168.960103675,231.0
2011-09-30,uz,0.0,0.0,386.155575077,135.754103185,218.0
2011-10-01,uz,0.0,0.0,308.297695901,95.536311779,173.0
2011-10-02,uz,0.0,0.0,298.911474289,99.0580269416,186.0
2011-10-03,uz,0.0,0.0,418.124754876,139.348973063,285.0
2011-10-04,uz,0.0,0.0,396.056080055,128.742355798,276.0
2011-10-05,uz,0.0,0.0,421.343032123,151.159406346,283.0
2011-10-06,uz,0.0,0.0,352.145577645,145.970395882,278.0
2011-10-07,uz,0.0,0.0,326.096240649,131.810735732,249.0
2011-10-08,uz,0.0,0.0,278.827719267,93.6899798058,195.0
2011-10-09,uz,0.0,0.0,323.426945956,107.81856399,223.0
2011-10-10,uz,0.0,0.0,431.66355212,164.166948783,258.0
