date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,vc,0.0,0.0,48.5249195728,4.73268602892,27.0
2011-09-09,vc,0.0,0.0,98.815158915,13.0440584997,43.0
2011-09-11,vc,0.0,0.0,30.8276488441,0.704013924424,30.0
2011-09-12,vc,1.0,0.0,66.1360196775,11.1131021127,9.0
2011-09-13,vc,0.0,0.0,53.7835841523,6.10703477395,9.0
2011-09-14,vc,0.0,0.0,51.5611949706,6.35215269178,30.0
2011-09-15,vc,0.0,0.0,64.4248421673,7.27243569734,14.0
2011-09-16,vc,1.0,0.0,97.1898531947,12.3299027694,8.0
2011-09-17,vc,1.0,0.0,86.9856854144,9.29741712854,7.0
2011-09-18,vc,0.0,0.0,74.4919480864,6.15645754884,10.0
2011-09-19,vc,0.0,0.0,33.3393744265,0.0,12.0
2011-09-20,vc,0.0,0.0,31.0729745607,0.0,8.0
2011-09-21,vc,0.0,0.0,73.6445843391,6.5004817283,12.0
2011-09-22,vc,0.0,0.0,39.4484056498,1.8668704172,17.0
2011-09-23,vc,0.0,0.0,26.1732425044,0.0,18.0
2011-09-24,vc,0.0,0.0,24.3097326547,0.0,10.0
2011-09-25,vc,0.0,0.0,30.5992078696,0.660945297682,19.0
2011-09-26,vc,0.0,0.0,31.715647747,1.36849842529,25.0
2011-09-27,vc,0.0,0.0,23.9268954324,0.0,21.0
2011-09-28,vc,0.0,0.0,31.7369715395,1.50272156154,16.0
2011-09-29,vc,0.0,0.0,38.9994923581,2.93145882285,18.0
2011-09-30,vc,0.0,0.0,45.1179630042,3.55292586973,13.0
2011-10-01,vc,0.0,0.0,31.8471723398,0.716148830831,21.0
2011-10-02,vc,0.0,0.0,44.584423478,3.4524132169,20.0
2011-10-03,vc,0.0,0.0,61.3472671234,6.37399798321,20.0
2011-10-04,vc,0.0,0.0,52.4514316894,4.01570635179,13.0
2011-10-05,vc,0.0,0.0,45.8536494452,2.8374499697,35.0
2011-10-06,vc,0.0,0.0,44.1070125565,4.04065439349,40.0
2011-10-07,vc,0.0,1.0,33.1818972618,1.59238134548,60.0
2011-10-08,vc,0.0,1.0,49.5775630252,4.44098850688,63.0
2011-10-09,vc,0.0,1.0,52.580989817,4.71746326937,55.0
2011-10-10,vc,0.0,0.0,47.9790732516,4.39879719414,32.0
2011-10-11,vc,0.0,0.0,35.7540838447,1.44844605461,24.0
2011-10-12,vc,0.0,0.0,71.5128841789,10.269248293,26.0
2011-10-13,vc,0.0,0.0,87.0901821412,15.2141659377,26.0
2011-10-14,vc,0.0,0.0,127.746106462,24.7105019586,30.0
2011-10-15,vc,1.0,0.0,109.120966474,26.7636202792,25.0
2011-10-16,vc,0.0,0.0,96.3871367492,23.1451777203,53.0
2011-10-17,vc,0.0,0.0,64.9873357455,9.40454338979,50.0
2011-10-18,vc,0.0,0.0,50.6937461849,5.97908012247,50.0
2011-10-19,vc,0.0,0.0,54.9794582182,6.90265917924,35.0
2011-10-20,vc,0.0,0.0,61.9278434971,5.78250127918,43.0
2011-10-21,vc,0.0,0.0,58.6263700473,7.51237906131,43.0
2011-10-22,vc,0.0,0.0,54.7877468918,6.09568829165,37.0
2011-10-23,vc,0.0,0.0,89.3488547426,20.1925126135,45.0
2011-10-24,vc,0.0,0.0,95.1644686668,16.6260142249,48.0
2011-10-25,vc,0.0,0.0,84.7159554696,17.7038697518,44.0
2011-10-26,vc,0.0,0.0,74.6764553288,8.48878871443,37.0
2011-10-27,vc,0.0,0.0,81.822589312,10.6948415418,45.0
2011-10-28,vc,0.0,0.0,85.4459538191,11.1863456773,36.0
2011-10-29,vc,0.0,0.0,75.0549683311,10.7917100481,27.0
2011-10-30,vc,0.0,0.0,86.2334441271,12.6799489679,34.0
2011-10-31,vc,0.0,0.0,90.2503096322,15.6265775968,29.0
2011-11-01,vc,0.0,0.0,79.1025052573,17.323986618,37.0
2011-11-02,vc,0.0,0.0,74.2534286566,10.0529559744,42.0
2011-11-03,vc,0.0,0.0,87.4620027373,13.7722872999,40.0
2011-11-04,vc,0.0,0.0,82.8798757878,9.35414425922,41.0
2011-11-05,vc,0.0,0.0,69.9930813511,6.27245008777,46.0
2011-11-06,vc,0.0,0.0,80.5890738449,10.888830416,46.0
2011-11-07,vc,0.0,0.0,60.7205206718,8.47688816988,32.0
2011-11-08,vc,0.0,0.0,82.5084191726,11.2677868413,14.0
2011-11-09,vc,0.0,0.0,111.862618652,9.79974168598,31.0
2011-11-10,vc,0.0,0.0,96.9449912043,12.6148100244,37.0
2011-11-11,vc,0.0,0.0,74.9047264054,14.6995304131,23.0
2011-11-12,vc,0.0,0.0,76.3598333433,15.8367767144,25.0
2011-11-13,vc,0.0,0.0,81.3644672155,15.4017058932,46.0
2011-11-14,vc,0.0,0.0,64.7534334292,8.86159004964,48.0
2011-11-15,vc,0.0,1.0,37.2375960959,1.87227804737,58.0
2011-11-16,vc,0.0,0.0,69.6430617499,6.66560959101,52.0
2011-11-17,vc,0.0,0.0,71.3224484039,10.6256676017,45.0
2011-11-18,vc,0.0,0.0,47.9158631831,6.32335465009,37.0
2011-11-19,vc,0.0,0.0,54.0007906513,6.98302426828,41.0
2011-11-20,vc,0.0,0.0,88.7196200873,17.0585552669,35.0
2011-11-21,vc,0.0,0.0,94.8762643109,18.6973382458,31.0
2011-11-22,vc,0.0,0.0,112.514054569,21.5643154802,39.0
2011-11-23,vc,0.0,1.0,124.83314811,16.8742475734,226.0
2011-11-24,vc,0.0,1.0,161.539992227,15.0327919805,694.0
2011-11-25,vc,0.0,1.0,130.868251344,4.49751857346,238.0
2011-11-26,vc,0.0,1.0,132.840623825,6.76358868613,646.0
2011-11-27,vc,0.0,1.0,81.4718206758,10.0960314145,870.0
2011-11-28,vc,0.0,1.0,65.7768063129,9.63245590973,814.0
2011-11-29,vc,0.0,1.0,77.835829285,10.7609837887,171.0
2011-11-30,vc,1.0,0.0,328.98252998,67.6218596318,25.0
2011-12-01,vc,1.0,0.0,858.271689482,149.271964004,22.0
2011-12-02,vc,1.0,0.0,442.386005105,31.2902965384,28.0
2011-12-03,vc,1.0,0.0,1006.98570782,160.982989354,42.0
2011-12-04,vc,1.0,0.0,1086.00375542,456.819399502,38.0
2011-12-05,vc,1.0,0.0,1292.65356624,556.659603926,36.0
2011-12-06,vc,1.0,0.0,293.409655041,95.207941161,24.0
2011-12-07,vc,0.0,0.0,62.9418428491,7.08950025217,26.0
2011-12-08,vc,0.0,0.0,50.8887719542,4.43673215366,36.0
2011-12-09,vc,0.0,0.0,65.2821459431,7.21548200783,25.0
2011-12-10,vc,0.0,0.0,84.8735711985,14.6004795082,26.0
2011-12-11,vc,0.0,0.0,87.4956469234,14.0039892595,21.0
2011-12-12,vc,0.0,0.0,67.7388142142,11.4769071248,24.0
2011-12-13,vc,0.0,0.0,54.7273495757,6.15993406312,30.0
2011-12-14,vc,0.0,0.0,59.8641564809,6.2694784289,30.0
2011-12-15,vc,0.0,0.0,75.5762927329,11.1603243848,23.0
2011-12-16,vc,0.0,0.0,58.5361101265,6.96369351038,19.0
2011-12-17,vc,0.0,0.0,61.4142853133,6.77977307772,19.0
2011-12-18,vc,0.0,0.0,50.2085532657,4.58716979941,20.0
2011-12-19,vc,0.0,0.0,53.1366448784,6.03259737783,24.0
2011-12-20,vc,0.0,0.0,63.4661967355,9.18200944293,31.0
2011-12-21,vc,0.0,0.0,64.770266684,8.97879254719,17.0
2011-12-22,vc,0.0,0.0,53.4065050844,6.16490031552,10.0
2011-12-23,vc,0.0,0.0,41.6279202273,3.84864566006,14.0
2011-12-24,vc,0.0,0.0,41.7449220983,3.63797068423,13.0
2011-12-25,vc,0.0,0.0,53.5265202605,4.66381518217,22.0
2011-12-26,vc,0.0,0.0,51.1403752736,5.52682051646,28.0
2011-12-27,vc,0.0,0.0,68.8472349567,9.42874476987,29.0
2011-12-28,vc,0.0,0.0,44.1577225096,2.76638299732,20.0
2011-12-29,vc,0.0,0.0,30.3736626918,0.729811381099,16.0
2011-12-30,vc,0.0,0.0,39.6009198142,2.19970594589,35.0
2011-12-31,vc,0.0,1.0,34.8932883987,1.45907823351,48.0
2012-01-01,vc,0.0,0.0,45.5221490188,4.03017891694,41.0
2012-01-02,vc,0.0,0.0,72.1150819654,7.37638660154,36.0
2012-01-03,vc,0.0,0.0,65.4270370634,7.89328666114,28.0
2012-01-04,vc,0.0,0.0,52.1526244509,4.57325766849,27.0
2012-01-05,vc,0.0,0.0,53.9002560423,2.74411488417,21.0
2012-01-06,vc,0.0,0.0,112.665924127,7.20178451999,15.0
2012-01-07,vc,1.0,0.0,171.591709025,17.1759071686,16.0
2012-01-09,vc,0.0,0.0,142.273031711,9.47026603392,12.0
2012-01-10,vc,0.0,0.0,98.7488644532,6.45216964264,9.0
2012-01-11,vc,0.0,0.0,64.7149794938,6.81813884411,7.0
2012-01-12,vc,0.0,0.0,56.8746813953,3.27249729512,5.0
2012-01-13,vc,0.0,0.0,44.7470440898,1.32395352977,5.0
2012-01-14,vc,0.0,0.0,42.5081571906,1.62327032517,3.0
2012-01-16,vc,0.0,0.0,33.5050939568,0.732895956834,31.0
2012-01-17,vc,0.0,0.0,30.8685698858,0.0,29.0
2012-01-18,vc,0.0,0.0,22.967864748,0.0,19.0
2012-01-19,vc,0.0,1.0,18.8802085141,0.0,24.0
2012-01-20,vc,0.0,1.0,20.3852952023,0.0,34.0
2012-01-21,vc,0.0,1.0,14.5753704888,0.0,30.0
2012-01-22,vc,0.0,0.0,33.0304547673,0.620938214255,32.0
2012-01-23,vc,0.0,0.0,71.520853698,6.50599603503,27.0
2012-01-24,vc,0.0,0.0,67.4920470258,6.60324645167,22.0
2012-01-25,vc,0.0,0.0,50.4505296497,3.38314155798,14.0
2012-01-26,vc,0.0,0.0,55.8606235781,4.92665688702,11.0
2012-01-27,vc,0.0,0.0,73.3076181223,8.71505560184,14.0
2012-01-28,vc,0.0,0.0,65.4249909878,7.053315193,12.0
2012-01-29,vc,0.0,0.0,73.6311267832,7.93056558346,16.0
2012-01-30,vc,0.0,0.0,62.4390104034,7.41679751578,14.0
2012-01-31,vc,0.0,0.0,53.3068843328,5.30219365692,10.0
2012-02-01,vc,0.0,0.0,41.8581706303,2.10238593117,10.0
2012-02-02,vc,0.0,0.0,34.5262541677,0.727272009209,13.0
2012-02-03,vc,0.0,0.0,42.9569493787,2.15375240759,32.0
2012-02-04,vc,0.0,0.0,35.8880542245,1.5412934647,35.0
2012-02-05,vc,0.0,0.0,41.5558783765,2.89581079243,35.0
2012-02-06,vc,0.0,1.0,37.7642284764,2.20922276652,38.0
2012-02-07,vc,0.0,1.0,29.5841679082,0.645607129977,35.0
2012-02-08,vc,0.0,0.0,32.9847971934,0.776506286918,31.0
2012-02-09,vc,0.0,0.0,40.4555956353,1.56333718465,31.0
2012-02-10,vc,0.0,0.0,68.4335432905,9.65492409152,30.0
2012-02-11,vc,0.0,0.0,73.0321344167,12.4803980149,26.0
2012-02-12,vc,0.0,0.0,71.4874863575,12.7433978198,43.0
2012-02-13,vc,0.0,0.0,90.2137543325,13.1283941302,45.0
2012-02-14,vc,0.0,0.0,87.4413906375,11.1209013152,31.0
2012-02-15,vc,0.0,0.0,65.8853188866,9.03371925339,34.0
2012-02-16,vc,0.0,0.0,63.7896112804,9.14371803957,44.0
2012-02-17,vc,0.0,0.0,65.9993870993,9.37602785344,39.0
2012-02-18,vc,0.0,0.0,56.7440082229,6.99798704441,29.0
2012-02-19,vc,0.0,0.0,84.8367284387,15.873570269,41.0
2012-02-20,vc,0.0,0.0,90.8169196997,14.7587296165,38.0
2012-02-21,vc,0.0,0.0,70.4251910774,7.6990231699,33.0
2012-02-22,vc,0.0,0.0,74.085983827,10.9917223175,29.0
2012-02-23,vc,0.0,0.0,89.3829998788,15.1131184648,16.0
2012-02-24,vc,0.0,0.0,77.5355007944,12.7548961718,22.0
2012-02-25,vc,0.0,0.0,66.6961981935,8.61841093311,25.0
2012-02-26,vc,0.0,0.0,85.7318245106,14.563119336,31.0
2012-02-27,vc,0.0,0.0,82.144320734,10.931120464,28.0
2012-02-28,vc,0.0,0.0,71.7480787187,9.68492165824,22.0
2012-02-29,vc,0.0,0.0,59.0946766,8.06802346803,13.0
2012-03-01,vc,0.0,0.0,40.1416030007,3.36753656165,15.0
2012-03-02,vc,0.0,0.0,47.7301597367,5.72920950526,7.0
2012-03-03,vc,1.0,0.0,53.0850511302,6.52191137123,5.0
2012-03-04,vc,1.0,0.0,66.4411000884,9.65931911243,8.0
