date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ve,0.0,0.0,2582.07813463,1189.92845402,1608.0
2011-09-09,ve,0.0,0.0,3386.15094429,1112.50979841,1586.0
2011-09-11,ve,0.0,0.0,2128.33740418,963.484732121,1573.0
2011-09-12,ve,0.0,0.0,2569.20454909,1264.96362586,1660.0
2011-09-13,ve,0.0,0.0,2870.88547568,1545.54241517,1815.0
2011-09-14,ve,0.0,0.0,2653.71722967,1515.84304379,2007.0
2011-09-15,ve,0.0,0.0,2335.02568345,1066.26786156,1980.0
2011-09-16,ve,0.0,0.0,2437.20487167,834.320327564,1806.0
2011-09-17,ve,0.0,0.0,2393.5548503,775.661587156,1685.0
2011-09-18,ve,0.0,0.0,2454.3616228,724.047965928,1667.0
2011-09-19,ve,0.0,0.0,2664.72843108,827.214062563,1765.0
2011-09-20,ve,0.0,0.0,2785.97084791,904.80110941,1877.0
2011-09-21,ve,0.0,0.0,2996.51044552,1036.16600603,1745.0
2011-09-22,ve,0.0,0.0,2834.53046448,1111.90107512,1830.0
2011-09-23,ve,0.0,0.0,2611.11110965,1062.79800889,1822.0
2011-09-24,ve,0.0,0.0,2361.54395974,1052.24265056,1788.0
2011-09-25,ve,0.0,0.0,2323.77457558,1002.54831511,1758.0
2011-09-26,ve,0.0,0.0,2248.47993631,1120.09219508,1519.0
2011-09-27,ve,0.0,0.0,2426.2928921,1270.70225733,1721.0
2011-09-28,ve,0.0,0.0,2197.3498363,1240.48827168,1744.0
2011-09-29,ve,0.0,0.0,2262.08567596,1250.18837295,1688.0
2011-09-30,ve,0.0,0.0,2459.48779225,1195.37033517,1696.0
2011-10-01,ve,0.0,0.0,2533.25870042,1197.65323673,1669.0
2011-10-02,ve,0.0,0.0,2289.50823066,1111.16283932,1691.0
2011-10-03,ve,0.0,0.0,2191.02168615,978.936016576,1845.0
2011-10-04,ve,0.0,0.0,2408.26544233,1074.95334602,1840.0
2011-10-05,ve,0.0,0.0,2434.07424779,1286.11027652,1870.0
2011-10-06,ve,0.0,0.0,2307.86287642,1203.96896367,1793.0
2011-10-07,ve,0.0,0.0,2175.2502158,1241.69894974,1661.0
2011-10-08,ve,0.0,0.0,2263.59099279,1126.60602208,1449.0
2011-10-09,ve,0.0,0.0,2495.60991513,1217.35741615,1419.0
2011-10-10,ve,0.0,0.0,2461.6410921,1260.27141714,1482.0
2011-10-11,ve,0.0,0.0,2515.91189419,1271.49970301,1549.0
2011-10-12,ve,0.0,0.0,2451.32756331,1193.3535445,1504.0
2011-10-13,ve,0.0,0.0,2561.96301168,1340.42888827,1623.0
2011-10-14,ve,0.0,0.0,2536.39399901,1160.38692362,1512.0
2011-10-15,ve,0.0,0.0,1822.9628546,985.011576847,1407.0
2011-10-16,ve,0.0,0.0,1767.4498317,992.754640623,1479.0
2011-10-17,ve,0.0,0.0,1924.71094574,971.770825242,1445.0
2011-10-18,ve,0.0,0.0,1964.73013588,1050.27314955,1545.0
2011-10-19,ve,0.0,0.0,2005.95361756,1004.38113883,1581.0
2011-10-20,ve,0.0,0.0,2226.03969272,1018.64279809,1582.0
2011-10-21,ve,0.0,0.0,1838.97075829,873.070556544,1447.0
2011-10-22,ve,0.0,0.0,1808.37703548,880.277547563,1420.0
2011-10-23,ve,0.0,0.0,1777.88624493,953.458050815,1422.0
2011-10-24,ve,0.0,0.0,1922.30357752,839.661612064,1501.0
