date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-11,vg,0.0,0.0,16.0303773989,0.0,6.0
2011-09-12,vg,0.0,0.0,14.8235906174,0.0,10.0
2011-09-13,vg,0.0,0.0,29.3365004467,0.763379346743,13.0
2011-09-14,vg,0.0,0.0,17.9864633618,0.0,15.0
2011-09-15,vg,0.0,0.0,17.4483947536,0.0,11.0
2011-09-16,vg,0.0,0.0,21.1282289554,0.0,14.0
2011-09-17,vg,0.0,0.0,39.2838579291,1.09381377983,14.0
2011-09-18,vg,0.0,0.0,24.3531368744,0.0,8.0
2011-09-19,vg,0.0,0.0,36.3702266471,0.526556556427,2.0
2011-09-20,vg,0.0,0.0,39.5474221681,1.10468054539,2.0
2011-09-21,vg,0.0,0.0,43.9035022022,1.62512043208,4.0
2011-09-22,vg,0.0,0.0,32.8736713748,0.622290139066,4.0
2011-09-23,vg,0.0,0.0,39.2598637565,1.98246881306,6.0
2011-09-24,vg,0.0,0.0,38.3837884022,2.06887542821,4.0
2011-09-25,vg,0.0,0.0,25.4993398913,0.0,5.0
2011-09-26,vg,0.0,0.0,10.5718825823,0.0,7.0
2011-09-27,vg,0.0,0.0,10.7671029446,0.0,8.0
2011-09-28,vg,0.0,0.0,15.2807640746,0.0,7.0
2011-09-29,vg,0.0,0.0,14.9115706075,0.0,8.0
2011-09-30,vg,0.0,0.0,21.305704752,0.0,4.0
2011-10-01,vg,0.0,0.0,17.250551684,0.0,1.0
2011-10-02,vg,0.0,0.0,18.0747662748,0.0,3.0
2011-10-03,vg,0.0,0.0,25.3390885944,0.0,7.0
2011-10-04,vg,0.0,0.0,26.2257158447,0.0,4.0
2011-10-05,vg,0.0,0.0,26.4005860442,0.0,5.0
2011-10-06,vg,0.0,0.0,24.5038958647,0.0,2.0
2011-10-07,vg,0.0,0.0,15.4058808716,0.0,3.0
2011-10-08,vg,0.0,1.0,7.43663445379,0.0,8.0
2011-10-09,vg,0.0,0.0,14.8305355894,0.0,4.0
2011-10-10,vg,0.0,0.0,23.3744203021,0.0,1.0
2011-10-11,vg,0.0,0.0,16.6001103564,0.0,1.0
2011-10-12,vg,0.0,0.0,18.1812417404,0.0,3.0
2011-10-13,vg,0.0,0.0,11.8759339283,0.0,1.0
2011-10-14,vg,0.0,0.0,15.4418370448,0.0,3.0
2011-10-15,vg,0.0,0.0,22.9728350471,0.0,13.0
2011-10-16,vg,0.0,0.0,14.7415620911,0.0,11.0
2011-10-17,vg,0.0,0.0,7.08952753587,0.0,7.0
