date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,vi,0.0,0.0,57.2127606666,6.24304269487,24.0
2011-09-09,vi,0.0,0.0,61.5544057481,4.11951945607,33.0
2011-09-11,vi,0.0,0.0,59.074758286,6.206637565,24.0
2011-09-12,vi,0.0,0.0,58.7331216981,8.07323029524,28.0
2011-09-13,vi,0.0,0.0,48.3087505419,4.65947483442,33.0
2011-09-14,vi,0.0,0.0,30.2455847564,0.776271647382,28.0
2011-09-15,vi,0.0,0.0,59.2704921748,5.65170643281,31.0
2011-09-16,vi,0.0,0.0,78.7733512833,8.07306692108,28.0
2011-09-17,vi,0.0,0.0,72.5203202582,6.550627937,26.0
2011-09-18,vi,0.0,0.0,62.7142338131,4.09773174501,37.0
2011-09-19,vi,0.0,0.0,75.7412254015,5.64394934095,31.0
2011-09-20,vi,0.0,0.0,79.1107361443,7.52588576071,28.0
2011-09-21,vi,0.0,0.0,70.8948578866,5.87327111634,35.0
2011-09-22,vi,0.0,0.0,71.765624241,7.8913465161,37.0
2011-09-23,vi,0.0,0.0,66.8290470025,6.97327744842,50.0
2011-09-24,vi,0.0,0.0,60.6948125893,6.04248584899,43.0
2011-09-25,vi,0.0,0.0,79.3668681377,10.997328004,38.0
2011-09-26,vi,0.0,0.0,62.199275145,9.12473118704,34.0
2011-09-27,vi,0.0,0.0,58.7802851802,8.12095235184,41.0
2011-09-28,vi,0.0,0.0,67.9791734546,11.5398101747,32.0
2011-09-29,vi,0.0,0.0,69.688808673,12.8110547637,25.0
2011-09-30,vi,0.0,0.0,97.6589380717,18.4567444368,29.0
2011-10-01,vi,0.0,0.0,91.123503808,15.0747310855,36.0
2011-10-02,vi,0.0,0.0,76.0150967826,11.7045912979,36.0
2011-10-03,vi,0.0,0.0,76.5458878198,10.8174790046,27.0
2011-10-04,vi,0.0,0.0,86.1261762671,13.3122489065,37.0
2011-10-05,vi,0.0,0.0,71.4726494777,10.3924047174,40.0
2011-10-06,vi,0.0,0.0,56.0291829653,7.25872978826,32.0
2011-10-07,vi,0.0,0.0,59.9465747765,8.81419581534,34.0
2011-10-08,vi,0.0,0.0,74.3908876311,11.8662692839,38.0
2011-10-09,vi,0.0,0.0,81.3273365689,12.5473561492,41.0
2011-10-10,vi,0.0,0.0,59.0484518764,7.38271715461,46.0
2011-10-11,vi,0.0,0.0,77.4496811593,12.7582940112,43.0
2011-10-12,vi,0.0,0.0,79.5379003383,13.1460376293,34.0
2011-10-13,vi,0.0,0.0,73.1068198854,10.3707694766,38.0
2011-10-14,vi,0.0,0.0,80.6931473417,11.3264768085,33.0
2011-10-15,vi,0.0,0.0,72.1426015923,12.6296999607,34.0
2011-10-16,vi,0.0,0.0,75.644660776,14.6570712761,44.0
2011-10-17,vi,0.0,0.0,86.3867322566,16.5188279501,34.0
2011-10-18,vi,0.0,0.0,79.9407172043,15.6534575952,33.0
2011-10-19,vi,0.0,0.0,70.4796379426,11.0650928659,30.0
2011-10-20,vi,0.0,0.0,78.9405970863,11.673084463,35.0
2011-10-21,vi,0.0,0.0,61.9339871862,9.02730347863,36.0
2011-10-22,vi,0.0,0.0,67.6774209334,10.4298559808,32.0
2011-10-23,vi,0.0,0.0,77.8327413503,15.6675232804,25.0
2011-10-24,vi,0.0,0.0,70.1459975052,9.64513010404,32.0
2011-10-25,vi,0.0,0.0,58.7718577938,9.92617589735,34.0
2011-10-26,vi,0.0,0.0,63.0651428663,7.53468357793,39.0
2011-10-27,vi,0.0,0.0,69.9379501254,7.87594288135,40.0
2011-10-28,vi,0.0,0.0,75.1439400635,8.44370472973,32.0
2011-10-29,vi,0.0,0.0,67.7828068125,8.09856080722,25.0
2011-10-30,vi,0.0,0.0,55.3454349121,5.20477308886,23.0
2011-10-31,vi,0.0,0.0,66.1214872893,8.09023403733,23.0
2011-11-01,vi,0.0,0.0,71.3935144718,10.3495969493,30.0
2011-11-02,vi,0.0,0.0,76.8255060168,10.6994215982,40.0
2011-11-03,vi,0.0,0.0,78.5444517148,12.2741579222,34.0
2011-11-04,vi,0.0,0.0,76.5231381788,7.45424386659,36.0
2011-11-05,vi,0.0,0.0,66.3779039304,5.89359656231,28.0
2011-11-06,vi,0.0,0.0,59.6921448069,5.86171827085,30.0
2011-11-07,vi,0.0,0.0,52.3822593989,5.86324978655,30.0
2011-11-08,vi,0.0,0.0,70.5662443521,7.5283080199,30.0
