date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,vn,0.0,0.0,4662.83999433,2051.12329993,3212.0
2011-09-09,vn,0.0,0.0,4331.55676971,1293.98683359,3031.0
2011-09-11,vn,0.0,0.0,4108.83797525,1970.26261369,2943.0
2011-09-12,vn,0.0,0.0,4309.39885087,2422.7030186,3148.0
2011-09-13,vn,0.0,0.0,4370.73420527,2473.40455794,3407.0
2011-09-14,vn,0.0,0.0,4336.00703067,2446.80823255,3513.0
2011-09-15,vn,0.0,0.0,4613.66899315,2121.50930222,3295.0
2011-09-16,vn,0.0,0.0,4554.78770456,1630.75951806,3091.0
2011-09-17,vn,0.0,0.0,4250.80646437,1447.14288842,2907.0
2011-09-18,vn,0.0,0.0,4485.49304113,1405.00977207,3123.0
2011-09-19,vn,0.0,0.0,5088.29552248,1508.98681925,3286.0
2011-09-20,vn,0.0,0.0,5122.42016534,1715.90195344,3142.0
2011-09-21,vn,0.0,0.0,5297.26378129,1759.31166621,3166.0
2011-09-22,vn,0.0,0.0,4666.0945687,1872.07020428,3223.0
2011-09-23,vn,0.0,0.0,4410.71710217,1829.53442874,2964.0
2011-09-24,vn,0.0,0.0,4016.18866282,1818.78824055,2699.0
2011-09-25,vn,0.0,0.0,4266.60921779,1887.01210516,2775.0
2011-09-26,vn,0.0,0.0,4032.58633857,2158.34987693,2885.0
2011-09-27,vn,0.0,0.0,3941.80592419,2167.55600955,2845.0
2011-09-28,vn,0.0,0.0,3890.94353824,2276.41988713,2947.0
2011-09-29,vn,0.0,0.0,3862.10881614,2271.32465047,2866.0
2011-09-30,vn,0.0,0.0,3967.70736858,1962.09390859,2950.0
2011-10-01,vn,0.0,0.0,3821.90463798,1800.35359821,2742.0
2011-10-02,vn,0.0,0.0,3587.18861484,1777.03236116,2654.0
2011-10-03,vn,0.0,0.0,4074.08889138,1937.77107235,2877.0
2011-10-04,vn,0.0,0.0,3914.24189154,1856.00775544,3123.0
2011-10-05,vn,0.0,0.0,4094.73306371,2195.99505837,3725.0
2011-10-06,vn,0.0,0.0,3735.68487293,2152.61664498,2743.0
2011-10-07,vn,0.0,0.0,3707.28425187,2203.54895384,2691.0
2011-10-08,vn,0.0,0.0,3643.9136458,1890.44502528,2647.0
2011-10-09,vn,0.0,0.0,3860.3375758,1933.07705674,2738.0
2011-10-10,vn,0.0,0.0,3787.71215265,1978.56819743,2745.0
2011-10-11,vn,0.0,0.0,4163.54495651,2189.17315475,2762.0
2011-10-12,vn,0.0,0.0,4765.04330208,2421.63851066,2685.0
2011-10-13,vn,0.0,0.0,3907.8918266,2034.26632041,2756.0
2011-10-14,vn,0.0,0.0,4015.17971083,1887.74613474,2767.0
2011-10-15,vn,0.0,0.0,3252.14267495,1826.10602962,2197.0
2011-10-16,vn,0.0,0.0,3313.6877519,1964.04755099,2308.0
2011-10-17,vn,0.0,0.0,3481.50364793,1832.87169255,2448.0
2011-10-18,vn,0.0,0.0,3429.34091195,1914.93964581,2481.0
2011-10-19,vn,0.0,0.0,3499.6785737,1839.75610717,2916.0
2011-10-20,vn,0.0,0.0,3700.18386025,1759.88914581,3409.0
2011-10-21,vn,0.0,0.0,3279.1834287,1659.73422529,2422.0
2011-10-22,vn,0.0,0.0,2768.93999785,1408.03055741,2014.0
2011-10-23,vn,0.0,0.0,2728.53089044,1517.61327775,2025.0
2011-10-24,vn,0.0,0.0,3185.59581774,1457.05765438,2180.0
2011-10-25,vn,0.0,0.0,2800.05922489,1629.31087229,2125.0
2011-10-26,vn,0.0,0.0,3782.69578077,1705.9779401,2304.0
2011-10-27,vn,0.0,0.0,4300.59123822,1677.05077087,2302.0
2011-10-28,vn,0.0,0.0,3265.00419576,1182.64639371,2112.0
2011-10-29,vn,0.0,0.0,2690.36122312,1151.86453327,1983.0
2011-10-30,vn,0.0,0.0,2639.73661298,1075.65310503,1900.0
2011-10-31,vn,0.0,0.0,2832.4040737,1250.25232161,2066.0
2011-11-01,vn,0.0,0.0,2829.89120294,1349.58744219,2045.0
2011-11-02,vn,0.0,0.0,2982.99035081,1264.90939784,2020.0
2011-11-03,vn,0.0,0.0,2954.93747891,1373.41367066,2012.0
2011-11-04,vn,0.0,0.0,3179.18855888,1114.12275637,1934.0
2011-11-05,vn,0.0,0.0,3103.8885077,1191.81619371,1927.0
2011-11-06,vn,0.0,1.0,2865.22295073,1274.92372391,3018.0
2011-11-07,vn,0.0,1.0,2725.09568082,1391.78891808,3966.0
2011-11-08,vn,0.0,0.0,3005.85060077,1178.80756412,2038.0
2011-11-09,vn,0.0,0.0,3626.72279305,881.856417761,2119.0
2011-11-10,vn,0.0,0.0,3344.30008551,1149.14876036,2062.0
2011-11-11,vn,0.0,0.0,2340.96260742,1372.06245938,1784.0
2011-11-12,vn,0.0,0.0,2160.14266387,1223.26798692,1650.0
2011-11-13,vn,1.0,0.0,3566.36037674,1887.95054759,1660.0
