date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-11-27,wf,0.0,0.0,8.3048501833,0.0,3.0
2011-11-28,wf,0.0,0.0,15.8426812197,0.0,1.0
2012-06-23,wf,0.0,0.0,15.2219249312,0.0,0.0
2012-06-24,wf,0.0,0.0,15.0397907682,0.0,0.0
2012-07-14,wf,0.0,0.0,7.13407473875,0.0,1.0
2012-07-16,wf,0.0,0.0,7.10211922638,0.0,0.0
2012-07-17,wf,0.0,0.0,6.76323053347,0.0,0.0
2012-08-30,wf,0.0,0.0,10.5508921068,0.0,2.0
2012-08-31,wf,0.0,0.0,6.94034991146,0.0,4.0
2012-09-01,wf,0.0,0.0,10.5753501981,0.0,5.0
2012-09-02,wf,0.0,0.0,13.5895691017,0.0,2.0
2012-09-03,wf,0.0,0.0,11.5594892533,0.0,0.0
2012-10-07,wf,0.0,0.0,13.3876226749,0.0,2.0
2012-10-08,wf,0.0,0.0,10.5464204625,0.0,1.0
2012-10-09,wf,0.0,0.0,6.64338726726,0.0,2.0
2012-10-10,wf,0.0,0.0,10.0370180993,0.0,3.0
2012-10-11,wf,0.0,0.0,11.394579795,0.0,4.0
2012-10-12,wf,0.0,0.0,6.41494752864,0.0,2.0
2012-10-13,wf,0.0,0.0,10.2970453578,0.0,2.0
2012-10-14,wf,0.0,0.0,10.3928877134,0.0,2.0
2012-10-15,wf,0.0,0.0,6.91965468075,0.0,1.0
2012-10-16,wf,0.0,0.0,10.2188714391,0.0,1.0
2012-10-17,wf,0.0,0.0,11.9588508523,0.0,1.0
2012-11-05,wf,0.0,0.0,11.3219571941,0.0,10.0
2012-11-06,wf,0.0,0.0,21.2825006996,0.0,5.0
2012-11-07,wf,0.0,0.0,25.1032562077,0.0,5.0
2012-11-08,wf,0.0,0.0,25.4082340651,0.0,3.0
2012-11-14,wf,0.0,0.0,17.8894077181,0.0,2.0
2012-11-15,wf,0.0,0.0,9.94595520518,0.0,5.0
2012-11-21,wf,0.0,1.0,11.1744069654,0.0,17.0
2012-11-22,wf,0.0,0.0,26.4917098247,0.0,13.0
2012-11-23,wf,0.0,0.0,27.0922115783,0.0,11.0
2012-11-24,wf,0.0,0.0,46.517050921,5.31499820313,16.0
2012-11-25,wf,0.0,0.0,40.4968999894,4.40739892697,13.0
2012-11-26,wf,0.0,0.0,41.6902461972,4.69531045137,15.0
2012-11-27,wf,0.0,0.0,35.6898149548,2.75889446108,13.0
2012-11-28,wf,0.0,0.0,38.6563873935,3.59953623687,13.0
2012-11-29,wf,0.0,0.0,31.906314041,1.69410142901,15.0
2012-11-30,wf,0.0,0.0,29.6993575879,0.81329063854,13.0
2012-12-01,wf,0.0,0.0,39.2262063011,3.41229762072,13.0
2012-12-02,wf,0.0,0.0,31.6672105052,1.7388494363,19.0
2012-12-03,wf,0.0,0.0,34.5179736684,2.52578862863,17.0
2012-12-04,wf,0.0,0.0,32.4854105803,1.6399421349,13.0
2012-12-05,wf,0.0,0.0,34.4299660789,1.89435139923,11.0
2012-12-06,wf,0.0,0.0,36.0675072864,2.80837071768,8.0
2012-12-07,wf,0.0,0.0,31.7685859846,1.81913291861,9.0
2012-12-08,wf,0.0,0.0,33.1973658034,1.72903641623,10.0
2012-12-09,wf,0.0,0.0,44.8937160083,4.38406498144,7.0
2012-12-10,wf,0.0,0.0,41.2585675389,3.61837340708,7.0
2012-12-11,wf,0.0,0.0,32.8583856831,1.8546095616,9.0
2012-12-12,wf,0.0,0.0,28.6104699499,0.83008558764,9.0
2012-12-13,wf,0.0,0.0,22.8496714398,0.0,8.0
2012-12-14,wf,0.0,0.0,26.5902007777,0.0,1.0
2012-12-15,wf,1.0,0.0,26.6802336252,0.825679110338,0.0
2012-12-16,wf,0.0,0.0,21.5591146265,0.0,2.0
2012-12-17,wf,0.0,0.0,21.2671654481,0.0,5.0
2012-12-18,wf,0.0,0.0,25.7532649275,0.0,3.0
2012-12-19,wf,0.0,0.0,24.0003827133,0.0,5.0
2012-12-20,wf,0.0,0.0,22.865881742,0.0,8.0
2012-12-21,wf,0.0,1.0,6.74684154351,0.0,8.0
2012-12-23,wf,0.0,0.0,10.5244945039,0.0,4.0
2012-12-24,wf,0.0,0.0,20.3597707807,0.0,7.0
2012-12-25,wf,0.0,0.0,14.0745290028,0.0,10.0
2012-12-26,wf,0.0,0.0,17.5771544601,0.0,13.0
2012-12-27,wf,0.0,0.0,22.700383005,0.0,14.0
2012-12-28,wf,0.0,0.0,22.7840476155,0.0,9.0
2012-12-29,wf,0.0,0.0,17.5396123878,0.0,4.0
2012-12-30,wf,0.0,0.0,15.596317987,0.0,8.0
2012-12-31,wf,0.0,0.0,23.9865614884,0.0,6.0
2013-01-01,wf,0.0,0.0,30.5241294992,0.693081847981,4.0
2013-01-02,wf,0.0,0.0,37.8504322368,1.50040533789,13.0
2013-01-03,wf,0.0,0.0,36.0990140333,2.51438238618,7.0
2013-01-04,wf,0.0,0.0,26.4230007303,0.0,7.0
2013-01-05,wf,0.0,0.0,15.9792468265,0.0,7.0
2013-01-06,wf,0.0,0.0,28.2437242675,0.0,9.0
2013-01-07,wf,0.0,0.0,25.874308744,0.0,9.0
2013-01-08,wf,0.0,0.0,21.676116192,0.0,10.0
2013-01-09,wf,0.0,0.0,37.8577380631,1.45896002329,13.0
2013-01-10,wf,0.0,0.0,23.6580480415,0.0,10.0
2013-01-11,wf,0.0,0.0,23.4613113225,0.0,10.0
2013-01-12,wf,0.0,0.0,24.0042481631,0.0,15.0
2013-01-13,wf,0.0,0.0,26.7564251489,0.0,18.0
2013-01-14,wf,0.0,0.0,26.3221858584,0.0,20.0
2013-01-15,wf,0.0,0.0,27.8611165654,0.853874695453,19.0
2013-01-16,wf,0.0,0.0,30.563974508,1.66455356648,15.0
2013-01-17,wf,0.0,0.0,27.8219680281,0.833569388421,13.0
2013-01-18,wf,0.0,0.0,25.2731498419,0.777419219428,15.0
2013-01-19,wf,0.0,0.0,34.2035168728,2.27427758525,16.0
2013-01-20,wf,0.0,0.0,38.0260496525,3.88084858668,17.0
2013-01-21,wf,0.0,0.0,41.7428987518,4.74286391382,11.0
2013-01-22,wf,0.0,0.0,41.3416170224,3.66944793599,8.0
2013-01-23,wf,0.0,0.0,34.9848071779,2.21151153533,14.0
2013-01-24,wf,0.0,0.0,27.8047302029,1.57880421444,10.0
2013-01-25,wf,0.0,0.0,37.8404429902,2.80258469918,12.0
2013-01-26,wf,0.0,0.0,38.8705050544,3.20900147989,10.0
2013-01-27,wf,0.0,0.0,43.3567308599,3.58547219637,13.0
2013-01-28,wf,0.0,0.0,30.838882715,0.877933402172,17.0
2013-01-29,wf,0.0,0.0,25.806159288,0.0,9.0
2013-01-30,wf,0.0,0.0,42.5936207408,2.69059287075,8.0
2013-01-31,wf,0.0,0.0,33.9504956804,0.842743882873,12.0
2013-02-01,wf,0.0,0.0,33.6350445328,1.54755193631,7.0
2013-02-02,wf,0.0,0.0,31.7168965637,0.842790016675,4.0
2013-02-03,wf,0.0,0.0,27.5913039254,1.31086892506,6.0
2013-02-04,wf,0.0,0.0,26.9668183599,2.08928788817,7.0
2013-02-05,wf,0.0,0.0,19.4058726903,0.0,7.0
2013-02-06,wf,0.0,0.0,22.5229357895,0.0,7.0
2013-02-07,wf,0.0,0.0,32.4113563682,1.3350176447,13.0
2013-02-08,wf,0.0,0.0,23.8997230175,0.0,17.0
