date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2014-03-07,xk,0.0,1.0,6.73850864429,0.0,43.0
2014-03-08,xk,0.0,1.0,6.96078569379,0.0,45.0
2014-03-09,xk,0.0,1.0,37.1955475028,3.41457774034,41.0
2014-03-10,xk,0.0,0.0,55.3438119105,8.22866890458,46.0
2014-03-11,xk,0.0,0.0,66.9308240367,12.6089383976,49.0
2014-03-12,xk,0.0,0.0,71.9878455882,16.3184265838,52.0
2014-03-13,xk,0.0,0.0,85.9395870963,21.2517254958,62.0
2014-03-14,xk,0.0,0.0,74.4350822434,17.5540935958,64.0
2014-03-15,xk,0.0,0.0,80.6583172424,18.321420869,56.0
2014-03-16,xk,0.0,0.0,77.9303655043,15.4973775683,54.0
2014-03-17,xk,0.0,0.0,81.1060038683,20.288483355,56.0
2014-03-18,xk,0.0,0.0,82.4189610875,21.7665596729,64.0
2014-03-19,xk,0.0,0.0,87.5369223819,23.5538871832,62.0
2014-03-20,xk,0.0,0.0,103.97986801,31.6676118519,62.0
2014-03-21,xk,0.0,0.0,107.152973275,33.7201774192,76.0
2014-03-22,xk,0.0,0.0,102.030207197,24.4052238892,71.0
2014-03-23,xk,0.0,0.0,98.5287189563,23.8326643669,73.0
2014-03-24,xk,0.0,0.0,96.7957537599,25.7960803956,96.0
2014-03-25,xk,0.0,0.0,103.847324645,31.4517970506,81.0
2014-03-26,xk,0.0,0.0,97.7632481286,29.8784045405,90.0
2014-03-27,xk,0.0,0.0,102.477796922,30.9672630182,92.0
2014-03-28,xk,0.0,0.0,119.858595529,40.930108387,90.0
2014-03-29,xk,0.0,0.0,118.214761281,35.5084371816,90.0
2014-03-30,xk,0.0,0.0,125.4338674,34.0578585914,89.0
2014-03-31,xk,0.0,0.0,152.413916,51.7987082459,90.0
2014-04-01,xk,0.0,0.0,132.32688099,47.8086605728,117.0
2014-04-02,xk,0.0,0.0,142.093011654,55.1421284228,93.0
2014-04-03,xk,0.0,0.0,144.121348693,51.4041051697,87.0
2014-04-04,xk,0.0,0.0,141.936538777,52.4640879987,92.0
2014-04-05,xk,0.0,0.0,146.119546365,49.4697719085,82.0
2014-04-06,xk,0.0,0.0,157.907380852,46.9165966048,98.0
2014-04-07,xk,0.0,0.0,155.301224246,54.3086540082,98.0
2014-04-08,xk,0.0,0.0,168.8804058,63.1228926775,93.0
2014-04-09,xk,0.0,0.0,131.938214281,47.909469439,94.0
2014-04-10,xk,0.0,0.0,125.969913499,44.4656127821,95.0
2014-04-11,xk,0.0,0.0,136.934623995,47.6653403413,103.0
2014-04-12,xk,0.0,0.0,126.439286394,39.8969416148,95.0
2014-04-13,xk,0.0,0.0,146.293798314,46.727028357,104.0
2014-04-14,xk,0.0,0.0,135.693621412,47.3230848372,106.0
2014-04-15,xk,0.0,0.0,149.648840092,50.6469380359,113.0
2014-04-16,xk,0.0,0.0,164.96504818,53.7805222949,111.0
2014-04-17,xk,0.0,0.0,181.303311173,49.6983241522,122.0
2014-04-18,xk,0.0,0.0,157.106645889,32.5661088326,98.0
2014-04-19,xk,0.0,0.0,135.006503494,34.2856950839,80.0
2014-04-20,xk,0.0,0.0,142.797590924,39.9977199489,86.0
2014-04-21,xk,0.0,0.0,150.618168666,45.0183358468,94.0
2014-04-22,xk,0.0,0.0,153.368808273,57.0369406508,113.0
2014-04-23,xk,0.0,0.0,155.533412335,50.0411349546,110.0
2014-04-24,xk,0.0,0.0,169.040718273,56.3023978473,113.0
2014-04-25,xk,0.0,0.0,205.56783845,46.2082939535,105.0
2014-04-26,xk,0.0,0.0,165.039070092,41.2159049832,100.0
2014-04-27,xk,0.0,0.0,169.45931755,46.013330977,104.0
2014-04-28,xk,0.0,0.0,150.839148662,55.4341100591,107.0
2014-04-29,xk,0.0,0.0,175.342286047,68.7190965013,110.0
2014-04-30,xk,0.0,0.0,174.705683272,62.1362688884,103.0
2014-05-01,xk,0.0,0.0,197.059735932,54.2818780248,111.0
2014-05-02,xk,0.0,0.0,179.572625031,54.7220467232,115.0
2014-05-03,xk,0.0,0.0,165.764815608,52.0024293378,109.0
2014-05-04,xk,0.0,0.0,172.786387762,54.1494176411,119.0
2014-05-05,xk,0.0,0.0,167.701451739,61.6462717737,125.0
2014-05-06,xk,0.0,0.0,169.708613008,65.092435719,117.0
2014-05-07,xk,0.0,0.0,163.21988725,58.3676474679,115.0
2014-05-08,xk,0.0,0.0,196.885426333,55.1165773043,110.0
2014-05-09,xk,0.0,0.0,172.369715584,65.9275393817,105.0
2014-05-10,xk,0.0,0.0,173.18095851,61.146198145,111.0
2014-05-11,xk,0.0,0.0,189.243247346,71.8931370285,114.0
2014-05-12,xk,0.0,0.0,191.525994906,80.0152055872,127.0
2014-05-13,xk,0.0,1.0,181.547098057,72.7675849527,291.0
2014-05-14,xk,0.0,1.0,172.557790291,71.9149656526,407.0
2014-05-15,xk,0.0,1.0,132.863281705,53.0901341892,207.0
2014-05-16,xk,0.0,0.0,166.133225327,58.7655585929,106.0
2014-05-17,xk,0.0,0.0,179.581202671,65.853658172,114.0
2014-05-18,xk,0.0,0.0,174.33409249,67.4893429451,112.0
2014-05-19,xk,0.0,0.0,184.672532981,78.2767423012,119.0
2014-05-20,xk,1.0,0.0,379.931523677,199.444344694,103.0
2014-05-21,xk,1.0,0.0,541.142368347,296.249841098,104.0
2014-05-22,xk,1.0,0.0,369.130215796,173.861030539,113.0
2014-05-23,xk,0.0,0.0,171.482183396,61.9078480205,110.0
2014-05-24,xk,0.0,0.0,177.374855891,62.7323411473,96.0
2014-05-25,xk,0.0,0.0,170.99034207,63.5367500135,98.0
2014-05-26,xk,0.0,0.0,180.055941429,71.5994037588,113.0
2014-05-27,xk,0.0,0.0,161.805896731,60.5291090362,118.0
2014-05-28,xk,0.0,0.0,161.968316736,59.3745546375,98.0
2014-05-29,xk,0.0,0.0,176.956449459,64.9943002305,97.0
2014-05-30,xk,0.0,0.0,167.101419358,65.1652240511,100.0
2014-05-31,xk,0.0,0.0,151.004298274,54.0097777324,103.0
2014-06-01,xk,0.0,0.0,158.078802233,54.5258959754,104.0
2014-06-02,xk,0.0,0.0,175.218190864,67.4332102405,116.0
2014-06-03,xk,0.0,0.0,175.474483592,71.5240471302,116.0
2014-06-04,xk,0.0,0.0,154.283528382,55.9141557097,110.0
2014-06-05,xk,0.0,0.0,151.495998764,56.0581380531,108.0
2014-06-06,xk,0.0,0.0,156.598178482,56.9498532778,107.0
2014-06-07,xk,0.0,0.0,165.937916436,55.7570163119,99.0
2014-06-08,xk,0.0,0.0,169.338958908,53.7496071411,97.0
2014-06-09,xk,0.0,0.0,181.181361424,65.738919393,118.0
2014-06-10,xk,0.0,1.0,178.2392497,69.6980653422,255.0
2014-06-11,xk,0.0,1.0,166.0131076,63.9179756706,281.0
2014-06-12,xk,0.0,1.0,162.352565731,61.6447855812,173.0
2014-06-13,xk,0.0,0.0,165.979049705,62.0823177252,146.0
2014-06-14,xk,0.0,1.0,165.513767664,52.4137004808,231.0
2014-06-15,xk,0.0,1.0,162.903154002,52.7581314761,208.0
2014-06-16,xk,0.0,0.0,179.30228826,72.3648738441,163.0
2014-06-17,xk,1.0,0.0,346.22669739,177.032607875,119.0
2014-06-18,xk,1.0,0.0,383.491550776,194.129915062,114.0
2014-06-19,xk,0.0,0.0,252.26836156,111.501794733,120.0
2014-06-20,xk,0.0,0.0,215.383591759,89.0195559126,116.0
2014-06-21,xk,1.0,0.0,334.957289401,146.08609002,106.0
2014-06-22,xk,1.0,0.0,290.800734982,133.247460144,96.0
2014-06-23,xk,0.0,0.0,231.194138023,103.40340816,105.0
2014-06-24,xk,0.0,0.0,178.658179716,71.4367849556,104.0
2014-06-25,xk,0.0,0.0,176.734284969,69.1471143242,102.0
2014-06-26,xk,0.0,0.0,187.995862354,70.1619441872,105.0
2014-06-27,xk,0.0,0.0,180.211186196,65.3495916997,107.0
2014-06-28,xk,0.0,0.0,162.467361724,54.9643941146,104.0
2014-06-29,xk,0.0,0.0,153.923148358,49.8106352575,105.0
2014-06-30,xk,0.0,0.0,162.702507412,57.2186786137,118.0
2014-07-01,xk,0.0,0.0,163.385290228,56.9500385947,116.0
2014-07-02,xk,0.0,0.0,160.333893791,53.6843366619,116.0
2014-07-03,xk,0.0,0.0,161.857651293,56.5460742197,116.0
2014-07-04,xk,0.0,0.0,166.04740029,59.3646986608,102.0
2014-07-05,xk,0.0,0.0,155.511858015,55.9450507615,100.0
2014-07-06,xk,0.0,0.0,173.313403049,58.1245664007,112.0
2014-07-07,xk,0.0,0.0,184.463966975,69.8533867275,150.0
2014-07-08,xk,0.0,0.0,178.222790122,66.2642228814,133.0
2014-07-09,xk,0.0,0.0,181.200051357,65.2258130483,117.0
2014-07-10,xk,0.0,0.0,181.429025256,67.9818297706,110.0
2014-07-11,xk,0.0,0.0,166.946994762,56.4076092788,114.0
2014-07-12,xk,0.0,0.0,173.487112693,57.7051663639,118.0
2014-07-13,xk,0.0,0.0,168.218138722,67.6611527718,120.0
2014-07-14,xk,0.0,0.0,194.983764892,86.1410914902,112.0
2014-07-15,xk,0.0,0.0,209.398439001,78.4337578716,131.0
2014-07-16,xk,0.0,0.0,192.144210337,66.1585341572,115.0
2014-07-17,xk,0.0,0.0,176.646399221,60.7932668955,124.0
2014-07-18,xk,0.0,0.0,187.45211097,61.7717406641,120.0
2014-07-19,xk,0.0,0.0,186.459372132,65.8753748422,103.0
2014-07-20,xk,0.0,0.0,179.130766434,70.0834456418,104.0
2014-07-21,xk,0.0,0.0,186.687111651,74.7864368732,111.0
