date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ye,0.0,0.0,595.268712773,207.234075977,395.0
2011-09-09,ye,0.0,0.0,549.545065072,141.566867133,291.0
2011-09-11,ye,0.0,0.0,539.28472828,193.441995703,371.0
2011-09-12,ye,0.0,0.0,529.976051331,201.151838222,404.0
2011-09-13,ye,0.0,0.0,540.248122869,224.143224049,306.0
2011-09-14,ye,0.0,0.0,466.174689909,198.226540179,334.0
2011-09-15,ye,0.0,0.0,635.661947372,231.219905346,344.0
2011-09-16,ye,0.0,0.0,503.284359941,132.651157106,282.0
2011-09-17,ye,0.0,0.0,482.433104234,119.650978017,284.0
2011-09-18,ye,0.0,0.0,637.415296728,153.234781042,309.0
2011-09-19,ye,0.0,0.0,728.978122499,171.067215337,306.0
2011-09-20,ye,0.0,0.0,526.394920001,132.076384479,281.0
2011-09-21,ye,0.0,0.0,573.240764713,142.100014569,299.0
2011-09-22,ye,0.0,0.0,551.580760913,167.674701781,306.0
2011-09-23,ye,0.0,0.0,462.539965059,141.787695313,292.0
2011-09-24,ye,0.0,0.0,450.86211088,150.662319661,355.0
2011-09-25,ye,0.0,0.0,483.44966517,158.827131849,329.0
2011-09-26,ye,0.0,0.0,435.532140566,166.612818797,230.0
2011-09-27,ye,0.0,0.0,410.624291513,160.020573599,247.0
2011-09-28,ye,0.0,0.0,424.373051221,178.957196675,255.0
2011-09-29,ye,0.0,0.0,423.466852635,180.07589997,266.0
2011-09-30,ye,0.0,0.0,448.843168434,164.184281862,244.0
2011-10-01,ye,0.0,0.0,564.991914805,206.157304365,295.0
2011-10-02,ye,0.0,0.0,480.909992908,181.606382726,281.0
2011-10-03,ye,0.0,0.0,383.502959886,125.129690097,294.0
2011-10-04,ye,0.0,0.0,401.267344266,130.796755093,282.0
2011-10-05,ye,0.0,0.0,425.381463741,153.484935674,295.0
2011-10-06,ye,0.0,0.0,399.503086362,171.535832449,280.0
2011-10-07,ye,0.0,0.0,360.484571481,150.18435344,241.0
2011-10-08,ye,0.0,0.0,449.360743997,173.252105514,279.0
2011-10-09,ye,0.0,0.0,466.871532866,173.926296655,279.0
2011-10-10,ye,0.0,0.0,443.996796466,170.030054097,259.0
2011-10-11,ye,0.0,0.0,439.864550012,161.930298002,263.0
2011-10-12,ye,0.0,0.0,435.910611654,159.440666096,286.0
2011-10-13,ye,0.0,0.0,453.848920234,175.757986254,291.0
2011-10-14,ye,0.0,0.0,423.354275928,138.41664485,247.0
2011-10-15,ye,0.0,0.0,393.287727194,162.886937264,257.0
2011-10-16,ye,0.0,0.0,389.444186764,169.530740616,269.0
2011-10-17,ye,0.0,0.0,379.96177926,145.674640955,247.0
2011-10-18,ye,0.0,0.0,376.215502989,153.228214262,260.0
2011-10-19,ye,0.0,0.0,426.574834286,166.240741331,256.0
2011-10-20,ye,0.0,0.0,451.971492233,157.508073628,241.0
2011-10-21,ye,0.0,0.0,347.561237775,120.105423071,237.0
2011-10-22,ye,0.0,0.0,380.618205974,135.360439841,234.0
2011-10-23,ye,0.0,0.0,365.743569093,148.997645413,211.0
2011-10-24,ye,0.0,0.0,375.756786807,122.083568975,226.0
2011-10-25,ye,0.0,0.0,349.738956481,137.63377641,236.0
2011-10-26,ye,0.0,0.0,402.17791609,112.825673803,238.0
2011-10-27,ye,0.0,0.0,357.765132268,94.6206203575,216.0
2011-10-28,ye,0.0,0.0,366.893364875,97.0563567298,220.0
2011-10-29,ye,0.0,0.0,360.132217737,112.252015414,243.0
2011-10-30,ye,0.0,0.0,322.144335158,91.5261408058,257.0
2011-10-31,ye,0.0,0.0,339.565615667,107.094231601,280.0
2011-11-01,ye,0.0,0.0,361.870593406,124.948715252,255.0
