date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,za,0.0,0.0,2078.85166806,932.339147697,1482.0
2011-09-09,za,0.0,0.0,2146.06255387,703.375769868,1480.0
2011-09-11,za,0.0,0.0,1691.82136856,781.455456111,1421.0
2011-09-12,za,0.0,0.0,1800.49612191,960.912896008,1543.0
2011-09-13,za,0.0,0.0,1914.20665415,981.705839912,1625.0
2011-09-14,za,0.0,0.0,1949.73262842,1063.98557587,1724.0
2011-09-15,za,0.0,0.0,2183.73371263,975.233627013,1739.0
2011-09-16,za,0.0,0.0,2288.89147016,786.178086108,1592.0
2011-09-17,za,0.0,0.0,2072.22350576,659.022802347,1466.0
2011-09-18,za,0.0,0.0,2239.05605498,658.227919597,1523.0
2011-09-19,za,0.0,0.0,2562.58555251,736.652622441,1633.0
2011-09-20,za,0.0,0.0,2509.84889974,815.806582773,1635.0
2011-09-21,za,0.0,0.0,2663.95121427,851.563106407,1585.0
2011-09-22,za,0.0,0.0,2493.13923707,986.952160559,1606.0
2011-09-23,za,0.0,0.0,2280.99808425,955.549967894,1405.0
2011-09-24,za,0.0,0.0,2061.2094372,914.442939271,1210.0
2011-09-25,za,0.0,0.0,2129.19488092,912.104510801,1219.0
2011-09-26,za,0.0,0.0,2096.75671216,1016.11008078,1282.0
2011-09-27,za,0.0,0.0,2137.86810689,1080.57292135,1382.0
2011-09-28,za,0.0,0.0,2039.39428226,1081.20816353,1320.0
2011-09-29,za,0.0,0.0,2015.3561198,1069.24960563,1282.0
2011-09-30,za,0.0,0.0,1938.81913243,901.022000564,1320.0
2011-10-01,za,0.0,0.0,1779.46075448,775.58918379,1203.0
2011-10-02,za,0.0,0.0,1627.93394915,753.316563927,1161.0
2011-10-03,za,0.0,0.0,1889.76255465,815.163519853,1466.0
2011-10-04,za,0.0,0.0,1995.77697578,833.928352389,1570.0
2011-10-05,za,0.0,0.0,2024.50809823,842.013278507,1528.0
2011-10-06,za,0.0,0.0,1736.10102201,930.15864138,1483.0
2011-10-07,za,0.0,0.0,1726.64372537,945.07832854,1463.0
2011-10-08,za,0.0,0.0,1653.41172689,796.417272234,1303.0
2011-10-09,za,0.0,0.0,1739.21735549,814.548657844,1215.0
2011-10-10,za,0.0,0.0,1981.90479508,972.134179905,1284.0
2011-10-11,za,0.0,0.0,2195.04536175,1032.01781391,1248.0
2011-10-12,za,0.0,0.0,2030.23866101,948.193925724,1280.0
2011-10-13,za,0.0,0.0,2148.22449282,1074.60056255,1427.0
2011-10-14,za,0.0,0.0,2255.91201191,990.666487613,1426.0
2011-10-15,za,0.0,0.0,1652.89548164,870.561092971,1124.0
2011-10-16,za,0.0,0.0,1527.4526259,839.398445324,1212.0
2011-10-17,za,0.0,0.0,1676.67326223,834.110656033,1244.0
2011-10-18,za,0.0,0.0,1591.09235185,836.32383213,1191.0
2011-10-19,za,0.0,0.0,1655.23262508,881.23948855,1237.0
2011-10-20,za,0.0,0.0,2068.65349554,828.182683206,1577.0
2011-10-21,za,0.0,0.0,1768.93797316,806.328685914,1495.0
2011-10-22,za,0.0,0.0,1489.98850786,677.975997772,1274.0
2011-10-23,za,0.0,0.0,1464.44952163,782.459863771,1191.0
2011-10-24,za,0.0,0.0,1680.01888916,713.000225416,1286.0
2011-10-25,za,0.0,0.0,1434.74073302,725.177741756,1283.0
2011-10-26,za,0.0,0.0,1734.01260679,627.038526373,1242.0
2011-10-27,za,0.0,0.0,2047.93640205,728.777059352,1077.0
2011-10-28,za,0.0,0.0,2032.12768431,720.720271497,1144.0
2011-10-29,za,0.0,0.0,1705.68468352,725.583799116,1218.0
2011-10-30,za,0.0,0.0,1582.14416239,613.82480231,1135.0
2011-10-31,za,0.0,0.0,1687.44328931,721.947884973,1182.0
